timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,976,718,811,960,975
10,0,-4,977,720,817,965,978
20,0,-7,976,715,799,951,975
30,0,-9,961,718,811,966,976
40,0,-10,961,720,808,961,974
50,0,-11,971,730,821,963,981
60,0,-11,967,733,814,976,978
70,0,-10,973,737,803,960,977
80,0,-9,985,736,829,973,978
90,0,-8,977,743,834,971,975
100,0,-8,976,732,820,963,974
110,0,-7,976,732,831,955,977
120,0,-6,967,739,836,960,978
130,0,-5,976,721,848,963,980
140,0,-4,992,722,868,968,974
150,0,-3,982,723,882,945,986
160,0,-2,978,737,885,967,976
170,0,-1,977,733,891,960,976
180,0,0,980,746,909,960,982
190,0,0,990,737,897,970,973
200,0,0,976,752,922,981,991
210,0,-1,991,749,932,964,978
220,0,-2,993,720,914,987,976
230,0,-3,1005,747,925,977,967
240,0,-4,1013,743,935,980,976
250,0,-4,1008,753,939,969,990
260,0,-4,1008,758,934,978,975
270,0,-4,993,752,944,981,976
280,0,-4,1008,764,918,974,976
290,0,-4,1009,761,930,979,985
300,0,-4,1008,767,918,1002,976
310,0,-5,1005,781,925,985,976
320,0,-6,1008,784,929,971,976
330,0,-7,1001,781,929,991,983
340,0,-8,986,785,930,985,982
350,0,-8,1010,793,930,991,985
360,0,-8,1023,780,925,1001,976
370,0,-8,1002,785,927,977,977
380,0,-7,1012,772,952,987,977
390,0,-6,1011,793,927,977,981
400,0,-5,1082,778,929,982,979
410,0,-4,1015,797,898,976,976
420,0,-3,1007,810,914,986,979
430,0,-2,1015,816,922,983,976
440,0,-1,1014,814,928,981,977
450,0,0,1006,802,924,979,978
460,0,0,983,794,915,1006,976
470,0,0,1023,814,938,994,973
480,0,0,1005,814,939,992,976
490,0,0,1013,800,919,983,991
500,0,0,1017,800,922,973,974
510,0,0,1008,816,941,979,987
520,0,0,1022,794,957,977,976
530,0,0,1034,800,944,987,979
540,0,0,1009,802,947,976,967
550,0,0,1021,800,938,981,983
560,0,-1,1005,813,944,981,977
570,0,-2,1009,781,928,978,975
580,0,-2,1008,802,931,975,976
590,0,-1,1012,807,932,976,978
600,-1,0,1005,782,919,972,969
610,-1,2,1010,798,902,982,977
620,-1,4,1063,797,887,973,976
630,-1,6,1009,772,854,960,999
640,0,8,973,758,816,970,976
650,0,11,978,738,823,960,976
660,0,13,983,741,793,966,976
670,0,15,977,720,784,985,959
680,0,16,976,729,800,989,976
690,0,16,970,704,768,964,976
700,0,15,976,690,811,954,988
710,0,15,978,704,784,973,976
720,0,15,974,718,784,957,977
730,0,15,980,701,788,990,960
740,0,14,975,698,754,976,976
750,0,13,980,730,763,982,976
760,0,12,974,717,757,955,974
770,0,11,926,711,782,962,983
780,0,9,965,706,752,965,976
790,0,7,979,705,768,961,977
800,0,6,983,699,793,947,976
810,0,5,972,688,771,964,981
820,0,4,964,688,777,958,987
830,0,4,962,699,798,960,987
840,0,4,965,703,769,960,975
850,0,4,964,687,779,969,979
860,0,4,971,703,811,956,986
870,0,4,986,705,784,956,992
880,0,3,960,693,791,960,975
890,0,2,976,706,774,997,977
900,0,1,997,688,772,960,981
910,0,0,961,702,816,971,976
920,0,0,969,716,770,961,976
930,0,0,962,698,783,957,977
940,0,0,965,703,775,975,990
950,0,0,959,688,773,963,976
960,0,0,971,672,778,947,980
970,0,0,972,689,770,957,976
980,0,0,969,691,784,972,972
990,0,0,960,701,795,969,977
