timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,993,763,846,985,989
10,1,-5,999,752,847,966,983
20,1,-7,997,765,848,976,994
30,0,-7,943,754,837,979,966
40,0,-7,983,750,848,968,977
50,0,-7,993,750,828,974,972
60,0,-7,988,740,848,976,976
70,0,-7,986,758,848,983,978
80,0,-8,992,755,846,993,982
90,0,-9,987,753,848,987,979
100,0,-9,977,766,838,971,981
110,0,-9,987,755,838,981,977
120,0,-9,995,771,846,994,987
130,0,-9,982,752,848,979,981
140,0,-9,999,759,851,976,977
150,0,-9,987,760,848,971,976
160,0,-8,989,768,846,981,976
170,0,-7,980,760,847,961,978
180,0,-6,1002,754,848,976,976
190,0,-5,987,784,862,976,980
200,0,-4,999,755,855,992,985
210,0,-3,998,764,874,963,973
220,0,-3,996,756,880,967,981
230,0,-2,987,770,882,970,995
240,0,-2,992,768,906,1013,979
250,0,-2,991,787,897,976,979
260,0,-2,1005,773,894,977,975
270,0,-3,1008,765,890,978,979
280,0,-4,1019,771,921,977,972
290,0,-5,1009,784,912,1008,979
300,0,-6,1007,781,914,992,986
310,1,-8,977,779,929,989,980
320,2,-10,1004,787,901,995,972
330,3,-11,1010,788,944,987,977
340,2,-10,1009,811,959,1002,979
350,0,-9,995,794,942,981,986
360,0,-8,1005,788,918,997,988
370,0,-7,976,822,926,1004,976
380,-1,-5,1008,802,926,992,990
390,-1,-3,1005,810,937,982,976
400,-1,-1,1009,799,944,981,977
410,-1,0,1001,816,938,1003,988
420,-1,0,1008,835,937,971,987
430,-1,0,995,842,919,991,981
440,-1,-1,1005,806,935,997,986
450,-1,-2,992,817,913,1009,976
460,-1,-2,1019,813,914,989,981
470,-1,-1,981,816,931,982,979
480,-1,0,1003,806,925,975,957
490,-1,0,999,826,926,997,979
500,-1,1,997,825,925,987,976
510,-2,3,1021,821,915,981,977
520,-2,6,1008,813,926,976,976
530,-2,9,999,806,906,981,977
540,-1,11,993,784,922,986,977
550,0,13,1035,801,891,987,984
560,0,14,990,792,903,976,978
570,0,15,988,784,880,976,989
580,0,15,995,794,880,985,976
590,0,14,988,799,875,971,979
600,0,12,990,803,858,967,982
610,0,10,1003,781,855,994,981
620,0,8,1015,773,845,976,981
630,0,6,984,779,848,977,989
640,0,4,994,783,847,986,981
650,1,2,988,784,841,982,979
660,2,1,990,802,843,979,981
670,3,0,979,771,837,993,976
680,4,0,1008,775,850,975,976
690,4,0,989,787,857,977,978
700,4,0,1011,782,853,978,976
710,4,0,975,783,850,967,974
720,4,0,989,799,835,976,988
730,4,0,1002,784,848,975,987
740,4,0,976,784,843,976,976
750,4,0,990,777,845,1003,976
760,4,0,983,778,843,975,985
770,4,0,990,789,821,976,1001
780,4,0,1007,768,840,986,981
790,4,0,999,805,849,995,991
800,4,0,1006,770,838,992,983
810,4,0,987,786,858,977,994
820,4,0,985,767,858,959,989
830,4,0,989,767,853,983,989
840,4,0,983,775,830,975,1004
850,4,0,978,775,854,1000,980
860,4,0,990,779,862,986,977
870,4,0,989,768,848,976,976
880,4,0,987,783,848,988,985
890,4,0,995,774,848,983,975
900,4,0,990,773,848,974,980
910,4,0,987,763,832,979,987
920,5,0,980,769,863,977,1035
930,6,0,993,783,862,979,987
940,6,0,965,776,839,977,978
950,6,0,974,750,813,981,981
960,6,0,989,775,864,1000,979
970,6,0,950,768,848,976,981
980,6,0,987,765,858,963,977
990,6,0,999,778,848,965,982
