timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,997,722,851,959,977
10,-1,-2,967,750,832,959,988
20,-1,-4,987,656,833,954,976
30,0,-6,976,727,829,960,985
40,0,-8,976,727,842,965,976
50,0,-10,983,724,819,962,989
60,0,-11,991,727,853,961,974
70,0,-12,987,723,848,957,971
80,0,-13,976,726,865,976,977
90,0,-13,971,733,875,950,980
100,0,-13,979,802,905,971,962
110,0,-13,995,725,891,963,976
120,0,-13,989,743,901,960,983
130,0,-13,979,748,912,960,979
140,0,-13,991,762,923,978,974
150,1,-13,983,752,913,989,987
160,1,-13,991,751,929,965,976
170,1,-13,979,767,914,983,985
180,1,-13,987,757,944,975,976
190,1,-12,989,768,923,963,981
200,1,-12,992,775,919,980,982
210,1,-12,997,768,941,987,1006
220,1,-12,1004,777,912,976,971
230,1,-12,1005,757,944,979,977
240,1,-13,1002,769,947,976,989
250,1,-14,1008,767,925,981,978
260,1,-15,1008,790,935,975,988
270,2,-17,989,778,945,962,977
280,2,-18,1001,766,937,968,975
290,2,-18,999,785,935,976,976
300,1,-16,992,782,950,957,989
310,0,-14,994,786,927,973,978
320,0,-12,1005,799,934,973,981
330,0,-10,1005,859,926,977,979
340,0,-8,1006,785,927,965,977
350,0,-7,1006,801,929,992,983
360,0,-6,1001,820,926,963,967
370,0,-5,1009,809,941,976,979
380,0,-4,1009,777,944,978,979
390,0,-3,986,807,939,976,985
400,0,-2,1001,805,926,976,981
410,0,-1,1004,800,928,975,971
420,0,0,1009,795,939,974,976
430,0,0,999,778,912,984,931
440,0,0,1015,807,955,976,973
450,0,0,1008,802,935,976,982
460,0,1,1010,781,942,963,976
470,0,3,989,813,922,981,976
480,-1,6,976,800,930,961,989
490,-2,9,985,779,932,961,973
500,-2,12,1005,782,935,973,981
510,-2,15,980,782,899,968,981
520,-2,17,988,775,882,966,986
530,-1,19,986,763,853,976,989
540,-1,20,983,783,843,976,961
550,0,21,986,755,829,985,976
560,0,21,979,774,828,975,984
570,0,20,958,742,797,973,983
580,0,19,976,744,803,959,978
590,0,18,993,727,817,961,975
600,0,17,983,677,811,959,981
610,0,16,1006,737,819,960,965
620,0,15,989,733,784,966,992
630,0,14,971,716,790,960,976
640,0,13,969,711,799,958,976
650,0,12,983,736,801,959,960
660,0,11,977,727,790,959,981
670,0,10,978,710,806,971,977
680,0,10,973,758,803,967,974
690,0,8,976,713,782,961,978
700,0,7,981,715,793,954,975
710,0,6,976,711,785,954,977
720,0,5,976,720,801,954,974
730,0,4,976,721,789,958,977
740,0,3,976,713,799,955,967
750,0,2,978,704,798,948,973
760,0,1,976,711,794,959,976
770,0,1,989,719,784,971,976
780,0,1,979,707,800,964,979
790,0,1,981,716,803,992,975
800,0,1,991,705,798,951,960
810,0,1,986,720,795,963,983
820,0,1,954,720,788,953,982
830,0,1,981,736,799,970,974
840,0,1,989,720,794,961,976
850,0,1,977,705,878,954,981
860,0,1,976,720,798,1013,966
870,0,1,978,725,797,948,976
880,0,1,1005,723,787,974,970
890,0,1,976,719,805,950,986
900,0,1,986,714,805,952,971
910,0,1,976,714,799,960,973
920,0,1,976,718,814,966,976
930,0,1,987,719,811,962,976
940,0,1,985,717,807,960,976
950,0,1,982,711,812,958,977
960,0,1,945,710,825,997,991
970,0,1,974,669,811,953,991
980,0,1,986,723,794,957,979
990,0,1,971,724,830,949,981
