timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,949,787,902,972,976
10,1,-7,1033,797,916,975,956
20,1,-9,982,745,914,975,976
30,1,-10,1002,773,913,972,976
40,0,-11,970,774,910,975,978
50,0,-12,989,766,912,985,973
60,0,-13,989,783,908,971,980
70,0,-13,998,786,913,975,962
80,0,-13,1012,773,928,976,979
90,0,-13,977,784,921,983,976
100,0,-13,982,730,917,969,977
110,0,-13,983,778,914,976,983
120,0,-13,951,809,917,953,976
130,0,-13,992,753,917,966,975
140,0,-13,1015,785,922,960,983
150,0,-14,997,768,921,1005,976
160,0,-15,994,784,922,971,978
170,0,-16,1001,790,921,978,973
180,0,-17,997,783,923,964,994
190,0,-17,1007,770,931,976,983
200,0,-15,975,802,923,976,979
210,0,-13,1011,791,922,977,985
220,0,-11,986,779,927,967,979
230,0,-9,1005,795,931,998,987
240,0,-7,1008,797,929,971,982
250,0,-5,990,793,922,970,991
260,0,-3,1008,803,931,976,976
270,0,-2,1015,818,937,978,981
280,0,-2,1007,815,938,983,968
290,0,-2,1010,810,943,977,983
300,0,-3,1010,803,922,972,948
310,0,-4,1014,816,922,967,975
320,0,-4,1008,816,935,979,976
330,0,-4,1051,787,931,967,997
340,0,-3,1008,797,927,985,978
350,0,-1,994,797,922,970,974
360,0,1,1001,804,925,947,983
370,0,5,993,819,917,969,992
380,-1,10,990,797,903,988,983
390,-2,16,989,801,887,977,975
400,-2,22,1072,801,880,976,979
410,-1,26,979,785,855,962,966
420,0,28,976,792,857,973,976
430,0,28,1008,782,791,970,922
440,0,27,994,827,832,974,977
450,0,26,995,784,837,970,975
460,0,26,1023,772,838,965,976
470,0,27,976,771,844,967,978
480,0,26,990,768,829,966,965
490,0,25,976,769,832,959,959
500,0,25,978,769,831,968,987
510,0,25,978,774,822,970,982
520,0,24,983,767,833,967,989
530,0,23,964,752,832,974,979
540,0,21,975,789,820,971,993
550,0,19,976,759,823,976,974
560,0,17,974,755,821,960,967
570,0,15,977,762,841,961,967
580,0,13,973,751,822,955,971
590,0,11,970,752,826,967,965
600,0,9,978,784,863,967,982
610,0,7,993,755,821,964,976
620,0,6,979,771,806,964,976
630,0,5,994,767,832,958,981
640,0,4,962,770,858,967,966
650,0,3,990,761,863,965,979
660,0,2,991,759,837,968,976
670,0,1,976,753,832,960,970
680,0,0,983,762,828,976,978
690,0,0,973,753,835,961,977
700,0,0,991,767,793,962,986
710,0,0,1006,750,838,974,977
720,0,0,1009,758,827,952,980
730,0,0,985,781,844,976,978
740,0,0,977,766,846,963,971
750,0,0,995,752,863,973,996
760,0,0,979,757,832,976,986
770,0,0,1058,762,827,965,977
780,0,0,982,761,830,959,982
790,0,0,987,774,823,962,982
800,0,0,982,752,829,972,987
810,0,0,982,725,843,967,984
820,0,0,979,755,838,967,976
830,0,0,976,756,831,977,999
840,0,0,976,749,848,960,973
850,0,0,992,761,835,964,983
860,0,0,989,799,844,976,983
870,0,0,994,752,830,977,973
880,0,0,979,772,798,967,990
890,0,0,976,766,863,963,986
900,0,0,974,761,839,960,977
910,0,0,983,758,833,959,979
920,0,0,973,753,854,970,976
930,0,0,977,767,842,960,975
940,0,0,979,750,832,963,978
950,0,0,983,752,841,963,981
960,0,0,991,753,839,959,973
970,0,0,983,778,855,976,985
980,0,1,976,749,833,976,983
990,0,2,971,778,844,958,992
