timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,-1,-3,981,752,809,970,979
10,0,-6,977,722,830,966,976
20,0,-9,976,720,838,946,973
30,0,-12,976,758,849,962,976
40,0,-13,981,720,844,959,976
50,0,-13,978,661,861,982,971
60,0,-13,975,734,833,970,982
70,0,-13,974,736,851,971,976
80,0,-13,974,720,854,955,973
90,0,-13,977,726,879,978,976
100,0,-13,967,731,863,958,972
110,0,-12,976,747,861,965,980
120,0,-11,977,721,887,961,976
130,0,-10,995,724,882,956,976
140,0,-9,986,720,907,960,978
150,0,-8,963,727,912,951,992
160,0,-8,974,729,901,965,979
170,0,-8,971,713,891,963,972
180,0,-8,975,715,914,956,978
190,0,-8,983,697,912,916,965
200,0,-9,976,715,913,960,983
210,0,-9,975,720,933,970,979
220,0,-9,986,722,925,976,973
230,0,-9,977,718,931,958,982
240,0,-10,973,735,933,975,981
250,0,-11,979,720,927,960,987
260,0,-11,989,726,925,964,983
270,0,-10,987,738,925,997,977
280,0,-9,961,735,926,977,982
290,0,-8,1004,736,933,973,990
300,0,-6,998,745,935,970,976
310,0,-4,997,771,924,987,986
320,0,-2,991,759,935,976,979
330,0,0,1001,767,932,976,998
340,0,0,1002,776,930,959,976
350,0,0,1010,752,944,980,988
360,0,0,1007,759,923,981,991
370,0,0,997,742,919,960,970
380,0,0,1015,767,931,976,981
390,0,0,1002,762,925,979,976
400,0,0,999,767,935,970,977
410,0,0,1021,767,928,977,973
420,-1,1,1003,772,923,976,979
430,-3,3,1008,742,915,982,974
440,-4,6,987,752,919,976,993
450,-5,10,985,738,905,1007,976
460,-5,13,979,736,880,986,976
470,-5,15,966,741,875,974,971
480,-4,16,975,714,845,965,983
490,-3,16,955,729,841,957,966
500,-2,16,974,721,819,960,977
510,-1,16,971,704,801,962,975
520,-1,17,963,704,813,961,989
530,-1,18,967,691,800,960,976
540,-1,19,960,698,799,976,970
550,-1,19,967,704,797,952,976
560,0,19,970,693,795,960,979
570,0,18,979,693,802,971,976
580,0,17,975,695,785,976,983
590,0,16,958,715,797,956,977
600,0,15,963,689,798,967,971
610,0,14,961,691,790,963,992
620,0,13,966,688,784,953,976
630,0,11,993,693,808,959,1036
640,0,9,974,685,787,943,974
650,0,7,983,702,789,967,979
660,0,5,967,709,800,919,977
670,0,3,979,686,807,957,978
680,0,1,984,699,788,969,976
690,0,0,955,656,803,986,985
700,0,0,961,692,794,954,966
710,0,0,969,697,791,972,959
720,0,0,974,688,797,954,987
730,0,0,922,697,794,945,992
740,1,1,976,725,794,960,977
750,0,0,987,707,821,963,977
760,0,0,971,679,803,955,991
770,0,0,971,722,816,959,986
780,0,-1,985,688,802,958,974
790,0,-1,985,699,813,947,976
800,0,0,981,693,812,965,989
810,0,0,998,713,791,957,981
820,0,0,967,688,798,958,973
830,0,0,967,689,805,965,977
840,0,0,991,703,807,976,976
850,0,0,964,695,815,974,975
860,0,0,977,688,805,967,982
870,0,0,970,707,807,972,976
880,0,0,975,695,800,954,976
890,0,0,976,678,805,970,975
900,0,0,955,694,801,969,970
910,0,0,984,693,801,963,979
920,0,0,974,706,806,951,976
930,0,0,982,693,809,962,977
940,0,0,982,678,805,960,978
950,0,0,969,704,818,959,981
960,0,0,919,706,813,967,973
970,0,0,975,708,816,958,974
980,0,0,969,677,807,969,978
990,0,1,944,698,803,951,977
