timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,968,713,815,965,976
10,0,-2,973,706,816,969,977
20,0,-7,976,716,775,955,976
30,0,-11,997,721,819,958,992
40,0,-13,1008,721,847,964,980
50,0,-12,976,674,788,960,993
60,0,-10,976,719,833,957,977
70,0,-9,978,723,845,973,971
80,0,-8,980,727,848,963,977
90,0,-7,976,724,846,970,1001
100,0,-6,975,704,841,957,977
110,0,-5,965,709,849,969,975
120,0,-4,976,747,846,960,979
130,0,-3,985,725,848,974,977
140,0,-2,976,717,847,965,973
150,0,-1,977,737,877,963,982
160,0,0,981,722,867,957,975
170,0,0,981,730,883,960,946
180,0,0,970,742,875,970,978
190,0,0,993,719,883,960,979
200,0,0,997,668,879,959,978
210,0,0,981,725,897,957,978
220,0,0,995,721,908,961,994
230,0,0,998,713,898,970,981
240,0,0,992,743,896,964,976
250,0,0,990,721,912,960,965
260,0,0,995,723,916,970,989
270,0,0,987,734,912,960,976
280,0,0,999,717,895,966,981
290,0,0,1002,723,928,958,971
300,0,0,981,743,944,960,973
310,0,0,1013,751,898,966,977
320,0,-1,1008,740,919,963,976
330,0,-2,997,747,930,975,971
340,0,-3,989,800,915,981,982
350,0,-4,997,744,923,974,986
360,0,-5,1004,735,919,960,974
370,0,-4,997,727,919,964,976
380,0,-3,999,738,907,961,974
390,0,-2,994,722,929,951,981
400,0,-1,1010,742,922,961,991
410,0,0,994,754,880,960,976
420,0,0,1010,757,863,972,979
430,0,0,1015,743,923,960,976
440,0,0,1009,755,874,969,978
450,0,0,1009,751,927,957,976
460,0,0,1003,742,915,951,981
470,0,0,1017,738,900,967,986
480,0,0,1029,759,900,965,990
490,0,0,995,749,923,966,979
500,0,0,1002,752,924,977,979
510,0,0,1007,739,919,961,981
520,0,0,1013,730,951,955,977
530,0,0,1000,751,912,964,986
540,0,0,1015,720,875,962,987
550,0,0,1009,737,907,973,977
560,0,1,1023,738,911,975,995
570,0,2,992,720,912,974,979
580,0,3,1012,738,875,959,979
590,0,4,1021,724,848,966,981
600,0,5,999,723,832,965,976
610,0,6,998,720,806,960,974
620,0,7,973,758,825,948,977
630,0,8,991,727,801,950,977
640,0,9,1006,720,783,957,963
650,0,10,989,705,789,947,976
660,0,11,1002,708,775,951,986
670,0,12,976,710,757,961,991
680,0,13,998,724,838,949,979
690,0,13,979,699,773,947,977
700,0,13,991,710,773,952,987
710,0,12,994,717,766,958,995
720,0,11,1003,734,783,949,990
730,0,10,1008,705,766,958,974
740,0,8,978,695,784,963,972
750,0,6,998,715,784,955,998
760,0,5,981,718,772,959,976
770,0,4,976,702,784,959,981
780,0,3,986,720,733,963,973
790,0,2,980,707,791,953,976
800,0,1,976,703,801,965,977
810,0,0,989,719,777,949,978
820,0,0,974,720,784,955,976
830,0,0,987,701,784,955,978
840,0,0,988,717,795,949,975
850,0,0,973,699,783,954,975
860,0,0,982,711,771,955,993
870,0,1,988,699,785,950,981
880,0,2,973,693,806,951,982
890,0,1,983,719,817,969,981
900,0,0,975,709,773,955,982
910,0,0,990,713,795,948,974
920,0,0,992,709,786,953,967
930,0,0,1006,699,803,957,977
940,0,0,998,709,789,961,978
950,0,0,983,704,773,958,976
960,0,0,982,716,788,957,982
970,0,0,994,704,791,949,973
980,0,0,998,691,781,951,980
990,0,0,979,706,786,957,976
