timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,-1,13,975,755,864,973,984
10,-2,6,976,759,841,965,977
20,-3,0,982,757,846,979,991
30,-3,-4,995,758,842,976,983
40,-2,-5,989,757,849,974,987
50,-2,-5,975,752,851,967,975
60,-2,-5,977,746,859,991,960
70,-2,-5,967,755,869,971,989
80,-2,-5,994,759,841,992,976
90,-2,-6,976,759,852,974,982
100,-2,-7,992,752,842,979,978
110,-2,-8,986,759,861,976,982
120,-2,-9,977,749,855,966,976
130,-2,-10,990,752,885,966,974
140,-2,-10,977,765,861,976,977
150,-2,-10,970,778,871,968,977
160,-2,-10,978,752,859,955,989
170,-2,-9,998,727,871,962,978
180,-2,-8,966,755,880,990,982
190,-2,-7,976,747,886,979,962
200,-2,-6,998,752,901,975,981
210,-2,-6,991,753,899,970,976
220,-2,-7,975,765,925,978,987
230,-2,-9,995,796,905,976,979
240,-1,-11,991,816,917,980,959
250,0,-14,994,779,922,974,991
260,0,-18,992,786,915,997,992
270,1,-21,1008,798,751,973,972
280,0,-18,1008,785,933,978,993
290,-2,-13,992,781,934,976,983
300,-3,-7,998,785,927,983,991
310,-4,-1,992,789,941,976,976
320,-4,3,998,809,924,976,990
330,-5,7,1002,800,919,976,983
340,-6,10,993,788,921,982,972
350,-6,12,1008,812,927,989,982
360,-5,13,1001,803,933,976,981
370,-4,13,981,802,931,974,1003
380,-2,12,1003,801,925,977,986
390,0,12,958,754,928,976,1007
400,1,12,997,766,929,978,972
410,2,13,1006,795,928,967,985
420,3,14,1003,800,923,976,987
430,4,16,993,786,935,981,987
440,5,19,1021,789,933,982,978
450,6,23,1008,813,923,970,982
460,7,28,1001,786,924,986,976
470,9,32,976,778,923,980,976
480,11,35,991,752,902,965,980
490,13,37,1008,780,894,978,982
500,15,38,993,774,921,1005,987
510,17,38,1014,765,894,973,983
520,18,38,1015,793,895,989,977
530,19,38,995,786,896,983,981
540,20,39,996,774,880,991,982
550,21,40,990,781,882,989,982
560,21,41,982,738,901,981,989
570,21,42,999,770,881,973,982
580,21,43,1006,785,878,974,985
590,21,43,994,778,867,984,976
600,21,43,1001,768,861,968,985
610,21,43,992,792,868,975,986
620,22,44,981,767,855,970,975
630,23,45,988,771,903,972,966
640,23,46,988,774,880,976,979
650,23,47,1005,771,859,976,975
660,23,48,982,767,891,976,987
670,23,49,978,813,860,953,977
680,23,49,1017,776,863,973,981
690,22,49,992,778,869,977,960
700,22,48,979,770,868,982,980
710,22,47,1005,770,850,971,977
720,22,46,987,762,851,978,983
730,22,45,977,768,864,967,974
740,21,44,994,802,871,978,961
750,20,42,987,769,880,976,979
760,19,41,986,784,865,983,985
770,18,39,986,774,865,969,978
780,17,36,1003,782,874,970,980
790,16,34,1016,773,871,975,974
800,15,33,992,784,864,971,983
810,14,32,983,767,862,995,976
820,13,31,990,775,863,946,960
830,12,30,1008,778,851,976,979
840,11,29,973,785,858,977,932
850,10,27,986,782,858,992,986
860,9,25,1005,780,859,976,980
870,8,22,1001,798,864,977,979
880,7,19,992,779,864,978,976
890,6,16,987,775,874,993,975
900,5,14,997,767,861,983,983
910,4,12,1002,775,874,966,983
920,4,11,1005,768,861,976,985
930,3,9,989,771,868,992,985
940,2,7,997,784,871,976,987
950,0,5,1019,767,864,976,977
960,0,2,985,777,862,974,978
970,0,0,991,754,871,976,976
980,0,-3,987,769,867,1037,979
990,0,-6,979,784,875,966,973
