timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,0,995,720,782,965,979
10,0,-1,983,711,786,959,976
20,0,-2,986,720,786,959,976
30,0,-3,980,721,778,964,979
40,0,-4,982,708,755,976,999
50,0,-4,983,725,785,964,976
60,0,-4,963,714,794,952,981
70,0,-4,996,721,791,951,979
80,0,-4,980,720,789,961,983
90,0,-4,962,722,800,977,979
100,0,-4,986,734,805,961,979
110,0,-4,995,720,812,957,981
120,0,-4,986,719,830,977,980
130,0,-4,992,730,843,962,976
140,0,-4,976,723,843,976,976
150,0,-4,978,741,865,961,976
160,0,-4,982,738,865,974,977
170,0,-4,957,748,887,959,971
180,0,-4,985,741,890,976,978
190,0,-4,1002,728,900,970,976
200,0,-5,997,780,907,970,981
210,0,-6,983,733,926,969,980
220,0,-7,972,748,940,954,978
230,0,-8,1001,747,915,978,977
240,0,-9,989,733,912,977,973
250,0,-10,1001,725,912,970,984
260,0,-11,1005,726,930,963,984
270,0,-12,990,739,925,983,986
280,0,-13,990,747,928,975,978
290,0,-14,992,752,927,983,976
300,0,-15,990,748,928,981,983
310,0,-15,1001,753,921,975,979
320,0,-15,997,756,926,976,989
330,0,-15,1002,730,941,979,977
340,0,-15,998,751,939,976,974
350,0,-15,1009,748,925,975,976
360,0,-15,1008,755,960,951,982
370,0,-14,1002,759,928,975,976
380,0,-13,1007,750,930,975,999
390,0,-12,1009,784,925,933,976
400,0,-11,999,752,930,976,980
410,0,-10,1010,763,929,973,990
420,0,-9,995,769,925,973,981
430,0,-8,1001,758,907,992,981
440,0,-7,1001,759,919,952,989
450,0,-6,1008,754,926,970,982
460,0,-6,1005,754,944,960,983
470,0,-6,994,763,933,979,988
480,0,-6,1004,757,935,970,976
490,0,-6,1013,757,940,965,976
500,0,-6,991,754,939,971,986
510,0,-6,953,768,921,966,980
520,0,-6,1004,771,934,977,977
530,0,-5,1011,775,927,992,986
540,-1,-3,992,762,934,973,979
550,-2,0,1005,755,913,974,979
560,-3,2,969,758,913,973,982
570,-4,4,987,754,902,966,981
580,-4,6,992,761,897,970,977
590,-4,8,993,727,843,933,978
600,-4,10,987,730,834,967,979
610,-3,11,1034,751,829,957,982
620,-2,12,1005,720,811,967,957
630,-1,13,994,714,803,960,976
640,0,13,1008,704,817,976,986
650,0,13,990,709,797,960,980
660,0,13,991,703,778,963,974
670,0,13,976,705,778,970,975
680,0,13,976,710,774,962,979
690,0,13,960,692,767,949,999
700,0,13,981,687,777,961,975
710,0,12,976,685,759,965,976
720,0,11,976,672,763,945,982
730,0,10,985,651,773,945,977
740,0,10,977,677,761,966,977
750,0,9,977,654,790,962,973
760,0,8,990,688,768,973,979
770,0,7,966,674,784,976,987
780,0,6,978,662,781,916,986
790,0,5,983,656,767,970,976
800,0,4,938,662,762,948,976
810,0,3,1006,660,780,950,983
820,-1,3,949,658,765,963,985
830,-2,3,993,652,741,964,988
840,-2,3,983,656,762,972,981
850,-2,3,982,671,773,956,985
860,-2,3,976,659,781,958,979
870,-2,3,976,651,751,965,975
880,-2,3,978,658,768,956,979
890,-2,3,986,659,770,976,976
900,-2,3,981,661,753,953,976
910,-2,3,982,671,750,950,976
920,-3,3,978,654,755,959,979
930,-3,3,989,650,752,960,983
940,-3,3,978,658,752,963,986
950,-3,3,969,656,774,968,975
960,-3,3,986,624,732,973,987
970,-3,3,984,661,782,938,970
980,-3,3,978,646,763,963,986
990,-3,3,976,667,763,979,975
