timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,988,768,853,965,982
10,0,-2,981,758,854,964,990
20,0,-3,976,743,845,961,982
30,0,-3,965,771,837,976,979
40,0,-3,991,771,851,959,983
50,0,-3,982,753,849,960,976
60,0,-3,995,743,845,965,982
70,0,-3,982,762,837,976,978
80,0,-3,975,761,850,957,976
90,0,-3,987,729,901,975,987
100,0,-3,998,752,847,970,979
110,0,-2,976,765,853,987,994
120,0,-1,976,770,854,973,979
130,0,0,999,768,849,970,976
140,0,0,986,767,854,961,989
150,0,0,981,762,849,967,978
160,0,0,973,775,810,971,986
170,0,0,997,768,878,960,990
180,0,0,987,768,896,974,976
190,0,0,1003,769,874,965,976
200,0,0,979,765,909,973,978
210,0,-1,986,758,911,963,975
220,0,-2,994,767,950,971,976
230,0,-3,978,759,913,968,987
240,0,-3,1002,769,927,965,989
250,0,-3,992,784,924,950,987
260,0,-4,980,768,922,975,981
270,0,-5,1006,780,934,964,945
280,0,-6,1003,782,935,1040,979
290,0,-7,1008,783,938,976,976
300,0,-8,1004,770,940,981,979
310,0,-7,1008,761,930,967,979
320,0,-6,993,754,951,986,976
330,0,-5,989,786,926,976,977
340,0,-4,1014,761,918,976,975
350,0,-3,994,783,906,975,980
360,0,-2,1013,779,933,972,987
370,0,-1,1022,796,941,966,990
380,0,-1,1002,794,897,963,976
390,0,-1,1015,784,931,973,976
400,0,-1,991,784,939,978,983
410,0,-1,1020,784,927,970,976
420,0,-1,999,798,915,971,985
430,0,-1,1014,784,935,963,965
440,0,-1,1015,796,930,972,977
450,0,-1,1029,786,928,976,977
460,0,0,1008,810,898,975,1003
470,0,0,1003,796,942,966,975
480,0,1,991,790,924,960,995
490,0,4,1012,793,923,974,976
500,0,8,994,790,912,966,973
510,0,12,998,809,912,993,985
520,0,16,974,778,892,975,976
530,0,19,984,753,843,974,978
540,0,21,977,777,831,959,977
550,0,22,979,743,824,982,980
560,0,22,976,769,807,986,983
570,0,21,974,756,807,949,979
580,0,20,976,763,816,959,976
590,0,19,983,754,815,959,999
600,0,18,981,742,815,962,979
610,0,17,969,742,806,958,982
620,0,16,985,782,801,966,976
630,0,15,976,743,803,960,976
640,0,13,985,733,811,1013,976
650,0,12,973,743,792,965,973
660,0,11,976,752,791,956,976
670,0,9,976,752,806,943,994
680,0,8,977,730,799,960,982
690,0,7,975,742,827,959,985
700,0,6,992,742,801,970,975
710,0,5,970,743,809,973,979
720,0,4,985,762,801,947,966
730,0,3,976,740,813,976,976
740,0,2,980,739,797,956,973
750,0,2,964,742,810,966,977
760,0,1,982,732,801,973,986
770,0,0,976,752,799,957,976
780,0,0,976,749,807,957,976
790,0,0,981,759,816,960,982
800,0,0,987,723,834,931,982
810,0,0,991,747,805,965,977
820,0,0,976,734,805,951,986
830,0,0,976,746,809,960,976
840,0,0,976,739,813,966,972
850,0,0,976,767,801,952,981
860,0,0,978,739,815,974,980
870,0,0,976,731,868,957,973
880,0,0,981,752,815,976,976
890,0,0,977,734,816,961,971
900,0,0,966,741,816,954,976
910,0,0,986,745,800,959,981
920,0,0,979,742,829,961,983
930,0,0,989,739,835,971,979
940,0,0,979,742,828,962,973
950,0,0,979,750,830,960,979
960,0,0,977,748,811,951,976
970,0,0,976,733,822,947,980
980,0,0,962,737,816,977,983
990,0,0,986,759,807,955,978
