timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,978,727,817,951,981
10,-2,0,955,715,825,965,977
20,-1,-2,981,722,842,965,967
30,0,-4,976,720,831,959,981
40,0,-5,961,721,848,964,977
50,0,-7,967,752,837,977,981
60,0,-8,982,715,870,974,977
70,0,-8,981,721,870,968,981
80,0,-8,971,725,853,956,976
90,0,-8,964,720,897,965,982
100,0,-7,977,725,881,975,990
110,0,-7,986,735,884,976,981
120,0,-7,1010,722,910,976,974
130,0,-7,976,721,879,960,970
140,0,-7,993,740,893,976,974
150,0,-7,1008,725,886,976,977
160,0,-7,987,741,889,963,992
170,0,-7,961,750,912,960,978
180,0,-7,984,754,898,986,965
190,0,-7,976,735,910,957,982
200,0,-7,1030,741,916,965,980
210,0,-8,997,742,922,978,971
220,0,-9,979,752,916,975,992
230,0,-10,986,732,917,975,979
240,0,-12,1001,742,922,987,973
250,0,-13,1022,738,929,970,976
260,0,-14,992,721,928,966,962
270,0,-14,991,741,923,961,976
280,0,-12,1009,755,912,985,982
290,0,-10,987,752,926,976,977
300,0,-8,998,741,915,976,996
310,0,-6,960,746,927,968,976
320,0,-5,1008,761,937,953,980
330,0,-4,1020,762,932,991,981
340,0,-4,996,752,927,978,976
350,0,-3,1015,759,928,975,974
360,0,-2,1011,753,930,960,976
370,0,-1,1001,752,929,983,976
380,0,0,1006,767,946,976,977
390,0,0,1008,762,938,965,978
400,0,0,1000,770,934,977,976
410,0,0,1001,752,926,977,976
420,0,-1,1014,778,923,971,985
430,0,-2,1004,762,922,973,983
440,0,-3,1008,772,944,965,998
450,0,-3,1021,765,934,976,987
460,0,-2,990,752,916,966,980
470,0,0,976,751,908,961,983
480,-1,2,993,747,918,971,976
490,-1,5,997,754,906,968,985
500,-1,8,997,734,864,961,980
510,-1,10,991,734,843,976,979
520,0,12,994,729,821,1010,985
530,0,14,976,745,795,968,948
540,0,15,983,731,805,967,983
550,0,16,976,745,786,955,954
560,0,17,969,713,798,966,973
570,0,17,995,727,784,972,987
580,0,17,981,717,784,957,974
590,0,17,987,703,785,952,976
600,0,17,976,705,786,950,973
610,0,17,969,707,780,963,978
620,0,17,977,702,800,953,976
630,0,17,975,688,784,960,982
640,0,16,972,689,781,960,976
650,0,15,976,702,775,955,976
660,0,14,964,704,786,960,977
670,0,12,978,702,784,967,985
680,0,10,986,693,799,959,982
690,0,8,987,706,784,961,981
700,0,6,963,714,787,960,944
710,0,5,982,717,771,953,978
720,0,4,973,701,784,964,976
730,0,3,972,701,798,963,975
740,0,2,994,703,779,955,976
750,0,1,976,704,784,960,977
760,0,1,976,655,784,958,982
770,0,1,976,701,778,959,976
780,0,0,997,714,784,957,947
790,0,0,973,709,784,960,975
800,0,0,989,697,779,951,981
810,0,0,966,701,795,967,976
820,0,0,971,705,797,970,979
830,0,0,976,711,793,962,975
840,0,0,991,704,786,957,979
850,0,0,976,707,789,946,978
860,0,0,983,683,789,946,989
870,0,0,983,714,787,948,989
880,0,0,976,710,798,963,974
890,0,0,1011,702,804,969,980
900,0,0,961,707,791,963,977
910,0,0,1029,699,797,960,981
920,0,0,981,705,782,945,1003
930,0,0,976,713,799,966,976
940,0,0,981,720,784,960,978
950,0,0,975,708,806,951,974
960,0,0,979,704,790,954,979
970,0,0,977,684,798,987,991
980,0,0,977,703,806,961,981
990,0,0,1003,703,795,950,986
