timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,992,737,840,972,991
10,0,-5,1008,739,829,962,979
20,0,-7,986,743,847,968,981
30,0,-8,986,740,858,975,991
40,1,-9,1008,744,829,973,976
50,1,-10,986,733,849,976,986
60,1,-10,987,749,835,976,987
70,1,-10,974,729,848,974,986
80,1,-10,987,738,864,963,986
90,1,-10,986,736,855,967,977
100,1,-9,1002,728,866,976,981
110,1,-8,991,737,878,976,976
120,1,-7,983,741,887,937,976
130,1,-5,987,739,869,977,982
140,1,-3,987,735,880,973,983
150,1,-2,991,746,890,976,977
160,1,-1,984,735,878,974,979
170,1,0,971,735,880,965,977
180,1,0,986,749,897,976,979
190,1,0,998,746,896,976,990
200,1,0,1007,749,907,974,977
210,1,0,979,738,902,974,981
220,1,0,989,749,915,964,975
230,1,0,983,752,908,946,978
240,1,0,989,748,921,978,976
250,0,0,996,758,912,965,976
260,0,0,1007,756,912,974,978
270,0,-1,1055,752,912,976,976
280,0,-2,990,721,926,994,986
290,0,-3,1001,757,914,966,977
300,0,-3,994,747,939,972,976
310,0,-3,987,754,905,974,977
320,0,-3,976,751,919,982,976
330,0,-4,993,752,926,970,978
340,0,-5,981,754,930,976,981
350,0,-6,983,747,929,975,981
360,0,-7,978,738,932,979,976
370,1,-9,1001,763,937,979,987
380,2,-11,973,737,890,978,978
390,3,-13,989,757,922,976,976
400,3,-14,979,752,927,976,982
410,3,-13,992,763,934,976,976
420,2,-11,1008,755,926,975,976
430,1,-9,989,756,944,975,978
440,0,-7,994,778,929,973,983
450,0,-5,1007,758,930,978,977
460,0,-4,995,773,903,951,976
470,0,-3,1014,768,932,970,981
480,0,-3,979,766,924,973,979
490,0,-3,997,763,912,991,1004
500,0,-3,992,762,945,979,982
510,0,-3,985,775,944,966,967
520,0,-3,1004,784,933,987,990
530,0,-3,1005,778,923,976,977
540,0,-3,992,772,938,979,995
550,0,-3,997,769,919,983,988
560,0,-2,1034,757,925,961,1015
570,0,-1,991,755,917,976,1003
580,0,0,983,795,908,989,984
590,0,2,986,777,901,976,976
600,0,4,1002,758,896,967,980
610,0,5,990,762,868,982,981
620,0,5,991,752,872,933,979
630,0,4,979,759,866,960,992
640,0,3,981,761,834,977,976
650,0,2,997,737,817,971,980
660,0,2,979,770,837,976,976
670,0,2,977,752,802,971,975
680,0,2,995,747,804,983,980
690,0,2,982,738,809,953,977
700,0,2,1007,724,791,965,1023
710,0,2,987,752,799,970,982
720,0,2,998,740,798,966,975
730,0,2,978,750,813,965,978
740,0,2,991,757,784,967,975
750,0,2,1003,748,810,989,987
760,0,2,992,745,813,969,970
770,0,2,998,723,794,975,982
780,0,2,986,700,807,967,976
790,0,2,994,758,803,967,976
800,0,2,964,767,801,954,977
810,0,2,990,717,797,980,976
820,0,2,995,738,804,969,983
830,0,2,976,737,869,960,981
840,0,2,1001,743,814,976,973
850,0,2,957,755,806,973,976
860,0,2,984,759,797,989,977
870,0,2,990,738,811,965,977
880,0,2,971,737,823,973,979
890,0,2,990,743,789,970,987
900,0,2,992,752,805,971,978
910,0,2,976,729,815,973,976
920,0,2,973,738,811,976,977
930,0,2,983,736,816,982,975
940,0,2,986,752,803,979,976
950,0,2,982,764,802,960,976
960,0,2,993,736,825,967,971
970,0,2,976,734,814,967,966
980,0,2,991,756,834,973,976
990,0,2,977,743,767,975,1008
