timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,0,995,723,804,946,977
10,0,-1,976,737,829,959,976
20,0,-3,976,741,816,976,983
30,0,-4,991,739,816,987,976
40,0,-5,978,751,816,977,976
50,0,-6,972,749,822,976,986
60,0,-6,977,736,809,986,982
70,0,-6,979,687,828,967,989
80,0,-6,962,740,816,981,977
90,0,-6,977,752,811,963,970
100,0,-6,976,743,819,963,979
110,0,-5,1062,750,834,981,976
120,0,-4,989,738,797,954,988
130,0,-3,980,745,822,964,976
140,0,-2,983,755,829,976,976
150,0,-1,983,745,815,987,983
160,0,0,977,739,830,976,976
170,0,0,977,769,825,976,1002
180,0,0,994,741,867,1005,979
190,1,0,982,752,874,972,986
200,2,0,976,757,834,976,976
210,3,0,990,752,894,964,980
220,4,0,985,752,901,988,977
230,4,-1,1004,763,912,994,980
240,4,-2,975,758,914,979,979
250,4,-3,979,783,912,963,976
260,4,-4,982,774,917,989,986
270,4,-4,999,766,912,976,976
280,4,-4,990,761,912,969,975
290,4,-4,997,781,938,976,982
300,4,-4,979,771,957,978,979
310,5,-4,1009,789,921,981,978
320,6,-4,998,782,928,975,976
330,6,-4,981,771,922,978,978
340,6,-4,995,785,939,976,976
350,6,-4,996,783,925,976,989
360,6,-4,992,809,923,972,971
370,5,-3,992,787,925,983,977
380,4,-2,979,779,926,987,991
390,3,-1,992,784,951,983,978
400,2,0,1001,787,935,977,980
410,1,1,1003,794,947,996,976
420,0,2,1000,795,941,983,977
430,0,2,1008,775,944,977,985
440,0,2,999,822,938,997,998
450,0,2,999,798,930,977,978
460,0,2,958,786,937,977,976
470,0,2,999,782,912,994,987
480,0,1,1005,776,918,983,986
490,0,0,1000,786,926,976,997
500,0,0,1004,782,926,978,983
510,0,0,1084,782,926,970,980
520,0,0,1007,809,927,975,960
530,0,0,989,790,929,980,980
540,0,0,1019,739,937,995,987
550,0,0,1014,791,941,982,979
560,0,0,1007,785,907,976,979
570,0,0,992,803,923,978,958
580,0,0,997,781,915,973,977
590,-1,0,977,795,931,976,979
600,-2,0,1004,784,914,983,1002
610,-3,1,986,789,914,978,974
620,-4,2,998,775,919,971,973
630,-5,3,997,798,911,990,976
640,-5,4,995,784,927,962,995
650,-5,5,1006,795,892,934,976
660,-4,7,987,779,881,978,997
670,-3,9,997,787,855,973,977
680,-3,11,993,774,854,983,983
690,-2,13,999,761,836,970,982
700,-2,14,1008,768,836,962,971
710,-2,15,987,848,834,974,979
720,-1,15,1008,749,844,958,1021
730,0,15,1003,763,827,967,963
740,0,14,992,754,828,955,986
750,0,13,995,748,821,961,977
760,0,12,985,726,827,973,981
770,0,11,1005,760,799,970,978
780,0,10,985,753,832,962,984
790,0,9,989,771,823,969,982
800,0,9,998,755,826,970,981
810,0,11,987,767,818,976,975
820,0,11,957,755,836,970,979
830,0,10,982,758,843,962,953
840,0,10,990,781,825,960,980
850,0,9,976,752,821,994,969
860,0,8,991,763,828,967,992
870,0,7,991,752,817,973,975
880,0,6,1030,752,816,959,993
890,0,6,983,752,821,960,976
900,0,6,994,756,829,979,976
910,0,6,998,701,817,1030,981
920,0,5,995,755,832,972,979
930,0,4,975,743,837,963,976
940,0,3,991,746,829,957,977
950,0,2,994,753,826,961,976
960,0,1,1003,752,834,971,976
970,0,0,990,781,797,973,971
980,0,0,976,751,831,976,973
990,0,0,977,752,822,980,973
