timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,981,730,848,979,977
10,-1,-3,976,748,873,963,979
20,0,-5,990,737,845,993,981
30,0,-7,986,721,841,978,976
40,0,-9,976,722,831,978,978
50,0,-11,977,735,841,989,979
60,0,-12,982,752,849,976,981
70,0,-13,977,724,845,975,979
80,0,-14,973,725,849,982,979
90,0,-15,947,752,847,965,983
100,0,-16,977,742,848,976,976
110,0,-16,990,745,848,976,989
120,0,-16,965,727,845,971,990
130,0,-16,970,745,854,985,983
140,0,-16,991,742,816,1022,982
150,0,-16,976,726,870,976,970
160,0,-15,976,737,876,985,971
170,0,-14,971,763,889,985,963
180,0,-13,976,725,886,983,978
190,0,-12,1008,726,896,992,986
200,0,-12,977,739,911,985,979
210,0,-12,990,735,918,986,981
220,0,-12,978,720,898,1002,976
230,0,-13,976,735,915,995,979
240,0,-14,978,731,905,1003,979
250,0,-14,995,735,911,983,981
260,0,-14,982,731,912,982,978
270,0,-14,979,747,906,974,967
280,0,-13,990,739,924,976,982
290,0,-12,989,745,925,987,979
300,0,-11,960,746,923,985,978
310,0,-10,997,731,917,983,1007
320,0,-9,974,735,946,985,991
330,0,-8,986,755,922,989,964
340,0,-7,993,755,920,986,977
350,0,-6,930,747,925,979,973
360,0,-5,987,750,928,997,977
370,0,-4,991,752,921,994,987
380,0,-3,999,745,921,976,990
390,0,-2,987,760,929,977,981
400,0,-1,1003,746,931,989,983
410,0,-1,994,773,928,979,982
420,0,0,989,742,919,979,977
430,0,0,1006,794,933,1000,993
440,0,0,987,738,919,982,978
450,0,0,998,747,925,983,976
460,0,1,994,690,924,981,979
470,0,3,991,740,935,1005,989
480,0,6,1010,702,919,981,977
490,0,9,981,721,935,987,1007
500,0,12,985,745,899,976,980
510,0,14,982,755,910,985,994
520,0,15,990,753,885,982,976
530,0,15,987,750,871,979,986
540,0,15,981,710,874,987,979
550,0,15,980,752,880,979,979
560,0,15,985,747,853,977,979
570,0,14,978,752,859,987,990
580,0,13,984,744,851,982,978
590,0,12,976,742,878,976,985
600,0,11,978,754,850,982,978
610,0,10,997,754,859,976,990
620,0,9,986,758,868,978,997
630,0,9,986,741,851,992,982
640,0,9,986,738,861,975,1003
650,0,9,986,751,852,985,980
660,0,9,994,751,867,985,975
670,0,8,994,774,850,986,982
680,0,7,997,731,858,976,976
690,0,6,960,757,853,990,977
700,0,5,1008,732,859,976,979
710,0,4,987,734,870,976,987
720,0,3,970,733,848,991,986
730,0,3,994,746,879,993,976
740,0,3,986,746,850,991,973
750,0,3,988,740,815,982,974
760,0,3,978,731,848,976,982
770,0,3,978,746,871,979,976
780,0,3,989,755,855,972,986
790,0,3,989,746,874,983,981
800,0,2,999,737,830,989,979
810,0,1,989,739,855,987,979
820,0,0,979,747,843,981,980
830,0,0,981,777,857,953,1008
840,0,0,977,740,864,989,986
850,0,0,997,721,886,994,988
860,0,0,983,739,861,982,976
870,0,0,982,752,845,982,979
880,0,0,960,741,839,985,981
890,0,0,976,736,853,988,985
900,0,0,987,730,851,978,978
910,0,0,976,752,874,991,973
920,0,0,981,741,866,986,977
930,0,0,991,742,873,998,999
940,0,0,973,748,855,989,977
950,0,0,987,750,848,979,975
960,0,0,991,743,861,989,976
970,0,0,983,738,867,982,976
980,0,0,978,687,877,913,981
990,0,0,1003,737,864,981,993
