timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,1,3,981,729,862,963,977
10,0,-2,997,742,848,967,976
20,0,-6,989,729,856,966,977
30,0,-9,973,731,844,965,981
40,0,-13,989,737,851,963,976
50,0,-16,1003,752,854,981,987
60,0,-18,987,734,859,970,976
70,0,-19,996,743,848,963,980
80,0,-20,991,752,874,962,997
90,0,-20,983,735,863,961,980
100,0,-20,1029,736,880,938,976
110,0,-20,983,736,883,970,976
120,0,-21,958,740,881,973,983
130,0,-22,981,720,880,961,983
140,1,-23,996,747,897,965,983
150,2,-24,998,752,881,972,980
160,3,-25,976,737,912,970,979
170,4,-26,988,751,907,970,979
180,5,-27,1015,722,917,966,969
190,5,-28,990,739,919,978,982
200,6,-29,1008,757,917,971,976
210,6,-30,988,754,931,964,975
220,6,-32,985,752,927,971,976
230,6,-34,982,752,933,974,984
240,6,-35,983,758,921,975,980
250,6,-36,1015,761,934,967,980
260,6,-37,1008,756,925,969,981
270,6,-37,982,753,929,959,998
280,5,-35,994,770,929,983,987
290,4,-33,1008,766,930,994,967
300,3,-31,994,747,939,979,979
310,2,-30,945,762,940,979,976
320,2,-29,1008,766,925,976,977
330,2,-28,1004,758,931,988,983
340,2,-27,1008,721,932,983,985
350,2,-26,995,816,925,979,978
360,2,-25,1017,770,907,991,979
370,2,-24,1010,763,928,981,979
380,2,-24,1003,774,922,965,991
390,3,-24,1001,771,925,977,976
400,4,-24,1029,771,921,971,977
410,5,-24,1000,782,928,977,980
420,5,-24,997,778,944,975,983
430,5,-23,1003,777,935,986,983
440,5,-21,1005,784,923,981,976
450,5,-17,1003,806,914,953,977
460,5,-13,999,781,912,978,979
470,5,-9,987,774,917,966,978
480,6,-5,989,761,894,987,979
490,7,-2,1002,755,882,976,1039
500,8,0,991,763,850,973,975
510,9,1,976,753,862,967,974
520,10,1,967,766,832,967,971
530,11,1,967,773,875,961,979
540,12,1,972,765,846,963,981
550,13,1,935,739,839,974,967
560,14,0,980,766,845,964,982
570,15,0,975,773,845,967,979
580,16,0,979,770,834,971,976
590,17,0,994,767,843,976,977
600,18,0,979,724,839,978,978
610,19,0,994,760,843,982,982
620,20,0,965,751,844,976,975
630,21,0,973,795,835,971,979
640,22,0,993,755,848,973,983
650,23,0,981,759,862,962,982
660,23,0,976,733,854,957,998
670,23,0,974,763,834,983,990
680,23,0,983,741,853,962,981
690,23,0,982,779,848,977,977
700,23,0,991,750,844,978,976
710,23,0,979,761,848,960,978
720,23,0,982,766,848,965,976
730,22,0,987,763,839,971,992
740,21,0,978,761,859,975,987
750,20,0,987,757,850,976,980
760,19,1,985,722,843,962,976
770,18,1,979,766,855,973,976
780,17,1,970,771,841,959,977
790,16,1,977,755,845,976,983
800,15,1,976,759,839,976,976
810,14,0,982,791,847,942,978
820,13,0,979,742,869,976,977
830,12,0,988,746,850,976,973
840,11,0,991,739,861,971,977
850,10,0,975,752,845,970,975
860,9,0,987,748,843,967,978
870,8,1,983,768,851,971,950
880,7,2,975,758,860,963,977
890,6,3,974,760,883,1007,995
900,5,5,977,762,858,975,991
910,4,7,976,765,862,972,983
920,4,8,977,752,855,982,978
930,4,9,976,750,846,969,985
940,5,9,992,700,822,979,966
950,6,9,993,767,846,978,979
960,7,10,977,753,871,972,976
970,8,11,981,784,880,981,976
980,9,12,979,761,853,963,978
990,10,13,979,766,825,971,970
