timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,0,999,725,861,977,992
10,0,-3,1002,753,837,964,975
20,0,-6,996,730,832,976,972
30,0,-7,986,734,816,959,982
40,0,-9,1003,740,845,962,977
50,0,-11,982,733,853,961,977
60,0,-11,986,743,880,976,975
70,0,-11,976,720,867,960,979
80,0,-11,992,740,905,976,981
90,0,-10,998,726,899,970,983
100,0,-10,990,741,930,971,961
110,0,-10,999,735,913,963,979
120,0,-10,1012,727,902,978,977
130,0,-9,1005,737,902,965,983
140,0,-8,999,736,909,971,976
150,0,-7,964,739,905,970,994
160,0,-6,995,741,935,974,994
170,0,-5,992,738,909,976,979
180,0,-4,991,745,912,967,978
190,0,-3,1000,738,926,971,986
200,0,-3,998,743,940,965,953
210,0,-3,999,738,917,979,976
220,0,-3,991,750,928,976,995
230,0,-3,998,736,949,976,977
240,0,-3,1010,743,912,977,986
250,0,-3,997,748,915,990,977
260,0,-3,1001,720,915,975,976
270,0,-3,998,758,914,975,975
280,0,-3,998,769,909,970,946
290,0,-4,987,752,921,963,977
300,0,-5,991,746,922,967,979
310,0,-6,1008,752,935,965,999
320,0,-6,991,738,945,974,979
330,0,-5,994,762,925,976,961
340,0,-4,1006,742,914,973,976
350,0,-3,995,739,921,980,986
360,0,-2,1008,749,927,977,993
370,0,-1,993,747,915,976,981
380,0,0,987,750,929,966,981
390,0,0,985,751,929,961,959
400,0,0,987,746,931,973,986
410,0,0,1008,748,932,967,989
420,0,-1,993,770,918,969,976
430,0,-2,994,752,938,975,977
440,0,-3,996,754,928,961,964
450,0,-3,990,731,913,976,973
460,0,-3,978,752,926,976,977
470,0,-3,1005,771,875,973,978
480,0,-2,993,743,922,964,976
490,0,0,986,747,922,981,995
500,0,1,1005,737,922,974,981
510,0,2,985,742,915,961,976
520,0,3,995,756,923,962,976
530,0,4,987,747,917,965,979
540,0,5,992,752,899,966,975
550,0,6,991,719,902,982,993
560,0,6,1007,738,880,983,976
570,0,6,1004,761,869,935,983
580,0,6,981,737,872,973,981
590,0,6,993,742,867,961,998
600,0,6,982,743,864,971,949
610,0,6,989,735,857,980,987
620,0,6,979,733,847,963,970
630,0,6,989,686,844,959,988
640,0,6,988,736,855,969,983
650,0,5,1017,731,849,979,978
660,0,4,977,745,859,966,985
670,0,3,981,738,848,970,997
680,0,2,994,752,837,963,982
690,0,1,983,731,848,976,976
700,0,0,1008,739,858,957,988
710,0,0,976,733,843,962,978
720,0,0,994,731,818,971,979
730,0,0,981,704,866,975,974
740,0,0,987,732,838,950,976
750,0,0,977,765,841,966,977
760,0,0,991,745,839,970,976
770,0,0,985,742,849,965,978
780,0,0,983,832,870,969,981
790,0,0,971,742,832,974,977
800,0,0,985,720,839,969,975
810,0,0,976,751,850,978,976
820,0,0,979,736,839,967,978
830,0,0,987,720,842,973,976
840,0,1,973,735,843,1009,979
850,0,2,969,733,834,977,978
860,0,2,981,735,835,961,978
870,0,2,977,734,849,976,979
880,0,2,994,737,848,978,978
890,0,2,987,750,836,971,983
900,0,2,973,735,852,972,985
910,0,2,975,727,848,988,979
920,0,2,985,731,848,984,979
930,0,2,973,732,857,971,977
940,0,2,983,720,843,965,977
950,0,2,977,734,842,960,984
960,0,2,981,723,839,960,977
970,0,2,1043,734,848,971,979
980,0,2,983,736,859,967,977
990,0,2,967,722,848,966,979
