timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,977,730,816,965,976
10,0,-3,989,720,818,960,976
20,0,-6,989,709,823,979,979
30,0,-7,988,722,814,974,977
40,0,-8,976,722,819,975,982
50,0,-9,993,724,831,962,976
60,0,-9,1002,730,817,962,977
70,0,-8,984,725,818,961,986
80,0,-8,985,705,807,974,979
90,0,-7,990,753,832,960,976
100,0,-6,929,730,818,971,969
110,0,-5,965,739,826,976,976
120,0,-4,991,741,816,971,981
130,0,-3,989,730,826,975,978
140,0,-3,976,763,830,960,979
150,0,-3,979,731,843,979,976
160,0,-3,999,731,849,995,991
170,0,-3,982,773,854,970,979
180,0,-3,967,747,880,976,979
190,0,-3,991,713,868,969,987
200,0,-3,1002,747,879,978,981
210,0,-4,985,752,890,977,976
220,0,-5,995,752,887,976,972
230,0,-6,954,751,891,976,985
240,0,-7,982,741,913,985,983
250,0,-8,987,753,913,978,987
260,0,-9,975,763,909,967,977
270,0,-10,980,730,930,1002,986
280,0,-11,983,757,922,973,976
290,1,-12,979,771,915,996,985
300,2,-13,982,770,914,1003,986
310,3,-15,970,761,918,992,988
320,4,-17,995,742,907,991,977
330,4,-16,1006,765,917,976,976
340,3,-15,974,784,927,991,977
350,2,-14,993,779,922,973,987
360,1,-13,995,769,912,1006,975
370,0,-11,1019,785,914,971,977
380,0,-9,988,771,922,998,978
390,0,-7,1006,769,924,993,983
400,0,-6,1000,766,926,987,960
410,0,-5,1005,774,927,995,979
420,0,-5,1011,784,929,981,960
430,0,-5,1009,763,935,990,978
440,0,-5,992,795,926,986,976
450,0,-4,1018,783,927,985,970
460,0,-3,1008,773,927,987,976
470,0,-2,1004,775,926,975,990
480,0,0,998,815,929,985,982
490,0,1,1002,777,922,972,987
500,0,3,1003,782,919,987,976
510,0,5,1002,784,882,986,978
520,0,7,940,774,909,985,976
530,0,9,950,771,909,980,976
540,0,10,976,769,910,977,977
550,0,11,1009,779,892,967,977
560,0,11,976,759,887,1009,973
570,0,11,990,751,863,976,977
580,0,11,989,762,842,991,976
590,0,11,991,747,869,983,975
600,0,11,1008,758,863,975,974
610,0,11,998,765,851,983,975
620,0,10,1006,763,834,982,976
630,0,9,995,756,838,982,985
640,0,8,997,759,863,967,986
650,0,7,981,734,854,970,983
660,0,6,991,716,851,983,998
670,0,5,978,743,850,976,987
680,0,7,987,751,838,975,974
690,0,6,995,754,849,976,981
700,0,5,999,741,871,979,976
710,0,5,951,752,848,973,983
720,0,4,976,765,853,978,976
730,0,3,992,743,848,977,976
740,0,3,1003,737,847,967,986
750,0,3,1003,751,874,985,974
760,0,3,983,734,858,976,989
770,0,3,1021,746,829,982,976
780,0,3,987,746,843,987,979
790,0,2,999,748,871,970,993
800,0,1,991,743,847,975,975
810,0,0,977,748,847,980,976
820,0,0,1010,784,851,975,960
830,0,0,986,739,842,983,976
840,0,0,987,770,843,983,977
850,0,0,995,743,850,989,976
860,0,0,981,759,845,975,978
870,0,0,1007,768,874,966,986
880,0,0,985,733,871,991,987
890,0,0,979,753,838,985,995
900,0,0,995,752,866,961,978
910,0,0,975,757,861,976,987
920,0,0,987,747,848,973,976
930,0,0,994,753,847,977,982
940,0,0,985,744,851,976,979
950,1,1,989,747,864,972,995
960,1,1,983,742,846,986,976
970,1,1,991,743,860,967,978
980,1,1,986,773,845,971,1004
990,1,1,987,737,851,976,976
