timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,958,729,886,962,978
10,0,-2,978,731,845,976,976
20,0,-4,985,735,839,980,948
30,0,-5,993,720,848,967,976
40,0,-6,981,726,846,976,989
50,0,-7,976,736,855,975,982
60,0,-7,994,730,867,976,983
70,0,-7,991,741,866,972,985
80,0,-7,996,720,871,978,985
90,0,-6,999,730,887,982,976
100,0,-5,995,723,885,977,996
110,0,-4,980,729,896,976,975
120,0,-4,986,735,901,976,976
130,0,-4,981,721,912,994,976
140,1,-4,991,733,912,971,978
150,1,-3,983,725,906,973,978
160,1,-2,992,720,907,985,960
170,1,-1,984,720,929,973,976
180,1,0,993,721,919,993,989
190,1,0,979,739,913,976,985
200,1,0,971,725,931,974,983
210,1,0,950,723,922,1005,964
220,1,0,992,727,913,976,981
230,1,0,976,726,924,976,976
240,1,0,995,757,929,960,986
250,1,0,1008,726,917,985,977
260,1,-1,1010,742,913,998,976
270,1,-2,994,746,938,970,982
280,1,-3,972,733,922,978,995
290,1,-4,990,714,931,976,977
300,1,-4,1007,737,926,969,987
310,1,-4,1022,754,926,912,985
320,1,-4,998,743,941,978,976
330,1,-4,929,753,922,976,963
340,1,-3,995,729,929,981,979
350,1,-2,995,753,931,987,983
360,0,-1,1022,747,931,989,991
370,0,0,1018,746,912,973,977
380,0,0,998,747,927,976,976
390,0,0,993,742,944,999,979
400,0,0,1008,752,922,980,979
410,0,0,994,752,929,976,981
420,0,0,993,747,933,983,971
430,0,0,996,752,943,962,976
440,0,0,1010,746,940,983,976
450,0,0,1005,756,933,974,983
460,0,0,980,752,918,991,981
470,0,0,997,752,912,963,976
480,0,0,1001,767,926,982,976
490,0,0,1003,747,925,976,978
500,0,1,973,735,915,978,986
510,0,3,993,751,919,971,983
520,0,6,1007,737,908,957,981
530,0,8,988,745,921,985,987
540,0,10,1005,743,896,970,981
550,0,11,978,763,889,976,976
560,0,12,987,731,898,977,981
570,0,12,1011,744,877,972,983
580,0,12,979,743,847,975,986
590,0,12,986,752,859,971,987
600,0,11,976,736,867,970,975
610,0,10,977,736,863,969,981
620,0,9,976,753,832,973,990
630,0,8,959,730,831,976,980
640,0,7,976,733,838,977,981
650,0,6,976,743,830,967,977
660,0,5,985,737,831,983,992
670,0,4,980,730,831,972,978
680,0,3,976,738,830,982,1004
690,0,2,991,742,830,977,980
700,0,1,981,731,849,973,983
710,0,1,989,745,836,976,964
720,0,1,980,746,845,970,986
730,0,1,1008,727,824,971,986
740,0,1,993,743,848,971,977
750,0,1,1004,740,834,966,978
760,0,1,976,724,849,969,978
770,0,1,992,727,836,970,985
780,0,1,982,733,826,970,980
790,0,1,977,737,837,975,977
800,0,1,987,752,830,976,976
810,0,1,978,752,848,965,978
820,0,1,979,672,801,964,983
830,0,1,990,723,844,977,980
840,0,1,951,684,865,975,976
850,0,1,975,729,837,980,986
860,0,1,1006,730,832,969,973
870,0,1,978,725,831,987,977
880,0,1,988,752,831,979,974
890,0,0,978,730,826,982,990
900,0,0,983,772,866,974,979
910,0,0,973,752,846,975,978
920,0,0,949,733,837,975,970
930,0,0,987,736,850,978,977
940,0,0,993,734,838,969,980
950,0,0,979,769,810,966,990
960,0,0,896,742,843,978,976
970,0,0,939,742,827,980,979
980,0,0,989,737,837,969,976
990,0,0,990,752,837,974,979
