timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,0,986,718,841,986,983
10,0,-1,988,752,848,976,994
20,0,-2,987,737,839,952,988
30,0,-3,994,727,849,982,978
40,0,-4,976,745,842,965,979
50,0,-5,977,729,836,943,979
60,0,-6,986,729,833,976,981
70,0,-6,995,742,844,960,967
80,0,-6,992,746,848,987,985
90,0,-6,978,752,881,979,987
100,0,-6,972,738,871,990,990
110,0,-6,982,739,867,985,982
120,0,-6,991,763,849,997,989
130,0,-6,978,736,880,976,979
140,0,-6,987,737,880,978,976
150,0,-6,976,729,889,976,986
160,0,-6,983,737,898,977,981
170,0,-6,991,742,898,990,979
180,0,-6,989,752,901,981,979
190,1,-7,983,751,917,993,980
200,2,-8,979,725,906,945,1002
210,3,-9,981,753,929,982,981
220,3,-9,976,741,923,989,1042
230,3,-9,991,763,949,981,1006
240,3,-9,997,768,928,976,987
250,3,-8,992,752,927,980,973
260,3,-7,993,737,959,967,989
270,3,-6,1001,768,925,977,977
280,3,-6,993,747,938,979,983
290,4,-6,983,775,930,994,971
300,5,-7,987,769,912,999,978
310,6,-8,987,733,933,963,970
320,7,-9,992,792,919,985,981
330,7,-10,992,794,919,974,983
340,7,-11,976,784,921,997,997
350,7,-11,993,783,912,1008,991
360,7,-11,982,785,943,993,991
370,7,-11,999,799,929,997,991
380,7,-11,976,800,938,1004,977
390,6,-11,995,832,934,991,965
400,5,-10,989,797,944,995,979
410,4,-9,982,796,925,991,976
420,3,-8,991,803,935,1007,985
430,2,-6,982,790,921,989,976
440,1,-4,992,794,923,994,982
450,0,-2,1001,791,931,988,990
460,0,-1,999,794,950,991,980
470,0,-1,1006,803,921,982,967
480,0,-1,987,793,944,979,976
490,0,-1,964,785,928,989,1008
500,-1,-1,1002,816,945,989,982
510,-2,-1,993,787,934,994,983
520,-3,0,992,782,930,986,989
530,-4,0,1001,784,944,991,977
540,-5,0,986,801,953,1001,991
550,-6,1,999,787,941,995,971
560,-7,3,994,789,947,992,976
570,-8,6,1009,785,942,988,977
580,-9,9,989,777,915,991,986
590,-10,13,984,780,906,978,993
600,-10,17,990,800,896,1045,981
610,-10,19,983,780,871,991,988
620,-10,20,984,802,877,965,990
630,-9,20,978,751,847,979,979
640,-8,20,981,759,858,970,983
650,-7,19,992,763,798,996,985
660,-6,18,990,758,818,976,977
670,-5,17,967,765,835,979,989
680,-4,16,993,757,832,977,981
690,-4,15,994,761,819,986,967
700,-3,14,982,714,830,977,995
710,-2,13,994,740,821,944,976
720,-1,13,988,723,810,959,1042
730,0,13,998,768,830,944,977
740,0,12,992,753,833,993,983
750,0,12,1008,749,834,982,985
760,0,11,994,745,828,947,995
770,0,10,976,750,819,982,979
780,0,9,985,743,845,979,981
790,0,8,981,761,831,1037,977
800,0,7,981,743,819,986,982
810,0,6,971,736,816,976,962
820,0,5,978,753,822,995,976
830,0,4,997,733,839,983,986
840,0,3,989,747,829,970,979
850,0,3,987,748,819,985,976
860,0,3,982,751,811,973,986
870,0,3,976,741,830,976,976
880,0,3,989,749,819,990,971
890,0,3,981,752,825,976,981
900,0,3,986,752,842,976,982
910,0,3,977,754,829,976,982
920,0,2,976,762,829,999,982
930,0,1,975,763,846,967,981
940,0,0,982,757,825,959,976
950,0,0,981,753,864,978,967
960,0,0,1019,759,837,981,976
970,0,0,977,715,834,980,982
980,0,0,978,752,832,983,985
990,0,0,1013,752,819,974,976
