timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,1001,738,869,965,982
10,1,-6,993,753,880,971,976
20,1,-8,989,738,890,976,978
30,0,-10,980,746,893,957,981
40,0,-11,985,755,896,976,980
50,0,-11,1019,765,904,977,975
60,0,-11,991,754,915,978,983
70,0,-11,1021,760,901,976,989
80,0,-11,982,770,927,976,979
90,0,-12,985,767,918,974,976
100,0,-13,982,779,912,966,982
110,0,-14,998,754,906,967,976
120,0,-15,997,784,930,975,975
130,0,-15,1003,768,927,989,982
140,0,-15,979,787,931,998,980
150,0,-15,992,768,931,968,994
160,0,-15,990,764,951,955,983
170,0,-15,985,780,933,967,976
180,0,-15,1004,765,940,965,981
190,0,-14,1001,771,919,976,976
200,0,-13,1009,782,923,963,983
210,0,-12,1001,783,933,979,977
220,0,-10,1000,775,945,989,977
230,0,-8,1008,769,944,976,978
240,0,-6,1007,779,927,983,976
250,0,-5,1008,784,939,963,983
260,0,-4,1006,762,944,963,955
270,0,-3,1005,813,931,976,981
280,0,-3,994,785,942,979,976
290,0,-3,1006,784,954,987,987
300,0,-3,1010,784,943,965,976
310,0,-3,1003,785,944,983,986
320,0,-3,999,749,930,975,987
330,0,-3,993,789,935,976,979
340,0,-3,1018,765,922,979,985
350,0,-3,997,787,933,980,977
360,0,-3,991,783,934,976,983
370,0,-2,1001,788,942,967,977
380,0,0,1001,779,915,979,976
390,0,2,976,812,922,990,983
400,0,4,976,781,913,963,978
410,0,6,986,782,921,969,987
420,0,8,982,779,906,970,975
430,0,10,969,763,883,974,980
440,0,12,967,754,870,973,985
450,0,13,968,740,849,971,976
460,0,14,974,731,835,966,977
470,0,15,986,746,822,959,979
480,0,16,970,746,823,973,978
490,0,17,972,750,815,969,978
500,0,17,973,749,791,982,986
510,0,17,976,726,827,962,979
520,0,17,982,720,818,966,973
530,0,16,986,735,816,979,983
540,0,15,973,737,788,974,987
550,0,14,973,750,817,940,986
560,0,13,978,720,810,963,978
570,0,12,976,720,797,961,976
580,0,11,980,759,805,973,976
590,0,9,973,729,798,961,982
600,0,8,978,726,789,964,972
610,0,6,976,721,816,960,983
620,0,5,953,718,810,972,976
630,0,4,963,715,799,955,953
640,0,3,960,723,813,957,974
650,0,2,971,721,815,967,971
660,0,1,971,735,773,959,976
670,0,0,962,715,815,964,977
680,0,0,987,747,817,960,985
690,0,0,965,721,803,962,976
700,0,0,963,720,792,967,976
710,1,1,967,737,801,969,982
720,0,0,960,729,823,961,984
730,0,0,956,726,811,959,975
740,0,0,969,735,816,968,956
750,0,0,976,729,820,962,976
760,0,0,967,732,831,963,973
770,0,0,970,720,816,963,977
780,0,0,983,730,845,981,976
790,0,0,971,721,812,945,982
800,0,0,958,726,812,967,969
810,0,0,966,731,810,960,976
820,0,0,970,717,817,942,981
830,0,0,960,720,813,961,976
840,0,0,976,723,818,967,956
850,0,0,962,720,843,961,976
860,0,0,926,719,838,976,961
870,0,0,975,727,818,975,961
880,0,0,961,720,823,976,976
890,0,0,993,727,827,964,976
900,0,0,976,736,823,976,974
910,0,0,963,720,847,966,975
920,0,0,982,746,827,976,976
930,0,0,967,741,834,951,976
940,0,0,960,722,816,946,966
950,0,0,978,719,821,963,985
960,0,0,961,728,816,965,975
970,0,0,966,722,822,978,983
980,0,0,957,729,825,972,981
990,0,0,965,721,830,965,985
