timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,976,735,817,967,976
10,0,-4,1006,733,835,961,978
20,0,-7,977,758,831,965,988
30,0,-9,976,729,832,970,979
40,0,-10,1005,730,873,960,967
50,0,-12,985,731,856,960,977
60,0,-12,983,731,867,959,986
70,0,-11,987,731,885,949,1002
80,0,-11,982,752,901,974,983
90,0,-11,1003,745,897,965,985
100,0,-11,995,755,911,991,976
110,0,-12,1003,749,909,959,990
120,0,-12,994,765,880,971,978
130,0,-12,1010,753,914,969,980
140,0,-11,1015,734,919,963,980
150,0,-10,1003,752,927,969,947
160,0,-10,1008,763,917,967,975
170,0,-10,1010,764,912,959,965
180,0,-10,1001,769,912,976,981
190,0,-10,1013,752,917,971,978
200,0,-10,1011,778,923,975,959
210,0,-11,1031,765,927,971,977
220,0,-11,1017,768,914,974,976
230,0,-10,1021,771,930,974,977
240,0,-9,1003,790,926,959,978
250,0,-8,1023,777,911,983,984
260,0,-7,1003,790,919,973,976
270,0,-6,1021,781,919,964,982
280,0,-4,1010,788,934,960,958
290,0,-2,1015,784,918,975,973
300,0,-1,1019,789,922,973,976
310,0,0,1011,783,914,970,982
320,0,0,1008,784,935,978,976
330,0,0,1014,777,931,974,978
340,0,0,1008,782,922,977,976
350,0,0,1021,775,925,977,992
360,0,0,1018,787,922,983,981
370,0,0,1015,787,925,974,981
380,0,0,994,731,896,965,994
390,0,0,1017,781,944,970,973
400,0,0,1005,785,921,975,972
410,0,-1,1010,784,913,1010,970
420,0,-1,1010,779,918,974,981
430,0,0,1010,779,918,957,1002
440,0,1,1008,720,906,960,955
450,0,2,1013,777,897,958,975
460,0,3,1004,785,868,944,971
470,0,4,998,779,848,969,982
480,0,5,992,762,845,978,977
490,0,6,1004,773,790,966,980
500,0,6,1001,755,808,967,982
510,0,6,1001,754,811,958,979
520,0,6,991,752,807,962,962
530,0,6,974,753,785,962,981
540,0,6,999,706,799,958,981
550,0,6,996,762,782,968,977
560,0,6,945,752,786,965,974
570,0,5,995,728,784,961,987
580,0,4,1002,743,793,974,977
590,0,3,960,733,807,956,961
600,0,2,980,743,784,966,976
610,0,1,986,749,787,955,977
620,0,1,987,747,781,965,977
630,0,1,996,734,799,959,978
640,0,1,993,725,779,966,997
650,0,1,981,719,833,966,962
660,0,1,991,739,806,961,980
670,0,1,993,742,816,974,972
680,0,1,981,742,784,965,976
690,0,1,983,752,806,979,983
700,0,1,982,717,799,971,976
710,0,1,987,731,794,967,975
720,0,1,1015,759,743,963,983
730,0,1,984,791,802,974,985
740,0,1,976,742,791,957,976
750,0,1,980,763,795,960,978
760,0,1,1002,736,809,962,989
770,0,1,1002,740,807,965,982
780,0,1,987,715,794,963,986
790,0,1,989,738,806,976,989
800,0,1,997,731,816,963,987
810,0,1,976,730,795,960,976
820,0,1,990,736,782,960,976
830,0,1,963,731,791,964,976
840,0,0,991,744,807,960,976
850,0,0,994,737,787,961,974
860,0,0,977,721,814,962,977
870,0,0,985,741,801,967,977
880,0,0,994,737,794,979,976
890,0,0,980,735,798,972,975
900,0,0,967,736,794,976,979
910,0,0,982,729,816,959,977
920,0,0,994,730,797,958,976
930,0,0,998,752,811,951,972
940,0,0,977,816,803,962,975
950,0,0,976,743,806,967,986
960,0,0,960,752,841,965,978
970,0,0,989,732,808,967,977
980,0,0,977,730,815,966,976
990,0,0,974,723,799,968,978
