timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,1,-2,986,735,827,983,977
10,2,-4,983,735,800,967,980
20,2,-5,1001,754,822,970,978
30,2,-5,980,739,826,972,980
40,2,-5,979,739,834,961,979
50,2,-5,973,738,819,974,987
60,2,-5,1003,733,827,977,981
70,2,-5,980,741,826,966,977
80,2,-4,980,743,830,979,976
90,2,-3,987,752,821,974,983
100,2,-2,976,731,835,976,976
110,2,-1,1055,756,850,976,969
120,2,0,994,752,844,987,977
130,2,0,990,750,861,971,993
140,2,0,976,747,898,970,977
150,2,0,983,748,882,975,976
160,2,0,995,745,883,977,987
170,2,0,982,754,912,974,982
180,2,0,976,753,895,975,976
190,2,0,991,750,917,976,976
200,2,0,982,776,905,995,995
210,2,0,976,755,905,976,983
220,2,0,997,769,941,987,990
230,2,0,980,748,917,995,991
240,2,0,992,751,912,997,986
250,2,0,980,751,912,962,985
260,2,0,995,757,922,979,991
270,2,0,976,774,922,971,983
280,2,0,986,778,934,986,979
290,2,0,989,754,913,976,978
300,2,0,977,785,961,976,987
310,2,-1,993,792,929,977,977
320,2,-2,981,789,919,984,983
330,2,-3,976,783,921,1006,977
340,2,-4,990,784,924,987,988
350,2,-5,979,773,935,990,987
360,3,-6,979,765,922,994,976
370,4,-7,990,784,944,978,987
380,5,-8,982,778,951,954,986
390,5,-9,993,783,919,981,987
400,5,-10,987,773,919,976,983
410,4,-10,1002,770,941,985,981
420,3,-9,985,796,957,992,981
430,2,-8,990,778,939,978,987
440,1,-7,990,784,933,976,983
450,1,-6,983,794,923,990,979
460,0,-5,990,782,942,991,977
470,0,-4,986,793,950,976,979
480,0,-3,964,781,938,1008,987
490,0,-3,993,785,943,998,990
500,0,-3,992,784,935,998,982
510,0,-3,942,791,929,991,978
520,0,-3,982,784,928,992,977
530,0,-3,984,778,937,975,980
540,0,-3,982,774,944,986,977
550,0,-2,1001,771,925,995,987
560,0,-1,987,773,933,988,987
570,0,0,981,778,929,987,982
580,-1,1,985,782,921,979,981
590,-2,2,981,763,915,987,986
600,-3,4,999,709,923,986,990
610,-4,6,976,759,930,983,982
620,-5,9,982,784,910,995,989
630,-5,12,1006,758,913,992,976
640,-5,15,984,757,919,995,979
650,-5,18,995,751,871,991,978
660,-5,20,1006,742,864,978,982
670,-4,22,988,747,851,1001,978
680,-4,23,985,751,845,981,983
690,-4,23,976,736,846,981,976
700,-4,22,983,751,835,995,981
710,-3,20,981,738,835,980,978
720,-2,18,1014,752,827,983,979
730,-1,16,987,739,839,970,987
740,-1,14,983,741,832,974,978
750,-1,12,955,744,832,977,989
760,-1,11,981,731,830,977,977
770,0,10,933,731,845,982,979
780,0,9,982,710,826,977,980
790,0,8,981,741,832,992,979
800,0,8,975,747,837,987,976
810,0,8,987,748,834,967,979
820,0,7,976,757,834,976,981
830,0,6,990,726,814,974,979
840,0,5,981,735,821,977,982
850,0,4,994,755,827,983,976
860,0,3,991,742,853,965,986
870,0,2,989,733,827,969,979
880,0,1,1008,727,843,996,977
890,0,1,989,733,837,976,976
900,0,1,970,734,829,984,982
910,0,1,950,725,842,994,979
920,0,1,981,728,835,976,981
930,0,1,963,745,843,991,975
940,0,1,995,730,829,944,976
950,0,1,991,725,839,975,977
960,0,1,960,749,832,932,980
970,0,1,980,730,832,969,981
980,0,1,981,720,832,976,983
990,0,1,990,736,816,959,976
