timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,977,752,851,976,982
10,0,-7,982,755,861,976,983
20,0,-9,985,737,862,973,976
30,0,-10,975,751,863,962,981
40,0,-10,966,768,871,976,978
50,0,-10,985,752,858,977,1031
60,0,-10,987,752,879,976,976
70,0,-9,987,755,878,977,975
80,0,-8,967,751,864,974,976
90,0,-7,983,749,879,967,976
100,0,-6,975,747,866,967,995
110,0,-5,987,749,880,973,969
120,0,-4,992,757,880,976,975
130,0,-3,976,757,883,973,965
140,0,-2,997,755,896,973,977
150,1,-1,992,752,891,976,987
160,1,0,986,753,892,976,978
170,1,0,971,752,899,971,987
180,1,0,991,739,890,997,999
190,1,0,969,783,907,976,979
200,1,0,981,773,909,976,976
210,1,0,1006,749,934,982,927
220,1,0,990,750,915,981,987
230,1,0,982,760,935,975,976
240,1,0,1001,754,922,1018,983
250,1,0,987,736,985,976,982
260,1,-1,991,766,933,993,967
270,1,-2,989,752,910,968,987
280,1,-3,992,764,918,970,980
290,1,-5,999,756,933,981,979
300,1,-7,997,764,919,987,985
310,1,-10,1002,774,908,995,976
320,1,-13,993,759,922,983,979
330,2,-15,994,765,931,960,976
340,2,-16,1038,784,931,972,979
350,1,-15,992,771,929,955,982
360,1,-14,986,769,944,976,991
370,1,-12,985,783,937,976,987
380,0,-10,994,770,928,982,976
390,0,-8,1008,786,930,979,970
400,0,-6,993,759,935,977,980
410,0,-4,991,767,934,976,988
420,0,-3,1008,773,928,978,976
430,0,-2,988,790,909,983,987
440,0,-1,1004,769,936,978,989
450,0,-1,1017,755,924,980,981
460,0,-1,1003,775,943,976,976
470,0,-1,1001,782,940,976,989
480,0,-1,994,766,933,982,989
490,0,-1,1040,765,926,975,986
500,0,-1,1011,807,912,985,976
510,0,-1,1002,755,935,979,977
520,0,-1,999,800,931,990,979
530,0,0,997,701,910,975,979
540,-1,1,1011,779,929,976,980
550,-2,4,1005,754,908,976,979
560,-3,7,996,769,895,976,969
570,-3,10,992,765,891,986,985
580,-3,13,959,743,875,976,976
590,-3,15,1007,766,848,981,981
600,-2,16,994,784,879,964,962
610,-1,17,986,769,848,974,977
620,0,17,992,763,838,979,978
630,0,16,987,761,864,977,985
640,0,15,990,757,841,978,982
650,0,14,993,752,835,970,981
660,0,13,998,755,842,985,978
670,0,12,1002,748,833,976,977
680,0,11,998,771,843,976,989
690,0,11,981,737,818,965,976
700,0,10,983,749,829,975,976
710,0,9,986,754,834,963,976
720,0,8,995,751,832,965,987
730,0,7,993,748,830,966,975
740,0,6,991,763,835,971,986
750,0,5,994,755,829,967,978
760,0,4,977,752,842,985,976
770,0,4,998,767,848,974,977
780,0,4,997,763,833,975,977
790,0,4,1001,763,848,974,975
800,0,4,982,765,843,966,979
810,0,4,983,752,838,976,967
820,0,4,988,749,841,963,981
830,0,4,999,752,848,978,981
840,0,4,990,739,858,979,976
850,0,4,992,753,848,976,976
860,0,3,976,762,835,973,986
870,0,2,983,749,837,976,974
880,0,1,996,752,848,965,979
890,0,1,989,760,861,970,981
900,0,1,999,751,838,989,981
910,0,0,994,747,839,968,977
920,0,0,976,752,848,972,971
930,0,0,987,757,837,962,979
940,0,0,977,739,841,989,976
950,0,0,979,787,821,976,977
960,0,0,992,749,863,962,982
970,0,0,983,752,848,971,993
980,0,0,992,768,838,970,979
990,0,0,978,755,848,959,989
