timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,986,726,810,957,976
10,-1,-2,988,742,829,955,974
20,-1,-4,977,710,819,965,992
30,-1,-5,981,738,828,970,975
40,-1,-7,989,746,817,967,976
50,-1,-9,976,727,816,972,977
60,-1,-11,977,726,832,960,975
70,-1,-12,985,734,807,963,930
80,-1,-13,978,730,826,955,977
90,-1,-14,991,727,839,965,974
100,0,-14,988,723,830,964,989
110,0,-14,999,735,853,977,980
120,0,-14,999,722,862,971,976
130,0,-14,1001,709,875,983,975
140,0,-13,991,754,868,976,977
150,0,-13,989,731,907,965,985
160,0,-13,981,741,887,965,973
170,0,-13,1008,743,886,975,973
180,0,-13,995,782,864,974,999
190,0,-13,997,743,913,990,976
200,0,-13,991,750,913,975,983
210,0,-14,984,756,923,973,965
220,1,-15,997,749,927,980,976
230,2,-16,1004,759,928,983,983
240,3,-17,1003,752,936,965,988
250,4,-18,999,753,931,981,976
260,5,-20,1007,797,928,979,969
270,6,-22,1006,769,907,983,987
280,6,-23,1007,762,913,992,980
290,5,-22,1008,770,934,994,975
300,3,-19,1004,783,929,970,974
310,1,-17,1007,767,942,986,977
320,0,-15,1014,756,934,1015,977
330,-1,-13,1009,780,941,990,986
340,-1,-11,1008,789,915,995,996
350,-1,-10,1022,791,942,989,977
360,-1,-9,1014,781,1019,981,976
370,0,-8,1012,795,938,1003,976
380,0,-7,1017,785,932,987,983
390,0,-6,1014,784,912,976,994
400,0,-6,1009,781,917,987,987
410,0,-6,1007,802,937,977,978
420,0,-6,1013,789,914,976,976
430,0,-6,1010,784,937,981,979
440,0,-5,1009,804,923,983,977
450,0,-4,1023,795,962,973,986
460,0,-1,1021,785,930,982,973
470,0,3,1008,785,887,992,999
480,-1,9,1006,769,919,976,987
490,-2,15,1009,767,906,982,980
500,-2,20,999,773,882,967,955
510,-1,24,1008,745,864,976,982
520,0,27,999,749,816,966,990
530,0,30,990,740,831,975,985
540,1,32,998,721,816,960,978
550,1,32,993,730,797,979,976
560,1,31,980,730,796,967,977
570,1,29,982,738,800,971,960
580,1,27,983,727,794,958,977
590,1,26,983,724,812,958,975
600,1,25,992,714,810,960,1007
610,1,24,983,766,809,959,979
620,1,23,994,732,797,976,987
630,1,22,995,720,819,970,974
640,1,20,982,718,806,957,976
650,1,17,998,720,797,957,973
660,1,14,978,690,800,976,976
670,1,11,976,707,798,978,976
680,0,8,998,731,806,975,978
690,0,7,1002,736,793,964,1008
700,0,5,990,726,793,965,922
710,0,3,1001,741,845,965,975
720,0,2,992,726,800,956,979
730,0,1,978,719,801,954,971
740,0,0,990,786,807,951,978
750,0,0,985,721,816,966,988
760,0,0,986,725,798,966,975
770,0,0,983,713,807,965,977
780,0,0,986,727,802,966,982
790,0,0,987,720,796,954,975
800,0,0,982,723,813,961,980
810,0,0,988,726,814,963,975
820,0,0,976,725,813,957,982
830,0,0,991,734,811,953,974
840,0,0,995,715,807,976,996
850,0,0,994,723,821,960,973
860,0,0,994,720,881,959,977
870,0,0,990,732,832,955,975
880,0,0,992,732,810,946,977
890,0,0,996,720,844,960,966
900,0,0,992,685,806,935,977
910,0,0,993,729,807,975,975
920,0,0,976,731,819,974,993
930,0,0,983,722,816,975,966
940,0,0,996,736,815,962,982
950,0,0,983,720,885,963,976
960,0,0,982,720,827,969,991
970,0,0,998,731,820,967,959
980,0,0,997,721,831,960,977
990,0,0,978,743,809,957,982
