timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,983,752,830,947,982
10,0,-3,976,749,830,960,983
20,0,-5,994,741,816,971,978
30,0,-6,996,735,832,956,979
40,0,-7,1001,759,834,965,974
50,0,-8,987,757,787,975,991
60,0,-8,983,775,857,961,976
70,0,-8,977,751,859,976,976
80,0,-8,976,758,875,971,975
90,0,-8,990,745,877,960,979
100,0,-8,995,752,853,976,986
110,0,-8,986,750,894,963,977
120,0,-8,987,742,912,974,987
130,0,-8,986,752,896,976,980
140,0,-8,993,752,898,949,978
150,0,-8,976,749,867,963,960
160,0,-8,982,742,927,967,976
170,0,-8,994,760,913,976,975
180,0,-8,1009,752,886,967,977
190,0,-8,989,757,914,980,982
200,0,-7,986,769,926,991,979
210,0,-6,989,755,897,979,976
220,0,-5,1002,766,929,967,980
230,0,-4,987,770,925,983,987
240,0,-4,993,775,805,973,983
250,0,-4,995,775,931,967,976
260,0,-5,992,752,916,974,963
270,0,-4,1002,759,922,999,980
280,0,-3,992,757,928,976,975
290,0,-2,997,785,901,967,976
300,0,-1,973,752,925,981,976
310,0,0,967,765,954,981,975
320,0,0,1005,771,927,977,978
330,0,0,996,766,917,972,979
340,0,0,1008,778,927,978,976
350,0,0,976,763,924,965,985
360,0,0,1006,775,942,977,976
370,0,0,1008,747,926,965,976
380,0,0,994,786,933,976,981
390,0,0,992,765,944,971,977
400,0,0,997,779,929,995,978
410,0,0,1005,778,939,975,982
420,0,0,1009,766,898,975,976
430,0,1,1010,774,902,971,975
440,0,3,1007,766,886,965,1035
450,0,4,1007,733,921,993,981
460,0,5,1022,778,863,972,982
470,0,5,999,769,848,978,967
480,0,5,1004,769,853,987,979
490,0,5,997,767,839,987,976
500,0,5,987,769,837,975,978
510,0,5,992,751,830,976,976
520,0,4,1003,784,837,963,976
530,0,3,1006,734,835,965,944
540,0,2,976,755,816,966,979
550,0,1,1002,773,759,985,978
560,0,1,999,758,807,961,982
570,0,1,939,753,818,970,975
580,0,1,1006,774,816,950,982
590,0,1,988,749,821,967,976
600,0,1,979,758,818,946,976
610,0,1,979,767,818,975,978
620,0,1,977,750,814,956,981
630,0,1,986,770,825,969,976
640,0,1,984,764,822,975,985
650,0,1,975,785,818,953,979
660,0,0,981,742,811,967,974
670,0,0,1004,751,805,967,983
680,0,0,996,749,817,933,980
690,0,0,982,762,816,958,976
700,0,0,978,758,815,981,991
710,0,0,993,778,819,974,944
720,0,0,982,759,825,966,982
730,0,0,990,768,783,958,980
740,0,0,986,766,811,925,974
750,0,0,1007,749,814,965,974
760,0,0,982,717,811,943,979
770,0,0,976,759,813,944,977
780,0,0,983,720,816,967,976
790,0,0,976,752,853,965,976
800,0,0,998,752,800,966,978
810,0,0,985,752,816,959,981
820,0,0,972,748,807,960,987
830,0,0,978,752,825,976,976
840,0,0,985,732,816,973,978
850,0,0,986,728,816,977,976
860,0,0,987,743,798,962,974
870,0,0,991,746,812,958,976
880,0,0,981,750,816,965,980
890,0,0,983,755,823,986,949
900,0,0,981,758,816,968,979
910,0,0,999,746,818,961,976
920,0,0,971,768,822,991,976
930,0,0,981,762,813,967,975
940,0,0,999,753,822,927,983
950,0,0,986,752,833,969,983
960,0,0,989,752,814,963,978
970,0,0,994,748,807,988,975
980,0,0,989,751,821,958,978
990,0,0,919,748,833,955,983
