timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,976,758,871,960,987
10,0,-6,977,772,862,974,977
20,0,-10,971,754,863,966,983
30,0,-12,976,771,848,976,987
40,0,-13,976,759,871,980,978
50,0,-15,975,772,878,976,976
60,0,-17,976,738,859,967,987
70,0,-18,970,761,878,986,983
80,0,-19,977,767,925,965,983
90,0,-20,975,758,913,963,974
100,0,-20,992,775,896,979,988
110,0,-20,1014,783,887,981,979
120,0,-20,982,766,906,974,976
130,0,-20,974,752,902,990,976
140,0,-20,983,752,905,976,978
150,0,-20,974,766,901,985,984
160,0,-20,983,765,902,982,997
170,0,-20,974,787,927,994,980
180,0,-19,946,795,915,976,975
190,0,-18,987,785,926,993,1001
200,0,-17,993,783,909,978,977
210,0,-16,979,769,914,976,992
220,0,-16,996,766,912,979,992
230,0,-16,978,774,921,994,985
240,0,-17,991,784,945,987,997
250,0,-18,1003,767,911,981,978
260,0,-19,975,784,923,969,972
270,0,-19,996,781,912,983,995
280,0,-17,979,771,926,976,977
290,0,-15,991,790,939,976,995
300,0,-12,981,785,923,982,980
310,0,-9,997,771,928,975,987
320,0,-6,986,782,928,978,977
330,-1,-3,988,795,930,991,976
340,-1,-1,999,790,942,989,943
350,-1,0,980,794,921,975,977
360,-1,0,990,790,930,978,978
370,-1,-2,994,785,931,976,980
380,-1,-4,991,787,922,976,979
390,-1,-6,986,799,944,979,977
400,-1,-7,988,786,933,987,1038
410,-2,-7,1008,797,926,982,975
420,-3,-6,1005,777,912,978,987
430,-4,-4,994,801,930,971,979
440,-5,0,998,778,925,973,982
450,-6,5,983,771,941,982,992
460,-7,10,995,803,919,970,979
470,-7,15,983,781,915,970,961
480,-6,19,989,774,893,976,992
490,-4,22,980,769,925,978,983
500,-3,24,979,787,880,976,987
510,-2,26,989,784,875,971,978
520,-1,27,998,767,863,976,985
530,0,27,981,783,835,970,982
540,0,26,988,782,848,973,986
550,0,25,974,762,848,966,976
560,0,23,962,759,832,978,976
570,0,21,986,738,842,962,976
580,0,19,977,752,835,964,979
590,0,18,983,720,832,963,977
600,0,17,979,752,843,972,977
610,0,16,978,746,848,973,990
620,0,16,983,750,831,962,987
630,0,16,971,757,827,961,975
640,0,16,978,766,832,963,981
650,0,16,997,760,829,959,985
660,1,16,984,745,854,962,985
670,1,16,990,740,848,963,976
680,1,16,990,753,842,967,974
690,1,16,981,767,834,965,990
700,1,16,979,745,846,975,976
710,1,16,977,747,833,976,987
720,1,16,998,763,839,971,976
730,1,16,979,753,834,977,973
740,1,15,1006,736,905,959,1003
750,1,14,993,790,841,963,977
760,0,13,982,751,833,977,983
770,0,12,986,781,839,963,987
780,0,11,978,762,858,977,979
790,0,10,985,753,849,977,976
800,0,9,983,753,848,976,1001
810,0,7,971,749,845,976,979
820,0,5,986,752,848,973,982
830,0,3,976,834,843,962,976
840,0,2,994,766,848,976,976
850,0,1,943,749,875,976,976
860,0,0,986,738,838,974,986
870,0,0,974,764,844,961,987
880,0,0,987,735,843,967,976
890,0,0,963,747,839,977,975
900,0,0,974,741,830,976,990
910,0,0,975,769,848,955,986
920,0,0,978,753,850,975,980
930,0,0,985,752,933,977,976
940,0,0,987,761,848,970,987
950,0,0,978,749,839,963,976
960,0,0,983,747,848,981,971
970,0,0,983,749,848,971,985
980,0,0,997,751,870,976,1003
990,0,0,976,746,854,970,986
