timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,979,730,805,945,960
10,0,-4,979,741,826,963,979
20,0,-5,997,733,833,959,970
30,0,-6,997,729,823,957,985
40,0,-8,989,747,848,961,980
50,0,-10,987,733,831,953,977
60,0,-12,979,745,848,968,976
70,0,-13,978,726,863,969,988
80,0,-14,1008,733,850,965,990
90,0,-15,1001,735,867,974,977
100,0,-16,994,738,875,963,977
110,0,-17,976,749,848,963,965
120,0,-18,979,741,878,972,987
130,0,-18,983,749,912,960,991
140,0,-18,958,746,909,991,990
150,1,-18,987,752,905,977,976
160,1,-18,1008,737,890,961,978
170,1,-18,997,741,909,973,975
180,1,-18,985,750,929,976,981
190,1,-18,977,765,911,977,978
200,1,-18,982,749,912,976,975
210,1,-18,986,748,937,960,981
220,1,-18,990,762,927,990,987
230,1,-18,976,747,923,989,977
240,1,-18,1008,752,883,995,975
250,1,-18,994,740,918,976,979
260,1,-18,985,752,939,944,976
270,1,-17,993,769,929,993,983
280,0,-15,1006,754,944,989,982
290,0,-13,1016,762,917,989,987
300,0,-11,1008,768,919,977,973
310,0,-9,993,765,931,976,989
320,0,-7,1013,762,944,981,971
330,0,-6,1008,785,933,985,976
340,0,-5,1016,767,939,988,994
350,0,-4,1014,769,916,997,982
360,0,-4,1022,767,937,977,976
370,0,-4,1008,774,938,978,952
380,0,-4,1006,784,931,976,982
390,0,-4,1005,782,933,998,963
400,0,-4,1038,773,912,992,960
410,0,-4,1015,773,939,999,979
420,0,-4,1004,773,927,979,987
430,0,-4,1006,782,938,976,986
440,0,-3,1008,780,938,983,981
450,0,0,1012,775,922,963,981
460,0,4,1031,771,912,978,978
470,0,9,994,773,901,971,991
480,0,14,992,776,879,976,999
490,0,19,1002,761,848,976,978
500,0,23,975,769,868,973,995
510,1,27,982,752,828,973,974
520,2,30,987,752,819,987,977
530,3,32,997,739,821,996,981
540,4,33,990,727,785,973,977
550,5,34,983,733,801,946,985
560,6,34,979,725,802,977,977
570,7,34,990,714,783,951,977
580,7,34,1000,709,802,937,973
590,7,34,982,731,784,960,967
600,7,34,974,709,789,944,973
610,7,33,980,716,787,974,979
620,6,32,991,724,787,957,973
630,5,31,974,720,784,957,976
640,4,29,995,711,783,953,983
650,3,26,987,710,790,950,977
660,2,23,1008,705,791,967,990
670,1,20,976,710,791,970,975
680,0,17,979,714,788,963,983
690,0,14,990,711,786,944,977
700,0,11,973,718,789,954,978
710,0,8,983,725,784,947,976
720,0,6,979,718,789,948,976
730,0,4,1007,715,784,955,976
740,0,3,989,725,784,948,981
750,0,2,976,713,788,961,976
760,0,1,944,720,785,968,976
770,0,0,976,711,798,954,978
780,0,0,1007,725,785,953,973
790,0,0,976,705,807,944,981
800,0,0,978,721,784,946,976
810,0,0,935,713,788,938,978
820,0,0,976,708,782,951,976
830,0,0,986,709,789,948,976
840,0,0,992,717,786,960,975
850,0,0,979,714,785,944,976
860,0,0,1008,702,798,947,976
870,0,0,976,718,794,965,976
880,0,0,976,714,779,947,982
890,0,0,979,714,797,949,978
900,0,0,980,704,795,960,985
910,0,0,969,715,784,950,976
920,0,0,960,706,754,957,978
930,0,0,973,715,794,953,977
940,0,0,912,701,790,962,987
950,0,0,980,717,810,947,971
960,0,0,976,705,790,962,974
970,0,0,976,718,787,964,971
980,0,0,987,710,784,960,985
990,0,0,992,715,796,953,983
