timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,982,739,838,960,979
10,0,-4,967,704,819,959,981
20,0,-6,969,717,836,961,975
30,0,-8,975,721,834,961,981
40,0,-10,976,753,875,981,975
50,0,-11,977,735,848,970,982
60,0,-11,1002,731,801,962,976
70,0,-11,976,752,893,923,981
80,0,-11,973,722,863,976,976
90,0,-11,976,706,890,964,977
100,0,-11,980,733,879,990,978
110,0,-11,976,735,887,961,979
120,0,-11,990,720,884,992,1001
130,0,-11,978,731,897,959,976
140,0,-11,1007,731,882,967,978
150,0,-11,966,769,911,957,1003
160,0,-11,978,743,897,976,983
170,0,-12,985,739,928,950,973
180,0,-13,1006,761,922,983,981
190,1,-14,979,766,912,961,978
200,2,-16,1017,751,950,974,944
210,2,-17,991,763,914,975,988
220,2,-18,1002,756,919,967,981
230,2,-19,998,768,899,999,979
240,1,-19,992,781,915,973,985
250,0,-18,990,769,926,975,992
260,0,-16,1013,787,929,958,979
270,0,-15,1002,773,932,960,974
280,0,-14,1002,769,922,976,983
290,0,-13,1011,781,921,983,985
300,0,-12,1003,787,940,978,974
310,0,-11,1002,771,915,943,959
320,0,-10,977,775,928,975,981
330,0,-9,1006,777,944,1008,1007
340,0,-8,1004,775,933,976,989
350,0,-7,987,777,928,969,999
360,0,-5,1003,791,927,978,978
370,0,-3,1003,778,930,975,976
380,0,-1,1008,784,926,957,992
390,0,0,1008,763,933,969,977
400,0,0,1039,800,939,974,983
410,0,0,1006,787,918,973,988
420,0,0,1005,774,945,973,978
430,0,0,992,770,926,971,979
440,0,1,1007,791,922,971,987
450,0,3,995,772,924,966,981
460,0,6,986,820,925,964,977
470,0,10,989,771,895,997,976
480,-1,15,990,796,896,967,976
490,-2,19,980,751,839,963,979
500,-2,22,985,791,848,965,976
510,-2,24,977,762,848,974,976
520,-2,25,966,764,811,975,978
530,-1,26,977,761,807,955,976
540,0,26,957,759,804,963,982
550,0,24,977,736,801,965,980
560,0,23,973,734,795,960,975
570,0,22,976,735,807,969,976
580,0,21,976,725,784,958,978
590,0,20,973,720,779,960,981
600,0,18,961,714,779,962,976
610,0,16,971,714,770,950,976
620,0,14,979,702,775,960,987
630,0,12,976,713,772,960,976
640,0,10,979,709,779,956,978
650,0,9,976,706,781,960,977
660,0,8,982,719,766,959,978
670,0,7,967,709,773,955,976
680,0,6,971,706,782,961,975
690,0,5,981,693,765,962,976
700,0,4,979,727,799,951,982
710,0,3,963,735,771,953,973
720,0,3,1007,689,782,961,983
730,0,2,978,693,774,957,981
740,0,1,974,699,775,962,976
750,0,1,976,706,784,976,976
760,0,1,979,702,778,959,976
770,0,1,967,688,779,958,973
780,0,1,973,697,783,955,960
790,0,1,976,705,783,949,976
800,0,1,991,714,753,958,981
810,0,1,966,694,797,970,955
820,0,1,938,694,782,956,977
830,0,1,986,704,782,947,964
840,0,1,976,724,802,957,971
850,0,1,981,715,785,960,969
860,0,1,983,720,782,960,980
870,0,1,961,717,780,949,978
880,0,1,965,697,781,958,997
890,0,1,975,715,779,951,976
900,0,1,1050,691,785,963,973
910,0,1,982,703,779,975,976
920,0,1,960,695,775,969,978
930,0,1,978,701,771,956,981
940,0,1,975,735,781,970,963
950,0,1,970,693,779,963,983
960,0,1,971,727,783,957,977
970,0,1,976,692,788,962,959
980,0,1,963,706,790,960,974
990,0,1,969,697,769,967,978
