timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,977,752,862,944,995
10,0,-5,986,757,853,970,975
20,0,-8,981,756,853,977,977
30,0,-10,983,752,848,926,985
40,0,-10,997,752,863,971,982
50,0,-10,1004,766,857,964,981
60,0,-10,963,741,902,975,976
70,0,-10,986,759,880,971,986
80,0,-10,992,763,869,992,967
90,0,-10,987,768,910,979,975
100,0,-9,977,762,912,973,976
110,0,-8,1002,755,909,987,976
120,0,-8,1004,756,899,966,977
130,0,-8,1008,772,912,969,973
140,0,-8,990,780,894,987,976
150,0,-7,990,763,912,967,976
160,0,-7,1014,771,927,976,975
170,0,-7,982,749,912,923,976
180,0,-7,992,756,915,982,986
190,0,-7,986,757,923,965,978
200,0,-7,1008,773,914,963,976
210,0,-7,1002,762,912,983,985
220,0,-7,995,774,929,973,976
230,0,-7,1005,766,923,981,982
240,0,-6,1011,835,911,983,981
250,0,-5,1008,803,923,1007,989
260,0,-3,995,780,919,976,981
270,0,-1,995,769,951,978,976
280,0,0,1008,757,939,966,976
290,0,0,1001,774,951,969,977
300,0,0,1040,807,932,959,978
310,0,0,1008,772,941,977,979
320,0,0,1020,775,909,965,976
330,0,0,1007,767,941,970,981
340,0,0,997,784,930,960,978
350,0,0,1008,770,932,975,976
360,0,0,1009,774,919,965,985
370,0,0,1011,775,942,983,982
380,0,0,1020,787,929,955,982
390,0,0,1007,773,928,973,976
400,0,0,1039,751,929,1003,961
410,0,1,1008,784,912,957,977
420,0,2,1009,765,932,974,976
430,0,3,991,774,885,949,976
440,0,5,1005,782,908,961,975
450,0,7,1008,777,907,969,975
460,0,9,988,800,899,965,978
470,0,11,1005,766,874,972,976
480,0,13,1002,771,895,978,976
490,0,15,993,765,879,973,985
500,0,17,997,764,862,964,984
510,0,19,999,763,853,991,979
520,0,20,1003,746,848,963,981
530,0,21,998,733,856,987,980
540,0,21,1008,746,848,975,983
550,0,21,996,765,853,969,977
560,0,21,1001,730,848,978,965
570,0,21,996,763,858,976,977
580,0,20,987,753,866,962,979
590,0,19,981,758,835,979,982
600,0,18,995,754,847,967,976
610,0,17,973,745,845,961,981
620,0,16,986,746,837,976,976
630,0,15,989,737,848,971,981
640,0,13,987,733,838,973,990
650,0,11,987,742,845,969,978
660,0,10,977,736,839,965,982
670,0,9,991,759,883,962,981
680,0,8,1003,752,853,975,973
690,0,7,996,764,851,975,986
700,0,7,983,749,850,975,976
710,0,7,990,738,842,975,977
720,0,6,1005,746,828,969,976
730,0,5,988,739,848,969,976
740,0,4,1008,750,849,967,981
750,0,4,1008,745,843,971,985
760,0,4,993,759,832,957,991
770,0,4,993,688,848,973,979
780,0,4,993,732,859,971,973
790,0,4,978,752,857,953,976
800,0,4,991,746,853,961,977
810,0,3,991,754,846,961,977
820,0,2,981,720,819,994,983
830,0,1,994,743,854,965,979
840,0,0,986,751,845,971,976
850,0,0,990,751,848,961,987
860,0,0,978,759,848,962,979
870,0,0,997,739,849,964,972
880,0,0,987,771,845,966,983
890,0,0,981,748,836,976,983
900,0,0,976,759,848,989,976
910,0,0,977,754,850,970,977
920,0,0,1010,735,832,976,977
930,0,0,1020,757,853,976,993
940,0,0,991,763,846,974,976
950,0,0,981,729,848,969,981
960,0,0,1013,688,849,971,965
970,0,0,985,743,865,973,981
980,0,0,981,738,877,966,976
990,0,0,997,752,845,966,976
