timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,979,710,847,970,983
10,0,-4,985,735,866,977,976
20,0,-4,983,754,860,978,990
30,0,-4,977,747,871,954,960
40,0,-4,976,736,874,976,976
50,0,-4,991,749,880,975,976
60,0,-4,989,734,907,986,981
70,0,-4,976,735,887,964,981
80,0,-4,987,720,901,987,976
90,0,-5,981,754,896,976,976
100,0,-6,978,752,912,973,986
110,0,-6,983,763,917,994,982
120,0,-7,991,743,914,975,976
130,0,-8,978,754,912,975,989
140,0,-8,976,733,912,966,976
150,0,-8,995,747,939,969,976
160,0,-8,993,742,850,966,977
170,0,-8,996,751,938,979,984
180,0,-9,997,755,922,980,976
190,0,-10,1001,763,939,967,978
200,0,-11,990,758,927,970,976
210,1,-12,998,761,933,973,983
220,1,-12,986,734,931,954,989
230,1,-10,980,753,943,969,976
240,0,-8,991,755,931,965,987
250,0,-6,983,761,925,970,973
260,0,-4,991,771,934,988,979
270,0,-2,989,762,925,979,981
280,0,-1,985,774,914,975,976
290,0,0,996,775,923,975,978
300,0,0,987,769,930,971,987
310,0,0,991,761,928,985,980
320,0,0,983,780,934,986,983
330,0,0,1008,773,911,976,979
340,0,0,998,747,921,969,977
350,0,0,1006,783,939,975,989
360,0,0,992,753,938,971,990
370,0,0,977,773,933,976,978
380,0,0,998,782,947,965,967
390,0,0,989,767,921,973,991
400,0,1,990,787,928,955,961
410,-1,3,985,762,925,976,987
420,-2,6,989,758,926,967,984
430,-2,9,999,783,895,958,976
440,-2,12,977,742,908,961,976
450,-2,15,981,743,855,942,979
460,-1,17,987,743,838,969,976
470,0,19,976,752,833,963,983
480,0,20,976,802,801,977,963
490,0,21,985,734,800,963,987
500,0,21,979,727,794,961,983
510,0,21,979,744,766,958,951
520,0,20,986,720,798,957,985
530,0,19,983,725,787,970,981
540,0,19,982,694,774,967,986
550,0,19,976,722,782,960,981
560,0,19,976,745,769,951,986
570,0,18,976,723,786,960,976
580,0,17,987,717,779,960,983
590,0,15,976,703,734,963,1005
600,0,13,983,726,769,970,983
610,0,11,978,640,778,971,981
620,0,9,991,711,783,977,986
630,0,7,978,729,794,962,979
640,0,5,991,704,784,947,994
650,0,4,977,714,770,954,980
660,0,3,976,722,783,957,977
670,0,2,970,725,784,955,982
680,0,2,977,709,772,949,979
690,0,2,981,707,777,970,976
700,0,2,979,720,775,973,973
710,0,1,977,720,789,960,975
720,0,0,981,710,780,951,976
730,0,0,975,723,773,955,976
740,0,0,988,704,838,955,995
750,0,0,977,720,784,971,977
760,0,0,989,713,786,965,976
770,0,0,980,722,783,948,973
780,0,0,987,718,785,965,978
790,0,0,979,717,788,958,975
800,0,0,977,707,781,963,976
810,0,0,979,726,775,953,982
820,0,0,983,711,797,973,967
830,0,0,959,719,786,973,975
840,0,0,979,734,787,969,976
850,0,0,981,710,806,961,978
860,0,0,991,720,789,957,987
870,0,0,971,663,779,947,989
880,0,0,985,737,794,966,1005
890,0,0,985,709,790,957,978
900,0,0,958,709,790,983,944
910,0,0,1005,719,794,970,953
920,0,0,994,723,787,961,976
930,0,0,991,722,816,945,962
940,0,0,985,720,777,960,976
950,0,0,1014,715,786,955,976
960,0,0,976,714,795,963,978
970,0,0,988,719,783,973,977
980,0,0,979,779,796,967,958
990,0,0,979,725,786,946,986
