timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-4,976,736,863,978,976
10,0,-6,975,761,837,976,977
20,0,-9,995,746,853,928,976
30,0,-11,979,739,874,967,976
40,0,-12,977,720,839,966,982
50,0,-12,993,743,870,966,976
60,0,-12,1006,742,874,974,981
70,0,-12,1004,772,863,963,976
80,0,-12,976,763,891,957,978
90,0,-12,992,763,890,971,984
100,0,-11,977,752,904,977,978
110,0,-10,962,765,907,965,982
120,0,-9,992,752,886,974,977
130,0,-8,982,752,909,973,988
140,0,-7,984,749,917,966,983
150,0,-7,983,773,938,991,976
160,0,-7,991,775,929,981,983
170,0,-7,1023,752,875,971,979
180,0,-8,986,752,930,976,985
190,0,-9,994,755,947,964,980
200,0,-10,990,768,933,973,976
210,0,-12,1010,762,931,969,976
220,0,-12,998,773,944,976,980
230,0,-10,998,767,938,976,979
240,0,-9,1004,768,921,962,981
250,0,-8,972,755,939,970,983
260,0,-7,1013,779,929,976,978
270,0,-6,996,752,985,962,978
280,0,-5,1002,775,935,974,976
290,0,-4,999,784,933,973,976
300,0,-3,1014,791,938,972,978
310,0,-3,1003,783,936,982,977
320,0,-3,1019,800,960,982,988
330,0,-3,1003,793,933,993,981
340,0,-3,1006,770,933,970,978
350,0,-3,1008,813,958,1030,979
360,0,-3,1006,785,933,979,987
370,0,-3,1001,790,931,963,973
380,0,-2,1008,785,955,985,983
390,0,-1,1008,785,937,970,975
400,0,0,1000,770,930,971,978
410,-1,3,999,801,925,965,976
420,-2,6,988,804,912,975,983
430,-2,8,990,777,890,961,978
440,-2,10,996,778,869,973,980
450,-1,11,991,767,858,969,987
460,0,12,995,768,866,978,983
470,0,13,988,763,834,965,982
480,0,14,949,762,829,978,976
490,0,15,994,771,837,969,979
500,0,16,979,755,831,960,977
510,0,16,970,837,825,976,974
520,0,16,976,756,816,961,975
530,0,16,988,755,813,971,976
540,0,16,976,785,821,947,975
550,0,16,981,768,818,965,974
560,0,15,982,746,829,963,977
570,0,14,983,755,836,974,977
580,0,13,982,774,825,958,983
590,0,12,976,782,831,958,989
600,0,10,978,746,837,956,975
610,0,8,986,754,834,965,976
620,0,7,981,759,826,973,976
630,0,6,989,757,832,966,981
640,0,5,979,747,818,947,977
650,0,4,976,763,834,970,976
660,0,3,987,752,829,962,979
670,0,2,973,742,851,962,985
680,0,1,983,747,837,960,976
690,0,0,989,741,834,966,981
700,0,0,981,733,832,976,986
710,0,0,976,752,831,973,975
720,0,0,948,705,783,970,991
730,0,0,977,779,842,983,960
740,0,0,1002,746,830,959,977
750,0,0,993,749,826,961,977
760,0,0,977,738,822,974,988
770,0,0,1008,740,832,964,976
780,0,0,987,751,830,962,981
790,0,0,983,743,839,967,979
800,0,0,963,745,832,946,1040
810,0,0,983,739,850,973,987
820,0,0,980,758,855,973,976
830,0,0,978,749,849,972,976
840,0,0,974,752,838,960,976
850,0,0,935,750,863,975,974
860,0,0,985,752,833,962,983
870,0,0,1013,753,829,960,990
880,0,0,960,746,835,962,960
890,0,1,988,741,843,961,978
900,0,2,999,752,835,957,980
910,0,2,981,770,836,977,979
920,0,2,987,766,848,967,987
930,0,2,986,736,854,965,978
940,0,1,983,726,843,965,976
950,0,1,993,767,867,982,985
960,0,1,967,734,842,964,983
970,0,1,982,739,848,965,975
980,0,1,1010,747,857,947,976
990,0,1,982,723,844,966,978
