timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,976,721,817,975,975
10,0,-7,976,708,827,963,983
20,0,-10,989,733,841,961,963
30,0,-12,983,725,834,989,982
40,0,-14,979,725,843,960,980
50,0,-16,978,720,835,960,981
60,0,-17,979,745,838,962,980
70,0,-17,1015,723,832,957,974
80,0,-17,1008,740,834,965,999
90,0,-17,978,721,843,969,979
100,0,-17,981,745,837,970,976
110,0,-17,974,726,812,979,979
120,0,-17,982,736,847,966,975
130,0,-17,976,741,848,971,978
140,0,-16,985,729,847,961,977
150,0,-15,997,739,848,966,978
160,0,-14,982,727,838,979,979
170,0,-13,974,737,875,957,976
180,0,-12,985,734,859,973,978
190,0,-11,993,720,885,967,986
200,0,-11,990,721,882,961,976
210,0,-11,985,711,880,976,976
220,0,-11,990,731,895,959,976
230,0,-11,982,736,885,954,978
240,0,-11,981,753,912,975,987
250,0,-11,1006,739,902,962,977
260,0,-11,996,730,925,970,987
270,0,-11,997,724,901,976,979
280,0,-12,987,736,911,964,988
290,0,-13,1009,742,909,945,976
300,0,-14,989,750,912,960,977
310,0,-15,986,743,911,967,983
320,0,-16,992,752,925,961,976
330,0,-17,981,749,919,977,992
340,0,-16,985,739,939,958,988
350,0,-14,997,749,923,960,978
360,0,-12,1085,746,947,979,977
370,0,-10,1007,752,918,953,983
380,0,-8,993,763,912,968,979
390,0,-6,993,767,917,967,975
400,0,-4,999,765,927,974,982
410,0,-2,1002,771,930,974,976
420,0,0,1003,783,919,970,997
430,0,0,995,773,929,966,979
440,0,0,962,784,912,966,988
450,0,0,1008,791,960,975,977
460,0,0,1005,800,928,971,982
470,0,0,1022,784,925,972,976
480,0,0,1006,801,929,965,977
490,0,0,1022,785,930,959,981
500,0,0,1007,807,945,990,980
510,0,0,1008,814,943,948,977
520,0,0,1008,785,927,960,976
530,0,1,1003,784,927,982,976
540,0,2,1003,784,933,965,979
550,0,4,976,769,924,960,974
560,0,7,997,777,927,960,979
570,0,11,989,768,896,971,983
580,0,15,1000,761,912,977,967
590,0,18,994,754,880,960,981
600,0,21,1003,755,849,960,976
610,0,24,991,739,849,966,990
620,0,25,998,735,826,966,976
630,0,25,939,735,831,957,977
640,0,25,987,723,816,959,982
650,0,24,981,725,819,944,988
660,0,23,1007,746,800,953,981
670,0,22,976,719,795,953,980
680,0,20,978,733,778,951,976
690,0,18,989,721,802,937,992
700,0,16,987,728,804,967,976
710,0,14,998,729,793,954,974
720,0,12,983,720,790,955,975
730,0,10,997,715,798,962,976
740,0,8,976,711,803,966,984
750,0,7,978,713,810,958,979
760,0,5,964,720,821,961,976
770,0,4,1007,723,769,961,991
780,0,3,975,720,803,960,993
790,0,2,995,722,835,959,979
800,0,1,1002,720,809,962,981
810,0,0,1004,735,795,954,976
820,0,0,979,685,809,1015,978
830,0,0,976,718,809,976,979
840,0,0,992,733,818,963,979
850,0,0,981,727,799,955,978
860,0,0,986,715,811,957,977
870,0,0,994,732,822,963,979
880,0,0,987,720,800,958,976
890,0,0,981,720,817,954,979
900,0,0,987,723,813,951,975
910,0,0,992,721,801,963,975
920,0,0,974,709,820,961,976
930,0,0,971,720,803,950,983
940,0,0,993,722,807,951,972
950,0,0,1001,720,826,960,977
960,0,0,986,730,815,958,976
970,0,0,976,720,816,955,976
980,0,0,990,718,827,961,976
990,0,0,976,721,813,959,976
