timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,3,3,1012,697,870,994,979
10,4,0,985,699,862,971,997
20,5,-2,993,723,880,976,983
30,6,-4,989,713,853,976,976
40,7,-5,971,725,873,976,987
50,8,-6,983,710,869,1003,991
60,9,-7,1007,693,807,982,929
70,10,-7,975,695,873,979,991
80,11,-7,999,703,863,991,976
90,12,-7,983,704,877,976,978
100,13,-7,986,733,875,995,979
110,14,-7,983,703,863,983,985
120,15,-7,966,745,860,974,970
130,16,-6,983,714,865,978,982
140,17,-5,978,695,880,982,981
150,18,-4,999,743,878,976,981
160,18,-3,990,699,861,982,976
170,18,-3,1055,708,880,976,978
180,18,-3,1002,723,864,971,986
190,18,-3,966,718,863,989,978
200,18,-3,990,730,866,990,976
210,18,-3,992,714,877,990,979
220,18,-3,989,713,848,975,977
230,18,-3,989,672,854,977,963
240,17,-4,1004,745,879,977,983
250,16,-5,997,735,873,994,979
260,15,-6,1001,754,887,976,986
270,14,-6,986,752,868,979,984
280,13,-6,996,755,875,977,977
290,12,-6,980,759,880,976,986
300,11,-6,991,765,884,976,995
310,10,-6,990,775,881,974,980
320,9,-6,981,779,883,985,977
330,8,-6,991,749,912,975,963
340,7,-6,1003,781,881,991,977
350,6,-6,979,778,886,976,976
360,6,-6,985,791,874,979,981
370,6,-6,989,815,885,992,979
380,6,-6,978,816,884,985,978
390,6,-6,977,816,881,976,976
400,6,-6,1003,833,880,978,981
410,6,-6,985,842,893,968,986
420,6,-6,1003,849,892,978,983
430,6,-7,983,869,883,976,975
440,6,-8,999,864,896,980,982
450,6,-8,1002,854,898,985,989
460,5,-7,991,881,912,979,976
470,5,-5,995,870,896,991,976
480,4,-3,927,874,883,974,976
490,4,-2,1019,866,883,992,976
500,4,-1,995,869,889,979,976
510,4,0,999,864,889,998,995
520,3,0,986,874,878,979,979
530,2,0,989,864,877,999,979
540,1,0,1020,860,913,963,977
550,0,0,991,875,890,991,979
560,0,0,981,861,896,971,976
570,0,1,987,862,898,976,994
580,0,2,998,859,897,976,975
590,0,3,1002,866,886,976,976
600,0,5,978,864,890,983,989
610,-1,7,982,850,895,973,978
620,-2,9,1001,853,879,981,979
630,-2,11,996,835,886,974,980
640,-2,13,992,816,882,973,973
650,-2,14,1008,817,894,988,976
660,-2,15,1015,774,885,989,979
670,-2,16,995,762,878,991,976
680,-3,16,1006,753,882,978,976
690,-4,16,976,736,877,975,985
700,-5,16,1072,749,879,978,1003
710,-5,15,1006,711,896,976,989
720,-5,14,994,698,882,979,983
730,-5,13,979,710,861,979,976
740,-5,12,1004,688,880,978,987
750,-5,12,991,697,885,965,978
760,-5,12,992,697,883,977,978
770,-5,12,989,692,876,977,976
780,-5,12,993,718,853,981,985
790,-5,11,1008,691,865,981,980
800,-5,10,966,705,869,993,976
810,-5,9,997,711,865,1040,967
820,-5,8,994,688,880,978,973
830,-5,7,1010,706,880,976,982
840,-3,8,991,697,867,978,978
850,-3,7,976,706,882,976,983
860,-3,6,993,717,880,983,987
870,-3,5,1004,689,873,976,980
880,-3,4,1001,702,862,980,985
890,-3,3,986,701,865,998,986
900,-3,2,988,705,862,977,987
910,-3,1,990,707,864,970,976
920,-3,0,995,692,881,974,985
930,-3,0,998,691,877,981,973
940,-3,0,997,705,880,987,976
950,-3,0,987,699,855,977,976
960,-3,0,991,609,877,989,977
970,-3,0,985,710,875,959,971
980,-3,0,1002,698,879,976,979
990,-3,0,986,704,872,970,976
