timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,979,714,880,991,983
10,0,-3,976,714,877,979,976
20,1,-4,976,727,883,983,979
30,1,-5,989,719,886,976,986
40,1,-6,986,719,893,966,978
50,1,-7,972,685,914,987,979
60,1,-8,976,719,872,983,978
70,1,-9,976,725,882,1013,976
80,1,-9,973,726,879,986,976
90,2,-9,979,742,880,977,976
100,2,-9,974,771,896,1004,976
110,2,-8,987,745,886,976,978
120,2,-7,1011,759,883,990,981
130,2,-6,991,752,887,987,976
140,2,-5,997,767,885,983,978
150,2,-4,990,757,896,987,982
160,2,-3,979,790,893,979,982
170,2,-3,973,784,885,987,986
180,2,-3,980,791,883,979,986
190,2,-3,973,830,881,975,976
200,2,-4,977,811,891,987,977
210,2,-5,985,835,900,1002,976
220,2,-6,976,835,887,990,980
230,2,-7,992,817,914,975,973
240,2,-8,985,848,901,999,979
250,2,-9,986,836,893,982,970
260,2,-10,995,855,899,995,969
270,2,-10,994,863,902,981,977
280,2,-10,944,848,901,988,923
290,2,-10,984,879,907,982,976
300,1,-9,971,858,902,979,992
310,0,-8,993,863,889,993,987
320,0,-7,983,862,906,991,982
330,0,-5,1005,854,892,976,981
340,0,-3,986,843,903,989,976
350,0,-2,994,875,910,976,980
360,0,-1,991,861,880,991,978
370,0,0,999,862,906,985,985
380,0,0,981,870,894,990,987
390,0,0,999,841,910,992,976
400,0,0,977,859,895,987,981
410,0,0,1003,879,891,986,981
420,0,0,998,870,896,985,982
430,0,0,984,874,896,976,982
440,0,0,988,854,896,985,978
450,0,1,989,864,903,988,979
460,0,2,974,875,892,979,985
470,0,3,988,865,865,1003,988
480,0,4,993,839,896,975,978
490,0,5,1023,832,891,976,985
500,0,5,987,822,909,976,987
510,0,5,979,795,880,976,989
520,0,5,974,784,890,990,983
530,0,5,983,780,896,978,976
540,0,5,1006,784,884,1002,983
550,0,5,976,765,880,976,976
560,0,5,972,773,889,976,981
570,0,5,994,676,905,977,977
580,0,5,993,787,896,987,992
590,0,5,992,752,884,986,976
600,0,5,992,752,899,979,1005
610,0,5,998,758,909,993,976
620,0,4,993,750,885,1012,973
630,0,4,997,726,912,959,970
640,0,3,987,738,882,992,991
650,0,2,983,738,880,982,980
660,0,1,979,739,898,983,976
670,0,0,979,745,884,976,980
680,0,0,974,742,855,977,980
690,0,0,996,748,895,983,986
700,0,0,960,745,885,989,968
710,0,0,997,721,899,989,991
720,0,0,1008,746,896,976,978
730,0,0,965,747,883,1004,979
740,0,0,978,751,885,985,981
750,0,0,992,743,911,993,987
760,0,0,976,735,862,976,986
770,0,0,992,736,891,980,976
780,0,0,931,736,883,976,974
790,0,0,991,749,890,983,983
800,0,0,985,750,891,985,985
810,0,0,965,731,807,986,976
820,0,0,982,737,884,988,984
830,0,0,979,735,885,982,992
840,0,0,983,765,891,986,990
850,0,0,970,726,898,985,986
860,0,0,972,751,870,976,1001
870,0,0,976,731,891,983,977
880,0,0,986,733,884,981,976
890,0,0,1006,714,887,990,973
900,0,0,975,739,887,974,982
910,0,0,999,726,882,978,981
920,0,0,992,741,902,1015,974
930,0,0,978,752,885,983,977
940,0,0,993,734,885,987,985
950,0,0,983,754,895,992,990
960,0,0,1009,730,896,985,981
970,0,0,981,729,901,991,971
980,0,0,1006,748,894,976,982
990,0,0,1003,733,890,986,977
