timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,0,982,702,845,966,979
10,-1,-2,977,704,848,978,976
20,0,-3,991,713,863,976,990
30,0,-4,987,715,853,976,974
40,0,-5,982,702,855,976,981
50,0,-6,994,703,851,978,987
60,0,-7,989,661,854,981,982
70,0,-8,1002,719,848,975,990
80,0,-8,966,786,866,979,994
90,0,-8,979,706,869,976,983
100,0,-8,998,695,853,977,983
110,0,-8,998,720,859,977,976
120,0,-8,970,721,866,989,986
130,0,-8,995,731,855,976,1040
140,0,-8,1013,752,869,990,979
150,0,-7,970,735,871,975,979
160,0,-6,993,759,867,975,987
170,0,-5,996,759,871,986,978
180,0,-4,996,746,851,986,979
190,0,-4,987,774,877,971,979
200,0,-3,989,768,885,978,985
210,0,-3,1029,780,880,991,985
220,0,-3,1006,778,871,977,989
230,0,-3,991,805,880,976,992
240,0,-3,1008,788,881,974,978
250,0,-3,993,803,873,991,979
260,0,-3,987,819,877,987,990
270,0,-3,999,816,881,993,976
280,0,-3,1008,833,882,982,992
290,0,-3,1006,832,889,971,979
300,0,-3,986,831,893,976,979
310,0,-3,989,824,889,982,977
320,0,-3,1000,848,896,975,981
330,0,-3,992,834,887,976,974
340,0,-3,990,864,909,985,988
350,0,-3,1007,829,891,981,983
360,0,-3,993,849,893,971,980
370,0,-3,991,849,912,974,988
380,0,-3,995,863,913,972,985
390,0,-3,998,853,890,976,977
400,0,-3,1012,848,910,982,967
410,0,-2,999,848,898,970,978
420,0,-1,1003,862,918,978,974
430,0,0,992,847,907,1004,976
440,0,0,994,880,910,977,980
450,0,0,1003,848,912,973,981
460,0,0,1010,880,906,982,979
470,0,0,1017,855,902,983,997
480,0,0,993,867,906,976,977
490,0,0,1020,870,907,979,984
500,0,0,999,869,898,985,978
510,0,0,999,861,912,983,983
520,0,0,951,855,910,965,989
530,0,0,1002,870,912,976,983
540,0,0,1007,868,906,986,989
550,0,0,999,880,934,989,975
560,0,0,1007,835,896,981,982
570,0,0,1008,855,903,987,981
580,0,0,1008,859,897,998,976
590,0,0,994,852,912,989,981
600,0,1,1008,848,898,970,985
610,0,2,999,811,921,965,978
620,0,3,1001,816,899,985,978
630,0,4,1012,801,884,976,975
640,0,5,994,747,906,977,995
650,0,6,985,721,884,982,978
660,0,7,1022,710,890,970,970
670,0,7,1005,684,896,977,978
680,0,7,979,678,875,981,976
690,0,7,982,678,876,981,976
700,0,7,1003,675,871,981,979
710,0,7,1017,631,864,979,986
720,0,8,994,662,857,973,983
730,0,9,1007,661,850,976,989
740,0,9,990,652,859,983,978
750,0,9,996,657,847,982,976
760,0,9,975,652,867,966,979
770,0,9,992,669,855,979,981
780,0,8,1033,682,853,971,982
790,0,7,987,662,860,976,981
800,0,6,1000,658,858,977,983
810,0,5,1008,667,869,976,996
820,0,4,995,678,869,976,993
830,0,3,991,663,851,978,992
840,0,2,985,678,868,987,976
850,0,1,1007,633,850,978,991
860,0,0,991,693,849,983,982
870,0,0,982,679,841,987,965
880,0,0,977,671,848,971,978
890,0,0,998,678,850,971,981
900,0,0,1007,672,838,991,966
910,0,0,990,680,838,983,975
920,0,0,996,711,848,967,991
930,0,0,1003,657,883,987,976
940,0,0,993,691,853,990,976
950,0,0,1002,672,828,976,975
960,0,0,999,688,839,981,987
970,0,0,964,691,847,974,976
980,0,0,990,687,853,976,1008
990,0,0,942,678,859,976,985
