timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,990,762,870,993,990
10,0,-3,976,754,889,982,983
20,0,-5,992,783,874,977,1005
30,0,-6,987,797,890,982,981
40,0,-7,1006,771,886,981,986
50,0,-8,992,784,881,996,976
60,0,-9,975,790,878,991,985
70,0,-10,1013,775,883,1005,976
80,0,-10,987,791,880,990,984
90,0,-10,1008,809,889,993,983
100,0,-10,1007,768,883,989,993
110,0,-9,989,854,869,993,985
120,0,-8,994,857,869,987,987
130,0,-7,993,854,899,993,992
140,1,-6,986,840,893,1001,994
150,1,-5,1037,878,880,982,985
160,1,-5,983,868,883,975,991
170,1,-5,1002,874,880,981,976
180,1,-5,1001,885,901,983,950
190,1,-5,1006,880,901,997,981
200,1,-5,983,894,891,985,976
210,1,-5,989,852,889,1005,975
220,1,-5,986,899,887,987,981
230,1,-5,997,880,901,985,977
240,1,-5,1006,912,899,978,976
250,1,-5,994,891,906,976,981
260,0,-5,1010,916,887,981,1022
270,0,-5,1008,906,906,1005,977
280,0,-5,1020,898,905,992,976
290,0,-5,1011,907,895,985,977
300,0,-5,1009,910,891,994,977
310,0,-4,1006,919,923,989,977
320,0,-3,1023,912,899,990,988
330,0,-3,1058,907,903,976,1001
340,0,-3,1008,903,906,978,981
350,0,-3,1008,910,912,986,977
360,0,-3,1008,921,908,989,977
370,0,-4,1010,913,897,1001,966
380,0,-5,1003,923,897,978,987
390,0,-6,1034,923,914,979,978
400,0,-6,1008,912,898,991,973
410,0,-5,1006,930,912,990,976
420,0,-4,1007,869,906,1010,985
430,0,-3,1011,912,913,1002,975
440,0,-2,993,935,910,980,965
450,0,-1,1003,914,912,974,979
460,0,0,999,920,879,991,991
470,0,0,999,914,907,976,979
480,0,0,1018,930,914,994,978
490,0,0,1022,916,922,986,976
500,0,0,1008,931,896,1002,987
510,0,0,1005,915,911,999,978
520,0,0,955,899,932,981,985
530,0,0,1008,929,901,985,979
540,0,1,1030,932,931,988,987
550,0,2,1009,912,907,991,983
560,0,3,1005,911,899,999,979
570,0,4,1007,912,912,990,985
580,0,5,1008,896,903,983,982
590,0,6,1019,891,898,983,977
600,0,7,1008,911,899,1005,976
610,0,8,991,878,894,1005,976
620,0,9,1008,866,902,989,979
630,0,10,996,848,887,991,976
640,0,11,1007,845,898,982,977
650,0,12,1019,832,891,992,978
660,0,13,1014,812,879,983,977
670,0,13,1042,772,894,977,989
680,0,14,987,778,876,997,987
690,0,14,985,765,870,987,979
700,0,14,1003,775,864,983,987
710,0,14,990,772,881,994,976
720,0,14,990,759,887,989,980
730,0,13,995,766,880,986,978
740,0,12,987,753,870,960,976
750,0,11,988,743,874,986,979
760,0,10,997,760,851,1003,976
770,0,9,991,741,880,983,977
780,0,8,992,753,876,982,979
790,0,7,1008,767,884,1008,987
800,0,6,989,747,876,976,979
810,0,5,997,733,891,989,979
820,0,4,992,754,875,981,978
830,0,3,1003,762,877,998,981
840,0,2,1008,746,874,986,979
850,0,1,998,771,911,997,983
860,0,0,951,753,881,977,982
870,0,0,999,750,886,991,982
880,0,0,992,775,874,997,987
890,0,0,987,794,880,990,976
900,0,0,978,764,892,982,979
910,0,0,995,755,883,982,977
920,0,0,995,736,877,974,976
930,0,0,983,752,869,979,975
940,0,0,999,753,866,974,987
950,0,0,998,767,863,1001,987
960,0,0,999,769,961,983,985
970,0,0,971,782,872,976,976
980,0,0,1002,754,881,986,976
990,0,0,1011,768,896,989,980
