timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,980,736,867,980,978
10,0,-6,983,737,867,971,979
20,0,-10,1015,747,875,971,977
30,0,-13,991,755,880,963,976
40,2,-14,973,720,874,976,979
50,1,-14,963,734,874,971,978
60,1,-14,971,725,882,980,977
70,1,-14,983,736,879,973,987
80,1,-14,973,722,816,977,987
90,1,-13,1002,730,869,975,976
100,1,-12,977,752,866,975,979
110,1,-11,976,720,857,998,977
120,1,-9,963,757,880,969,977
130,1,-7,1004,754,875,991,975
140,1,-5,973,759,858,969,976
150,1,-4,974,764,862,976,976
160,1,-3,987,768,861,933,960
170,1,-2,978,794,875,961,978
180,1,-1,970,793,881,973,981
190,1,0,976,747,896,971,973
200,1,0,960,800,871,979,985
210,1,1,994,815,875,975,981
220,0,2,977,821,867,983,981
230,0,2,1034,828,880,976,973
240,0,2,986,853,859,1006,976
250,0,3,985,855,887,992,978
260,0,3,975,881,848,982,983
270,0,3,976,860,875,991,977
280,0,2,967,863,843,974,986
290,0,0,970,885,909,973,982
300,0,-1,998,891,893,974,985
310,0,0,988,881,892,975,973
320,0,0,994,906,886,964,976
330,0,0,989,905,893,976,986
340,-1,1,993,883,930,981,978
350,-2,2,994,893,899,976,976
360,-3,3,1008,912,891,974,975
370,-3,3,960,887,880,979,979
380,-2,3,986,895,894,987,991
390,-1,2,998,909,892,970,964
400,0,0,1008,899,880,978,980
410,1,-1,989,902,895,965,976
420,2,-2,996,909,893,988,986
430,3,-3,995,910,903,975,981
440,4,-4,997,892,896,986,985
450,5,-5,1022,897,901,976,977
460,6,-6,987,902,885,966,981
470,7,-8,986,894,889,976,975
480,8,-10,982,897,890,975,977
490,8,-11,995,896,885,969,976
500,8,-11,1002,883,884,969,969
510,7,-9,992,853,897,983,977
520,6,-5,976,758,881,979,976
530,5,0,990,721,910,943,980
540,5,2,983,737,880,963,976
550,6,2,960,704,883,964,992
560,7,1,978,714,881,973,977
570,7,0,991,685,878,971,976
580,7,-1,997,671,937,978,983
590,7,-2,989,690,876,970,977
600,7,-2,950,688,880,976,974
610,7,-2,983,700,878,969,976
620,6,-1,948,681,861,970,983
630,5,0,986,689,879,974,983
640,5,0,982,692,879,972,975
650,5,0,976,689,880,971,979
660,5,0,982,715,867,977,989
670,5,0,982,681,854,970,977
680,4,0,976,688,854,971,986
690,4,0,987,663,874,989,981
700,4,0,978,675,865,968,976
710,4,0,978,720,912,974,998
720,4,0,991,693,861,977,974
730,4,0,979,685,870,976,977
740,4,0,989,705,873,976,978
750,4,0,976,704,848,976,973
760,4,0,966,702,866,955,989
770,4,0,980,679,879,977,976
780,4,0,989,688,857,983,979
790,4,0,976,702,859,972,985
800,4,0,976,699,859,971,982
810,3,0,979,688,877,963,994
820,3,0,969,702,868,983,976
830,3,0,992,688,857,983,976
840,3,0,995,675,869,962,967
850,3,0,987,707,874,972,979
860,3,0,983,697,865,987,976
870,3,0,967,717,848,975,957
880,3,0,987,688,853,970,983
890,3,0,990,704,863,974,979
900,3,0,981,720,870,960,986
910,3,0,976,693,860,972,976
920,3,0,998,703,877,983,979
930,2,0,987,710,848,973,981
940,1,0,999,702,868,969,983
950,1,0,976,681,859,1007,937
960,0,0,979,707,851,967,983
970,0,0,980,718,839,967,976
980,0,0,982,717,873,980,976
990,0,0,977,704,875,974,967
