timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,0,993,752,880,992,990
10,0,-5,989,777,884,977,995
20,0,-9,987,759,889,981,976
30,0,-12,997,742,896,976,981
40,1,-13,986,750,880,988,986
50,1,-13,983,750,881,985,985
60,1,-13,980,761,880,975,989
70,1,-13,997,752,902,982,983
80,1,-13,992,775,909,987,981
90,1,-13,997,764,880,985,978
100,1,-13,986,757,898,992,983
110,1,-13,978,754,857,970,976
120,2,-13,1006,766,907,982,976
130,3,-13,970,773,913,976,1040
140,4,-13,993,769,896,975,976
150,5,-13,990,752,880,995,976
160,6,-13,1006,763,899,995,956
170,6,-12,989,775,885,978,978
180,6,-11,985,775,886,970,975
190,6,-10,983,783,926,995,988
200,7,-9,997,769,906,976,989
210,8,-8,982,783,903,983,975
220,8,-7,996,779,886,986,987
230,8,-6,992,799,869,979,976
240,9,-6,992,821,885,982,982
250,10,-6,995,806,896,995,983
260,11,-5,995,733,888,975,975
270,12,-5,996,813,878,980,976
280,12,-5,1002,809,865,992,976
290,12,-5,991,821,877,977,1003
300,12,-5,982,831,895,987,979
310,12,-5,998,833,896,1051,978
320,12,-6,982,810,903,979,982
330,12,-7,994,841,896,976,976
340,11,-8,995,877,904,962,986
350,11,-9,991,848,885,994,976
360,10,-9,983,854,882,990,982
370,10,-9,990,858,901,991,977
380,10,-9,1008,865,886,981,983
390,10,-9,976,851,899,998,979
400,9,-8,995,864,911,983,986
410,8,-6,1009,859,893,975,981
420,7,-5,983,845,901,975,989
430,6,-4,993,829,903,995,1002
440,5,-2,1013,849,902,985,992
450,4,0,992,871,899,979,987
460,4,1,980,858,885,985,989
470,3,2,1012,878,919,976,989
480,2,3,986,868,897,986,982
490,2,3,992,857,889,977,988
500,1,3,986,874,893,977,976
510,0,3,976,867,896,987,979
520,0,3,1014,863,890,978,985
530,0,3,982,852,887,949,981
540,0,3,990,867,896,983,981
550,0,4,976,877,894,993,983
560,0,5,993,848,886,976,982
570,0,6,994,841,903,983,994
580,0,7,1006,853,894,1006,980
590,0,8,986,851,881,979,976
600,0,9,992,819,893,972,957
610,0,10,983,807,870,981,987
620,0,10,994,801,898,995,981
630,0,10,981,802,890,992,977
640,0,10,983,785,912,998,982
650,0,10,985,773,895,991,986
660,0,9,991,807,926,978,1002
670,0,8,985,784,879,994,982
680,0,8,976,752,889,993,981
690,0,8,980,753,906,993,979
700,0,8,1011,751,885,986,976
710,0,8,994,748,887,986,995
720,-1,8,1001,744,880,995,983
730,-2,8,976,745,880,991,983
740,-3,8,990,734,882,991,976
750,-3,8,978,723,891,989,983
760,-3,7,977,751,883,979,987
770,-3,6,992,735,902,978,1003
780,-3,5,987,731,912,983,978
790,-3,4,1002,688,891,947,961
800,-3,3,994,731,880,987,978
810,-3,2,987,727,879,976,977
820,-3,1,989,728,874,944,979
830,-3,0,992,727,882,990,990
840,-3,0,983,745,903,988,987
850,-2,0,989,683,894,992,973
860,-1,0,1000,729,882,991,1012
870,0,0,991,716,918,982,981
880,0,0,979,725,898,981,981
890,0,0,994,740,896,975,987
900,0,0,991,752,896,981,983
910,0,1,989,729,896,979,987
920,1,3,1022,747,885,976,979
930,0,3,995,729,890,954,982
940,0,4,1039,735,905,999,978
950,0,5,981,752,912,991,950
960,0,5,994,742,880,979,979
970,0,5,979,742,879,977,979
980,0,5,980,732,877,991,985
990,0,4,1002,750,893,978,981
