timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,2,977,688,829,976,982
10,0,0,950,674,831,959,967
20,0,-2,990,693,837,976,977
30,0,-4,977,688,837,983,966
40,0,-5,971,654,835,970,998
50,0,-6,1005,688,838,971,1007
60,0,-7,967,685,836,976,1007
70,0,-8,987,645,838,992,980
80,0,-8,978,692,839,989,977
90,0,-8,1005,677,855,973,976
100,0,-8,987,692,865,976,977
110,0,-8,986,688,863,973,971
120,0,-8,989,643,895,981,981
130,0,-8,999,737,880,979,958
140,0,-8,970,715,845,957,973
150,0,-7,987,705,870,951,970
160,0,-7,999,728,852,976,979
170,0,-7,945,752,852,989,978
180,0,-7,986,743,878,976,973
190,0,-7,991,782,878,975,978
200,0,-7,986,793,847,990,963
210,0,-7,1005,786,877,981,976
220,0,-6,991,810,893,986,994
230,0,-6,971,806,883,989,979
240,0,-5,976,816,897,959,992
250,0,-4,977,818,908,977,975
260,0,-3,982,850,906,974,983
270,0,-2,976,821,893,979,979
280,0,-1,1069,831,879,993,982
290,0,0,987,849,914,977,977
300,0,0,999,852,889,978,979
310,0,0,987,862,912,1008,982
320,0,0,998,849,900,983,978
330,0,0,1019,848,903,971,986
340,0,0,986,848,897,976,989
350,0,0,990,853,889,981,975
360,0,0,996,864,894,1008,1001
370,0,0,1007,834,904,985,976
380,0,0,993,882,887,961,993
390,0,0,1008,854,897,979,986
400,0,0,991,842,896,969,978
410,0,0,995,860,901,976,979
420,0,0,996,850,914,991,983
430,0,-1,997,851,911,977,976
440,0,-2,1008,804,913,970,978
450,0,-3,1016,863,907,992,982
460,0,-5,997,860,907,959,976
470,0,-6,993,864,912,977,994
480,0,-6,994,853,896,982,978
490,0,-6,993,861,913,971,983
500,0,-6,1008,849,913,982,979
510,0,-6,1004,879,903,978,978
520,0,-5,983,849,910,978,973
530,0,-4,1009,852,902,983,972
540,0,-3,1020,851,902,976,994
550,0,-3,999,851,923,979,982
560,0,-3,1008,863,912,991,991
570,0,-3,1003,859,903,991,981
580,0,-3,1007,851,899,985,979
590,0,-2,1002,847,903,978,982
600,0,-1,999,845,914,1010,981
610,0,0,988,865,894,987,982
620,0,0,1001,861,905,978,983
630,0,0,1003,865,902,981,979
640,0,0,1013,845,907,981,975
650,0,0,1008,860,912,977,976
660,0,0,993,853,899,980,982
670,0,1,994,914,901,959,971
680,0,2,994,848,914,987,990
690,0,4,994,843,917,983,981
700,0,6,992,823,913,978,991
710,0,8,985,822,912,989,983
720,0,11,999,767,911,967,997
730,0,14,977,718,873,979,989
740,0,16,992,666,880,976,987
750,0,18,990,669,847,979,976
760,0,19,985,637,885,976,990
770,0,19,1008,630,859,976,978
780,0,18,991,670,829,953,967
790,0,17,978,627,843,979,988
800,0,16,997,631,853,970,976
810,0,15,985,676,834,980,976
820,0,15,987,645,848,978,976
830,0,15,989,656,841,986,983
840,0,15,982,647,834,976,973
850,0,15,1069,646,827,989,976
860,0,14,979,635,837,967,994
870,0,13,1003,666,854,983,978
880,0,11,997,656,823,976,985
890,0,9,978,667,834,1005,970
900,0,7,993,645,846,986,983
910,0,6,982,673,839,975,976
920,0,5,976,640,838,976,986
930,0,4,989,666,833,975,983
940,0,3,979,662,852,982,964
950,0,2,1002,667,835,971,979
960,0,1,982,674,843,974,947
970,0,0,996,669,819,980,986
980,0,0,976,676,834,978,979
990,0,0,999,667,846,971,981
