timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,991,640,833,977,974
10,0,-4,976,686,834,971,977
20,0,-6,973,674,837,976,984
30,0,-7,986,693,835,964,986
40,0,-8,976,678,848,976,976
50,0,-9,991,693,847,995,1014
60,0,-9,976,658,848,962,1001
70,0,-9,964,688,848,980,982
80,0,-9,994,687,833,985,976
90,0,-9,977,688,838,975,983
100,0,-9,976,671,843,976,979
110,0,-8,977,688,843,985,983
120,0,-7,989,682,848,978,977
130,0,-6,977,682,867,977,973
140,0,-5,975,709,850,974,981
150,0,-4,979,686,848,976,975
160,0,-3,987,709,847,1005,985
170,1,-2,973,709,848,976,976
180,1,-1,995,713,842,968,976
190,1,0,977,720,846,982,979
200,1,0,977,721,855,972,979
210,1,0,977,738,846,979,977
220,1,0,977,797,854,995,981
230,1,0,977,765,851,982,981
240,1,0,995,757,855,976,976
250,1,0,976,775,867,989,985
260,1,0,977,810,874,992,980
270,1,0,991,798,862,994,977
280,1,0,966,830,870,978,984
290,1,0,975,847,879,961,967
300,1,0,990,848,878,976,977
310,1,0,990,862,876,971,977
320,1,0,1003,880,890,977,979
330,1,0,993,865,875,986,979
340,1,0,990,877,912,979,976
350,1,-1,991,879,891,976,990
360,1,-2,985,887,896,976,981
370,1,-2,990,891,906,975,979
380,1,-2,986,896,881,975,981
390,1,-2,1002,883,885,976,980
400,1,-2,1003,881,891,983,979
410,1,-2,1013,880,896,979,979
420,1,-2,1003,891,896,976,978
430,1,-2,996,896,902,973,992
440,0,-2,993,894,902,970,978
450,0,-2,1023,891,898,971,976
460,0,-2,1002,887,895,983,978
470,0,-1,987,882,897,986,976
480,0,0,998,903,906,976,976
490,0,0,987,883,896,976,977
500,0,0,997,895,896,983,971
510,0,0,1007,891,857,978,979
520,0,0,1008,877,907,973,977
530,0,0,1013,890,906,980,986
540,0,0,993,887,907,978,976
550,0,0,1005,878,910,987,976
560,0,0,1006,885,903,982,976
570,0,0,999,887,902,983,977
580,0,0,1013,882,902,972,966
590,0,0,1000,903,906,973,978
600,0,0,1008,883,907,975,979
610,0,0,999,887,927,991,949
620,0,0,1003,895,892,976,987
630,0,0,998,880,918,977,985
640,0,0,997,880,889,983,981
650,0,0,993,869,879,967,981
660,0,0,1031,861,917,973,976
670,0,0,990,869,880,971,969
680,0,0,946,843,885,977,985
690,0,1,987,802,867,974,976
700,0,2,995,754,874,981,983
710,0,3,990,688,871,985,989
720,0,4,976,651,858,999,976
730,0,5,979,637,865,975,982
740,0,6,992,609,849,980,978
750,0,7,994,619,839,975,976
760,0,8,965,615,823,983,995
770,0,9,989,607,851,1002,979
780,0,10,978,622,839,967,988
790,0,10,997,666,830,957,994
800,0,10,991,626,837,977,989
810,0,10,981,637,824,976,974
820,0,9,975,622,866,970,975
830,0,8,983,627,836,976,975
840,0,7,978,642,857,976,967
850,0,7,982,624,844,970,975
860,0,7,990,650,828,986,976
870,0,7,991,640,827,992,962
880,0,6,981,658,827,977,970
890,0,5,977,640,854,983,987
900,0,4,991,651,830,978,986
910,0,3,992,650,842,977,973
920,0,2,992,643,832,970,978
930,0,2,995,658,838,989,982
940,0,2,993,658,832,980,976
950,0,2,978,669,853,976,976
960,0,2,989,673,844,982,975
970,0,1,976,659,861,979,976
980,0,1,979,646,822,968,979
990,0,0,976,675,848,973,978
