timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,-6,-4,978,727,821,973,978
10,-7,-8,991,752,874,979,976
20,-7,-10,976,741,864,976,987
30,-7,-12,973,758,867,981,977
40,-7,-14,978,748,881,976,979
50,-7,-16,954,752,875,994,986
60,-7,-17,975,753,865,982,976
70,-7,-18,967,747,875,970,976
80,-7,-19,976,736,866,980,999
90,-7,-20,976,755,880,975,980
100,-7,-21,976,734,877,976,973
110,-7,-22,982,749,869,963,976
120,-8,-23,961,745,877,982,987
130,-9,-25,1014,784,880,977,981
140,-10,-27,977,758,865,975,991
150,-11,-29,985,745,881,981,1008
160,-12,-31,980,755,861,963,976
170,-13,-33,981,772,876,982,977
180,-14,-35,976,792,880,976,979
190,-15,-36,994,806,890,979,966
200,-16,-37,978,816,880,980,982
210,-17,-37,979,821,871,975,981
220,-18,-37,976,855,884,971,978
230,-19,-38,993,855,884,978,977
240,-20,-39,979,853,892,983,972
250,-21,-40,989,879,906,988,982
260,-22,-41,1039,914,887,983,989
270,-22,-42,996,887,896,1003,979
280,-22,-42,995,906,897,982,976
290,-23,-41,1005,913,907,982,993
300,-24,-40,1001,901,909,971,976
310,-25,-38,997,903,901,979,962
320,-25,-36,1013,979,907,960,989
330,-25,-34,995,912,901,967,976
340,-25,-31,1008,907,910,991,976
350,-25,-28,996,903,923,989,977
360,-25,-25,1003,901,912,976,976
370,-24,-21,993,879,903,987,975
380,-23,-17,1003,912,911,985,977
390,-22,-13,1022,906,914,990,983
400,-21,-8,1007,897,901,989,977
410,-20,-3,1004,910,906,981,977
420,-19,1,1006,897,907,1001,981
430,-19,7,1008,904,909,975,982
440,-19,15,1017,896,902,979,983
450,-20,24,1012,889,901,976,1002
460,-20,33,1003,902,899,976,986
470,-19,41,1015,883,899,981,971
480,-18,48,1005,839,915,976,987
490,-17,53,1001,851,910,982,973
500,-16,57,993,844,908,985,977
510,-15,58,991,813,881,976,990
520,-15,58,991,799,901,979,983
530,-15,56,987,775,887,963,978
540,-15,53,993,754,882,976,977
550,-15,49,966,716,869,972,982
560,-15,45,987,722,879,966,976
570,-15,41,995,733,871,960,984
580,-14,38,972,750,880,986,973
590,-14,35,995,720,874,977,981
600,-14,33,975,720,885,978,977
610,-14,31,980,731,878,967,977
620,-14,29,989,720,881,970,976
630,-14,27,989,711,871,983,989
640,-14,25,991,723,878,978,981
650,-14,22,986,742,885,973,992
660,-14,19,1001,729,881,962,988
670,-14,16,994,723,878,972,979
680,-14,14,978,717,869,985,965
690,-14,12,976,720,870,970,982
700,-13,10,985,729,863,978,977
710,-12,9,993,737,885,967,977
720,-11,8,991,731,864,976,977
730,-10,7,991,741,860,977,975
740,-9,6,976,741,863,974,976
750,-8,5,991,752,880,980,987
760,-7,5,998,693,870,976,978
770,-6,5,993,720,872,944,955
780,-5,5,995,747,862,968,980
790,-4,5,976,743,877,987,979
800,-3,5,975,724,869,974,976
810,-2,5,994,737,878,976,976
820,-1,5,983,737,875,972,998
830,0,5,979,744,868,976,978
840,0,5,983,754,878,931,978
850,0,5,987,709,887,978,985
860,0,5,978,722,863,970,993
870,0,4,969,709,900,997,955
880,0,3,987,740,867,978,975
890,0,2,991,739,855,981,979
900,0,1,983,741,886,971,982
910,0,0,985,736,861,974,976
920,1,0,1010,705,859,972,979
930,2,0,979,739,875,976,976
940,3,0,983,726,871,976,976
950,4,0,991,649,852,976,983
960,5,0,989,727,868,976,983
970,6,0,979,739,880,976,964
980,7,0,974,733,886,979,979
990,8,0,994,743,877,965,987
