timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,987,691,839,986,983
10,0,-4,999,686,848,966,956
20,0,-6,981,685,835,976,983
30,0,-7,969,692,827,960,976
40,0,-9,985,689,848,973,978
50,0,-10,974,688,841,976,973
60,0,-11,1018,689,841,960,989
70,0,-12,986,691,848,975,976
80,0,-13,987,720,850,971,983
90,0,-13,976,719,861,970,965
100,0,-13,991,735,847,960,984
110,0,-13,990,767,868,974,976
120,0,-12,991,754,867,975,977
130,0,-12,986,771,878,967,977
140,0,-11,931,771,865,961,976
150,0,-11,982,784,857,961,977
160,0,-11,987,790,865,999,977
170,0,-11,981,805,848,983,981
180,0,-11,983,818,899,978,980
190,0,-11,972,818,855,981,986
200,0,-11,985,821,880,974,976
210,0,-10,996,835,894,976,983
220,0,-9,998,866,885,983,981
230,0,-8,1008,838,895,974,976
240,0,-8,983,853,890,974,986
250,0,-8,1002,791,893,964,994
260,0,-8,1008,858,899,973,973
270,0,-8,1003,857,903,993,955
280,0,-8,1013,855,899,974,981
290,0,-7,976,868,912,991,986
300,0,-6,995,854,919,970,957
310,0,-5,998,866,903,978,974
320,0,-4,1008,854,912,1017,986
330,0,-3,997,857,879,976,963
340,0,-2,1003,853,897,977,977
350,0,-1,993,857,914,970,977
360,0,0,999,849,892,972,976
370,0,0,1008,871,904,978,976
380,0,0,989,877,907,971,989
390,0,0,999,854,912,977,976
400,0,0,1007,849,907,986,973
410,0,0,1039,847,911,990,977
420,0,0,1015,869,901,976,978
430,0,0,986,861,897,980,973
440,0,0,1008,850,910,967,979
450,0,0,1022,857,903,974,983
460,0,1,1002,848,901,996,993
470,0,2,1006,834,901,972,978
480,0,4,1001,822,881,976,949
490,0,6,1007,824,885,986,979
500,0,8,1001,783,880,964,980
510,0,10,985,718,874,975,989
520,0,12,981,674,879,976,969
530,0,13,981,663,860,988,976
540,0,14,976,627,853,968,979
550,0,15,982,640,855,975,976
560,0,15,1016,645,841,976,977
570,0,15,999,592,843,970,976
580,0,15,977,629,839,973,968
590,0,15,994,623,848,969,979
600,0,14,986,645,845,1008,982
610,0,13,990,656,841,960,971
620,0,12,983,653,838,971,987
630,0,11,983,640,837,963,973
640,0,10,1021,665,838,960,976
650,0,9,976,656,831,979,978
660,0,8,976,655,834,969,976
670,0,7,999,658,839,957,976
680,0,6,977,662,822,979,983
690,0,5,985,691,850,966,981
700,0,4,983,667,832,967,978
710,0,3,976,656,825,968,982
720,0,2,978,650,834,971,976
730,0,1,972,670,831,974,987
740,0,0,958,678,832,963,983
750,0,0,977,683,848,974,965
760,0,0,961,667,834,967,987
770,0,0,976,679,810,967,982
780,0,0,985,682,830,964,973
790,0,0,971,679,834,989,988
800,0,0,970,671,848,985,977
810,0,0,999,677,841,975,983
820,0,0,955,656,835,979,982
830,0,0,976,701,820,989,989
840,0,0,980,685,832,989,982
850,0,0,976,667,858,971,981
860,0,0,985,675,836,976,979
870,0,0,976,683,832,965,976
880,0,0,995,673,875,970,976
890,0,0,983,677,841,976,975
900,0,0,975,689,834,975,979
910,0,0,973,646,839,976,975
920,0,0,976,689,843,969,981
930,0,0,987,690,837,963,974
940,0,0,977,680,835,972,976
950,0,0,980,688,842,969,979
960,0,0,966,691,828,950,1000
970,0,0,965,682,825,979,977
980,0,0,928,672,845,956,997
990,0,0,975,693,846,959,976
