timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,14,-2,996,721,867,995,989
10,13,-5,987,720,875,980,982
20,13,-6,987,714,878,980,978
30,13,-7,994,729,884,973,989
40,13,-8,975,722,880,993,990
50,13,-9,998,729,855,981,979
60,14,-10,991,720,876,989,977
70,14,-10,993,739,881,983,981
80,15,-10,995,752,889,992,973
90,15,-10,970,750,880,960,988
100,15,-10,990,752,877,982,987
110,15,-10,989,776,878,987,983
120,15,-10,987,784,869,986,985
130,15,-10,992,765,896,989,982
140,15,-10,1003,777,863,981,983
150,15,-10,978,789,871,976,979
160,15,-10,985,800,887,997,994
170,15,-9,1002,799,889,978,981
180,15,-8,1005,799,894,971,970
190,15,-7,998,773,845,1005,977
200,15,-6,981,817,884,996,978
210,15,-4,1020,817,911,973,976
220,14,-2,994,819,891,990,990
230,13,0,991,850,886,976,976
240,12,1,986,827,902,969,977
250,11,1,992,848,880,981,979
260,10,1,1023,864,835,979,995
270,9,1,997,839,889,981,976
280,8,0,987,848,881,976,989
290,7,0,1032,866,881,971,976
300,6,0,1008,833,891,987,977
310,5,0,1011,851,890,978,976
320,4,0,997,858,886,982,963
330,3,0,990,849,907,981,982
340,3,0,994,871,915,1040,986
350,3,0,1008,864,848,1006,987
360,2,0,1033,853,890,983,983
370,1,0,990,885,882,980,954
380,0,0,1014,880,880,997,980
390,0,0,1007,870,889,995,980
400,0,0,1006,933,891,989,979
410,0,0,993,866,891,971,982
420,0,0,1009,882,890,977,983
430,0,0,1009,862,886,985,967
440,0,0,1019,860,881,985,977
450,0,0,1015,880,913,982,975
460,0,0,1008,866,893,976,991
470,0,0,990,869,885,986,989
480,0,0,1013,869,887,975,976
490,0,0,1004,870,896,976,977
500,0,0,991,881,906,997,988
510,0,0,1029,877,901,981,983
520,0,1,1009,866,890,980,978
530,0,2,1008,879,900,976,980
540,0,3,1017,855,895,991,978
550,0,5,997,867,911,976,976
560,0,8,1010,869,912,985,981
570,0,10,1008,875,894,983,978
580,0,12,1006,847,909,963,975
590,0,13,988,843,887,975,977
600,-1,14,992,812,880,980,983
610,-2,14,957,816,877,998,977
620,-3,14,1008,767,884,980,979
630,-3,13,1006,746,909,973,982
640,-3,12,986,718,878,993,983
650,-3,11,984,707,895,976,987
660,-3,9,993,703,877,1001,965
670,-3,8,974,695,885,976,982
680,-3,7,977,685,869,979,966
690,-3,7,979,675,858,985,976
700,-3,7,1005,693,876,976,985
710,-3,7,995,687,880,998,983
720,-3,7,997,703,893,976,982
730,-3,6,999,695,817,992,974
740,-3,5,979,688,884,986,997
750,-3,4,987,688,880,986,979
760,-3,3,1031,714,865,981,995
770,-3,2,995,688,865,977,966
780,-3,1,997,695,879,979,976
790,-3,0,987,677,876,983,949
800,-3,0,982,694,879,976,976
810,-3,0,976,720,879,987,976
820,-3,0,980,699,876,987,987
830,-3,0,994,702,871,989,976
840,-3,0,1015,695,884,994,963
850,-3,0,998,698,879,945,967
860,-3,0,990,707,882,986,976
870,-3,0,950,695,874,989,984
880,-2,0,992,715,878,980,977
890,-2,0,990,691,885,983,975
900,-1,0,987,708,890,976,976
910,-1,0,989,723,880,983,976
920,-1,0,991,694,890,994,991
930,0,0,993,753,882,990,979
940,0,0,946,704,883,976,975
950,0,0,988,710,853,982,985
960,0,0,985,705,870,979,976
970,0,0,1010,707,866,983,974
980,0,0,997,717,866,976,946
990,0,0,985,715,880,1005,982
