timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,-1,-5,995,763,845,989,991
10,-2,-8,986,779,844,988,982
20,-2,-12,978,785,860,990,979
30,-2,-14,975,786,841,992,985
40,-2,-16,992,795,854,992,989
50,-2,-17,991,782,861,962,979
60,-2,-18,979,785,865,976,976
70,-2,-18,976,800,848,987,977
80,-2,-18,975,803,864,979,981
90,-2,-18,987,816,861,989,973
100,-2,-18,989,830,861,992,981
110,-1,-17,998,845,859,986,988
120,0,-16,1008,849,877,953,979
130,0,-15,987,867,880,983,977
140,0,-14,992,880,862,980,979
150,0,-13,990,901,880,983,987
160,0,-12,988,894,885,993,978
170,0,-12,1001,905,882,982,993
180,0,-11,981,909,910,985,1003
190,0,-10,994,908,888,975,987
200,0,-9,987,926,912,967,978
210,0,-8,977,905,902,987,977
220,0,-7,986,915,911,992,969
230,0,-7,991,923,920,1009,976
240,0,-7,978,923,909,990,979
250,0,-7,979,919,914,989,973
260,0,-8,982,929,895,981,990
270,0,-9,989,918,911,986,985
280,0,-10,996,942,909,978,981
290,0,-11,995,922,914,983,982
300,0,-11,989,919,900,986,993
310,0,-10,1008,929,945,975,990
320,0,-9,993,930,923,971,976
330,0,-7,1003,909,944,976,973
340,0,-5,993,929,926,992,978
350,0,-3,983,913,921,999,982
360,0,-2,983,932,924,992,980
370,0,-2,991,926,914,977,980
380,0,-3,996,912,908,990,976
390,0,-4,1009,939,917,993,975
400,0,-5,992,918,916,1000,978
410,0,-5,986,998,930,1007,976
420,0,-5,1008,938,912,988,982
430,0,-5,994,912,912,982,982
440,-1,-4,992,909,918,1017,993
450,-1,-2,1010,941,913,985,979
460,-1,0,1015,934,926,991,967
470,-1,1,1001,943,892,994,974
480,-1,2,972,912,909,997,976
490,-1,3,1005,925,941,988,1009
500,0,4,999,913,917,987,974
510,0,5,996,910,896,980,974
520,0,6,993,913,886,997,983
530,0,7,1011,883,888,977,993
540,0,8,999,886,883,996,976
550,0,9,986,860,886,986,981
560,0,10,974,859,880,990,979
570,0,11,979,850,905,995,983
580,0,12,985,834,870,992,976
590,0,13,976,815,866,998,975
600,0,14,985,805,867,976,976
610,0,14,976,787,873,985,979
620,0,14,987,781,861,977,976
630,0,13,989,820,847,944,987
640,0,12,981,784,875,976,1001
650,0,11,982,778,816,960,981
660,0,10,980,770,851,972,981
670,0,8,976,784,867,977,988
680,0,6,986,767,875,999,992
690,0,5,992,796,868,982,977
700,0,4,986,752,865,983,975
710,0,3,988,773,844,999,978
720,0,2,992,770,870,997,976
730,0,1,1019,762,855,1012,977
740,0,0,993,778,867,986,975
750,0,0,977,786,880,996,976
760,0,0,977,778,895,975,944
770,0,0,1013,771,878,976,978
780,0,0,990,768,863,976,983
790,0,0,978,779,856,981,981
800,0,0,988,768,891,976,990
810,0,0,976,765,866,965,997
820,0,0,975,771,866,982,978
830,0,0,976,771,872,983,978
840,0,0,976,789,861,973,985
850,0,0,999,794,859,999,976
860,0,0,996,768,865,983,988
870,0,0,982,792,873,1007,976
880,0,0,959,763,855,976,985
890,0,0,967,847,852,978,981
900,0,0,982,765,868,994,989
910,0,0,989,759,890,1004,998
920,0,0,990,770,855,983,984
930,0,0,974,781,850,985,983
940,0,0,976,779,893,994,977
950,0,0,983,774,854,987,980
960,0,0,971,781,877,983,981
970,0,0,987,803,864,981,967
980,0,0,976,773,855,985,981
990,0,0,982,801,859,991,989
