timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,982,720,871,974,985
10,0,-6,983,721,848,976,983
20,0,-8,1008,730,886,985,972
30,0,-9,993,737,869,1008,980
40,0,-10,1014,739,880,977,986
50,0,-11,985,741,880,986,975
60,0,-12,992,733,867,989,994
70,0,-13,993,747,880,978,979
80,0,-13,991,743,884,960,979
90,0,-13,989,759,879,989,981
100,0,-13,999,781,890,991,977
110,0,-13,990,780,866,983,979
120,0,-13,1000,778,879,981,981
130,0,-13,987,797,858,1009,985
140,0,-12,1008,801,884,993,981
150,0,-11,1015,822,895,978,998
160,0,-11,982,816,886,1008,973
170,0,-10,1003,823,887,976,983
180,0,-10,990,835,906,1005,988
190,0,-9,1007,848,909,997,977
200,0,-8,987,865,912,973,978
210,0,-7,1002,865,909,991,976
220,0,-6,989,877,915,1002,979
230,0,-5,991,859,909,979,986
240,0,-4,1005,865,913,988,986
250,0,-3,997,878,923,990,978
260,0,-2,996,877,907,976,977
270,0,-1,1008,883,918,989,997
280,0,0,999,887,921,998,978
290,0,0,994,897,947,980,966
300,0,0,1005,883,912,985,987
310,0,0,1008,898,918,1003,954
320,0,0,995,908,912,986,975
330,0,0,1003,891,923,998,976
340,0,0,1008,899,896,1005,978
350,0,-1,1008,880,930,1003,982
360,0,-2,1003,890,930,993,983
370,0,-3,1002,899,916,1006,987
380,0,-4,1008,891,928,1008,976
390,0,-4,1043,897,916,1008,983
400,-1,-3,1008,903,919,1003,976
410,-1,-2,1013,893,927,982,959
420,-1,-1,997,887,926,998,960
430,-1,-1,996,898,912,1005,976
440,-1,-1,1006,881,896,987,983
450,-1,-1,999,966,938,986,970
460,-1,-1,1008,871,925,1011,976
470,-1,-1,958,912,926,985,977
480,-1,0,1003,912,915,986,977
490,-1,0,1001,885,923,979,973
500,-1,0,1008,889,934,999,1003
510,0,0,1009,899,923,990,977
520,0,0,989,890,923,974,969
530,0,0,1011,888,924,980,971
540,0,0,1031,882,912,987,982
550,0,0,992,880,910,992,966
560,0,0,1001,905,931,1007,980
570,0,1,993,893,912,993,988
580,0,2,1012,891,927,986,989
590,0,4,993,831,917,988,982
600,0,6,1019,882,914,988,976
610,0,8,999,861,912,990,976
620,0,9,1005,860,905,997,983
630,0,10,1002,851,909,964,976
640,0,10,1010,849,898,986,982
650,1,11,1008,831,912,1008,967
660,1,11,983,807,886,987,989
670,1,11,979,752,885,977,982
680,1,12,985,711,891,987,976
690,1,12,992,693,873,977,983
700,1,13,981,662,892,989,967
710,1,13,985,720,880,991,976
720,1,13,986,661,873,976,981
730,1,13,985,691,867,979,997
740,1,12,987,656,866,989,976
750,1,11,984,672,866,970,973
760,1,10,992,656,874,1001,978
770,1,9,981,689,865,981,971
780,1,9,982,688,850,987,976
790,1,9,999,679,851,971,977
800,1,9,980,676,846,980,982
810,1,9,987,661,858,980,982
820,1,9,988,659,851,992,977
830,1,9,983,676,849,976,976
840,1,9,1002,666,866,985,956
850,1,9,986,665,850,979,975
860,1,9,989,663,854,973,977
870,1,9,993,674,860,986,965
880,1,9,993,732,848,987,981
890,1,8,1007,688,859,976,976
900,1,7,997,686,848,977,977
910,1,6,983,677,866,983,976
920,1,5,988,702,859,986,975
930,1,5,994,657,869,977,978
940,1,4,983,689,866,990,956
950,1,4,980,684,859,980,974
960,0,4,1009,699,861,994,987
970,0,4,982,713,854,987,983
980,0,3,977,690,853,986,984
990,0,3,1061,688,857,990,986
