timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,989,686,848,970,983
10,0,-5,985,710,861,977,1003
20,0,-7,990,697,855,976,976
30,0,-9,976,730,870,999,978
40,0,-10,990,709,859,987,981
50,0,-11,990,717,862,981,983
60,0,-12,977,752,861,974,979
70,0,-13,1005,752,879,988,979
80,0,-13,1005,778,875,977,981
90,0,-13,994,807,873,971,992
100,0,-13,987,798,861,979,988
110,0,-13,1007,802,862,985,977
120,0,-13,983,799,887,970,977
130,0,-12,977,830,880,976,980
140,0,-11,1008,845,874,976,1002
150,0,-10,973,838,885,961,974
160,0,-9,997,835,890,982,981
170,0,-9,996,846,910,965,991
180,0,-9,1013,859,892,978,979
190,0,-9,1010,849,887,981,981
200,0,-9,1011,862,905,974,979
210,0,-9,985,878,898,977,975
220,0,-8,996,865,897,983,976
230,0,-7,1018,854,902,976,986
240,0,-6,1005,849,891,967,977
250,0,-6,1008,874,912,970,970
260,0,-5,1011,863,907,1008,982
270,0,-4,981,861,901,973,976
280,0,-3,1032,827,905,973,975
290,0,-2,1002,864,895,965,982
300,0,-2,995,847,912,994,976
310,0,-2,1004,861,911,955,981
320,0,-2,1008,857,899,981,993
330,0,-2,999,853,901,982,976
340,0,-2,992,849,929,971,986
350,0,-2,999,855,896,963,976
360,0,-2,990,848,896,995,978
370,0,-2,995,853,912,986,978
380,0,-2,1017,859,907,976,986
390,0,-1,1001,832,892,981,980
400,0,0,1011,821,887,979,975
410,0,1,1018,784,919,981,965
420,0,3,983,801,895,980,981
430,0,5,992,720,895,969,976
440,0,6,982,722,906,994,976
450,0,7,990,684,873,976,991
460,0,7,991,661,880,976,963
470,0,7,986,665,887,967,987
480,0,7,976,688,869,974,976
490,0,7,971,677,867,970,983
500,0,7,993,663,877,981,974
510,0,7,978,663,869,975,992
520,0,7,998,659,875,958,969
530,0,7,1002,658,851,976,982
540,0,7,978,666,924,947,980
550,0,7,978,672,850,980,995
560,0,7,976,671,878,983,972
570,0,7,1009,662,864,971,1031
580,0,7,971,675,846,979,990
590,0,6,976,681,848,974,982
600,0,6,984,695,821,1000,973
610,0,5,993,685,869,977,981
620,0,4,972,683,863,970,1001
630,0,3,987,671,841,987,990
640,0,2,991,680,860,976,979
650,0,2,977,675,822,981,922
660,0,2,976,683,847,976,976
670,0,1,1012,683,833,976,995
680,0,1,977,676,883,980,983
690,0,0,978,699,848,976,986
700,0,0,1021,686,848,967,961
710,0,0,993,688,848,975,993
720,0,0,997,681,841,979,985
730,0,0,974,694,834,986,1002
740,0,0,975,694,863,983,972
750,0,0,963,705,842,976,977
760,0,0,986,694,858,976,976
770,0,0,986,687,834,963,979
780,0,0,995,688,859,981,990
790,0,0,966,699,882,976,969
800,0,0,982,691,846,976,979
810,0,0,1008,697,870,969,986
820,0,0,982,687,846,988,971
830,0,0,981,695,863,986,979
840,0,0,976,688,846,966,981
850,0,0,981,704,858,973,976
860,0,0,977,701,832,967,989
870,0,0,987,695,860,975,986
880,0,0,970,701,853,973,975
890,0,0,995,691,905,980,978
900,0,0,978,693,848,985,980
910,0,0,999,713,853,966,988
920,0,0,983,689,851,976,978
930,0,0,927,685,861,973,973
940,0,0,1007,700,829,966,978
950,0,0,990,699,858,967,987
960,0,0,996,700,867,973,978
970,0,0,1005,695,867,967,977
980,0,0,1006,710,837,998,977
990,0,0,985,674,839,985,991
