timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,986,711,880,976,998
10,-1,0,988,693,871,982,979
20,0,-2,997,702,871,976,975
30,0,-3,1001,692,887,990,989
40,0,-4,993,703,868,964,977
50,0,-5,999,714,866,976,977
60,0,-5,1009,719,872,981,976
70,0,-5,1009,677,877,983,986
80,0,-5,1013,693,880,981,975
90,0,-5,997,684,845,972,990
100,0,-5,995,694,879,975,979
110,0,-5,991,719,880,976,983
120,0,-5,995,748,911,976,976
130,0,-5,993,710,895,981,974
140,0,-5,1020,675,848,976,970
150,0,-5,992,703,883,978,986
160,0,-5,1022,720,857,988,976
170,0,-4,1008,741,872,987,981
180,0,-4,1001,720,869,977,983
190,0,-3,953,715,878,991,981
200,0,-3,995,720,880,980,976
210,0,-3,989,705,869,982,982
220,0,-3,1001,737,865,978,979
230,0,-3,1008,733,874,958,977
240,0,-3,976,723,869,983,985
250,0,-3,1035,735,877,984,959
260,0,-3,1008,751,895,975,976
270,0,-3,993,750,865,971,975
280,0,-3,1011,755,890,971,984
290,0,-3,992,737,867,977,976
300,0,-3,987,758,887,989,978
310,0,-3,995,770,878,993,997
320,0,-3,995,781,872,1005,989
330,0,-3,999,795,885,973,979
340,0,-3,1000,799,886,979,983
350,0,-3,998,778,899,982,976
360,0,-3,1005,811,882,982,977
370,0,-3,1002,811,884,971,979
380,0,-3,1009,799,897,976,995
390,0,-3,1008,831,870,979,977
400,0,-3,1008,832,874,976,977
410,0,-4,1011,848,882,944,980
420,0,-5,1013,854,897,966,983
430,0,-6,959,830,883,994,982
440,0,-7,998,857,886,973,980
450,0,-8,993,837,894,977,985
460,0,-8,1015,859,903,976,982
470,0,-7,1008,848,887,977,991
480,0,-6,963,858,879,987,976
490,0,-5,1008,865,909,991,982
500,0,-4,992,842,899,990,982
510,0,-3,1034,848,907,976,983
520,0,-2,997,878,893,976,977
530,0,-1,1005,862,899,995,998
540,0,0,1008,855,875,985,949
550,0,0,1007,865,908,983,981
560,0,0,984,858,912,977,999
570,0,0,999,853,901,975,976
580,0,0,1008,852,897,978,976
590,0,0,1008,853,933,966,1001
600,0,0,1001,851,912,977,976
610,0,0,1009,858,903,983,980
620,0,0,1007,856,896,974,973
630,0,0,1008,866,896,976,985
640,0,1,1008,848,927,981,993
650,0,2,998,817,881,978,975
660,0,3,1006,829,903,985,986
670,0,4,1009,834,914,989,989
680,0,5,1008,791,910,974,991
690,0,6,986,761,913,983,985
700,0,7,993,754,909,960,977
710,0,8,998,733,893,983,977
720,0,9,1033,721,884,981,985
730,0,9,989,699,886,985,985
740,0,9,976,688,870,979,977
750,0,9,983,688,885,973,973
760,0,9,999,690,879,989,983
770,0,9,998,682,883,994,981
780,0,9,999,686,885,983,976
790,0,9,985,690,875,977,976
800,0,9,1030,676,902,980,982
810,0,9,992,674,869,971,986
820,0,9,992,679,859,969,981
830,0,8,996,689,863,989,987
840,0,7,990,656,886,976,977
850,0,6,1008,687,863,977,987
860,0,6,987,685,860,970,982
870,0,6,981,674,864,978,983
880,0,5,960,689,869,975,999
890,0,5,982,679,871,986,989
900,0,5,1018,671,849,1008,987
910,0,5,999,701,890,967,986
920,0,4,987,671,869,976,986
930,0,4,1008,675,870,975,978
940,0,3,1006,692,867,958,958
950,0,2,979,699,887,986,981
960,0,1,991,693,878,976,981
970,0,0,997,687,867,976,978
980,0,0,1039,698,881,976,976
990,0,0,979,688,879,967,979
