timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,971,715,817,990,981
10,0,-3,988,720,823,1000,976
20,0,-4,979,704,848,977,986
30,0,-5,975,717,861,973,981
40,0,-6,985,750,855,978,976
50,0,-7,976,717,855,983,977
60,0,-8,973,705,879,994,989
70,0,-9,976,682,859,988,979
80,0,-10,975,738,864,981,978
90,0,-10,978,721,866,983,988
100,0,-10,981,735,859,978,976
110,0,-11,977,737,877,998,978
120,0,-11,970,774,864,979,985
130,0,-11,986,773,891,971,983
140,0,-11,1072,784,880,993,973
150,0,-11,971,806,871,978,980
160,0,-11,982,826,894,992,992
170,0,-11,1011,829,886,976,989
180,0,-10,993,843,893,976,977
190,0,-9,985,848,848,986,976
200,0,-9,980,849,881,987,989
210,0,-9,978,859,890,987,987
220,0,-8,960,837,910,996,985
230,0,-8,979,883,898,981,989
240,0,-8,976,893,912,980,974
250,0,-8,976,880,906,976,978
260,0,-8,998,881,893,976,988
270,0,-8,975,874,912,981,986
280,0,-8,982,880,910,981,982
290,0,-7,991,897,891,966,976
300,0,-7,989,902,896,970,977
310,0,-7,989,890,874,976,973
320,0,-7,978,892,893,982,983
330,0,-7,959,907,896,976,976
340,0,-7,982,894,913,989,987
350,0,-7,987,895,909,986,982
360,0,-6,992,896,902,1011,977
370,0,-5,991,900,897,973,985
380,0,-4,983,895,916,976,980
390,0,-3,994,893,927,992,986
400,0,-2,976,903,902,976,981
410,0,-1,999,897,933,982,976
420,0,0,995,899,901,987,976
430,0,0,976,895,936,944,986
440,0,0,976,888,915,996,989
450,0,0,992,910,893,981,976
460,0,0,999,899,909,973,964
470,0,0,1002,897,897,1005,977
480,0,0,979,891,928,1008,971
490,0,0,982,885,889,960,985
500,0,0,984,900,901,977,985
510,0,1,996,912,895,987,982
520,0,2,982,895,898,995,976
530,0,4,979,891,893,981,985
540,0,6,993,883,901,976,978
550,-1,8,966,880,891,982,980
560,-1,10,981,854,910,977,993
570,-1,11,979,827,882,981,981
580,-1,12,979,770,902,979,976
590,-1,13,981,751,811,976,980
600,0,13,989,721,875,969,981
610,0,13,981,703,875,976,976
620,0,12,979,677,875,973,982
630,0,11,976,681,863,973,976
640,0,10,975,672,820,979,975
650,0,9,983,675,855,983,982
660,0,9,983,662,864,975,983
670,0,9,949,647,859,985,965
680,0,9,982,656,855,966,977
690,0,9,981,655,879,981,975
700,0,9,980,671,866,987,986
710,0,8,985,651,878,987,976
720,0,7,997,654,833,985,976
730,0,6,987,655,857,989,981
740,0,5,975,668,853,978,977
750,0,4,978,657,861,989,977
760,0,3,994,670,855,982,981
770,0,3,1009,666,842,983,978
780,0,3,985,669,893,985,974
790,0,3,977,659,832,975,990
800,0,3,976,663,868,969,977
810,0,3,992,669,874,970,976
820,0,3,962,688,860,976,983
830,0,3,962,673,834,976,975
840,0,3,1001,675,848,979,981
850,0,3,997,671,854,979,986
860,0,3,987,683,864,983,965
870,0,3,970,678,857,977,976
880,0,3,979,681,842,977,977
890,0,3,1001,694,861,992,966
900,0,3,991,688,875,974,979
910,0,3,976,685,866,981,959
920,0,3,967,693,859,963,976
930,0,2,977,688,831,990,976
940,0,1,976,679,879,969,979
950,0,0,988,686,847,976,993
960,0,0,997,682,845,999,986
970,0,0,978,682,864,982,986
980,0,0,978,682,851,983,983
990,0,0,974,682,881,981,982
