timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,-1,-2,987,726,878,993,950
10,-1,-5,994,720,908,977,974
20,-1,-6,983,729,893,987,989
30,-1,-7,990,729,885,980,977
40,-1,-8,975,731,887,998,987
50,-1,-8,986,730,866,974,986
60,-1,-9,976,719,882,977,980
70,-1,-10,977,724,880,975,1040
80,-1,-10,979,748,881,982,976
90,-1,-10,977,746,876,976,976
100,-1,-10,992,763,854,1001,970
110,-1,-10,990,759,875,991,982
120,-1,-10,976,790,873,987,977
130,-1,-10,966,763,892,972,987
140,-1,-10,988,769,881,977,978
150,-1,-11,1008,799,905,977,992
160,-1,-12,991,808,881,987,991
170,-1,-12,959,802,902,987,980
180,-1,-12,970,817,880,976,1006
190,-1,-12,990,818,880,996,979
200,-2,-12,976,837,912,985,965
210,-2,-12,981,848,898,983,983
220,-2,-12,975,851,896,983,984
230,-2,-12,997,861,901,987,989
240,-2,-12,988,862,911,977,989
250,-2,-11,981,881,915,976,976
260,-3,-10,975,878,906,990,981
270,-4,-8,983,880,900,992,977
280,-5,-6,929,901,904,986,980
290,-6,-4,983,874,912,994,966
300,-6,-2,992,880,922,976,989
310,-6,0,982,894,912,974,989
320,-6,1,992,874,906,981,977
330,-6,1,1005,882,906,982,981
340,-6,1,977,845,922,979,983
350,-6,1,979,892,912,979,976
360,-6,1,986,890,909,975,979
370,-6,1,987,851,902,980,979
380,-6,2,976,877,919,990,990
390,-6,3,985,897,933,995,987
400,-6,4,976,862,896,982,980
410,-6,5,981,862,905,982,979
420,-6,6,992,862,897,996,986
430,-6,7,989,848,897,976,983
440,-6,8,951,841,913,982,974
450,-5,9,980,842,906,976,977
460,-5,10,980,819,889,992,983
470,-5,11,993,782,894,990,976
480,-5,11,995,750,900,966,989
490,-5,11,966,742,883,983,985
500,-5,11,991,726,894,986,981
510,-5,11,977,717,883,976,976
520,-5,10,990,701,880,1005,985
530,-4,9,976,693,871,980,987
540,-4,8,1010,693,862,994,979
550,-4,7,976,698,871,986,955
560,-4,6,991,701,890,977,989
570,-4,5,989,688,880,993,975
580,-4,4,1010,693,874,993,976
590,-4,3,976,701,869,989,983
600,-3,3,969,687,857,981,993
610,-2,3,966,698,880,962,982
620,-2,3,978,677,884,976,997
630,-2,2,985,726,886,1007,981
640,-2,2,996,677,878,976,979
650,-2,2,994,698,870,979,981
660,-1,2,980,670,874,978,976
670,-1,2,969,690,877,993,985
680,-1,2,977,686,881,981,978
690,-1,2,990,701,880,976,974
700,0,2,971,684,881,976,978
710,0,2,978,689,875,984,970
720,0,2,976,686,880,985,981
730,0,2,981,711,877,993,983
740,0,2,982,691,882,998,981
750,0,2,976,702,881,978,978
760,0,2,977,642,878,979,975
770,0,2,999,692,864,987,977
780,0,2,1008,698,869,983,928
790,0,2,985,695,882,977,974
800,0,2,967,703,889,981,977
810,0,2,993,688,880,973,980
820,0,1,978,705,878,983,983
830,0,1,989,691,876,981,976
840,0,1,985,703,880,1000,969
850,0,1,986,690,871,983,973
860,0,0,976,705,857,971,983
870,0,0,978,703,878,990,987
880,0,0,971,699,863,1008,975
890,0,0,976,704,877,977,975
900,0,0,995,719,886,985,978
910,0,0,990,701,882,981,980
920,0,0,990,704,878,992,976
930,0,0,978,703,866,976,978
940,0,0,991,719,883,974,987
950,0,0,981,682,944,1006,976
960,0,0,977,708,895,974,986
970,0,0,1012,701,896,960,983
980,0,0,1003,723,881,979,976
990,0,0,937,719,865,994,966
