timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,0,991,727,859,980,973
10,0,-3,986,741,848,975,973
20,0,-4,979,740,857,963,979
30,0,-5,978,727,866,961,979
40,0,-6,976,721,876,991,995
50,0,-7,976,723,861,931,973
60,0,-8,981,717,866,967,980
70,0,-9,971,713,869,977,983
80,0,-10,975,723,862,966,977
90,0,-11,972,720,869,976,971
100,0,-12,965,727,857,976,976
110,0,-12,967,726,861,961,981
120,0,-12,1010,746,855,989,973
130,0,-12,970,751,865,978,979
140,0,-12,1008,736,863,965,990
150,0,-12,976,765,849,995,978
160,0,-11,987,765,846,982,978
170,0,-10,991,761,871,976,976
180,1,-9,977,769,871,979,976
190,2,-8,973,777,862,976,983
200,3,-7,961,787,855,989,976
210,4,-6,990,783,873,971,976
220,6,-5,977,814,866,963,989
230,8,-4,975,812,848,971,977
240,10,-4,982,800,859,965,979
250,12,-4,983,804,802,971,976
260,14,-4,998,803,869,976,977
270,16,-3,979,811,865,973,976
280,18,-2,976,809,838,982,941
290,20,-1,975,807,867,974,976
300,22,0,973,816,835,962,999
310,24,0,991,811,859,985,976
320,25,0,986,819,854,986,974
330,26,0,981,799,882,988,991
340,27,0,996,811,875,970,979
350,27,0,981,816,875,979,976
360,27,0,985,810,865,982,976
370,27,-1,993,795,858,978,975
380,27,-2,976,830,883,955,944
390,27,-4,987,848,862,981,977
400,27,-7,974,846,857,982,976
410,26,-11,983,867,894,966,978
420,26,-15,978,867,870,978,986
430,26,-18,988,880,880,973,988
440,26,-21,986,893,873,979,977
450,25,-22,981,886,880,977,976
460,24,-22,994,896,882,983,976
470,23,-20,990,894,870,993,955
480,21,-18,992,918,883,965,985
490,20,-15,977,899,845,961,989
500,19,-12,991,901,878,995,976
510,18,-9,1002,901,893,982,971
520,17,-7,999,912,885,971,986
530,16,-6,1002,903,885,963,977
540,15,-6,1005,925,880,976,983
550,14,-6,1008,912,889,974,976
560,13,-6,1003,896,893,965,976
570,12,-6,999,915,884,981,976
580,11,-5,1008,912,890,966,977
590,10,-3,1001,912,892,964,971
600,8,-1,993,899,898,970,979
610,6,1,1014,906,889,971,976
620,4,3,993,911,880,976,983
630,2,7,1008,905,883,961,980
640,1,11,1006,897,898,976,975
650,0,15,990,882,881,980,990
660,0,19,996,862,870,971,976
670,0,23,976,824,885,962,990
680,0,26,993,774,880,971,978
690,0,27,981,731,886,976,987
700,0,26,986,699,880,976,1006
710,0,24,1003,688,871,974,975
720,0,21,982,688,879,976,981
730,0,18,1007,678,867,984,981
740,0,15,976,686,875,982,975
750,0,13,957,687,867,973,979
760,0,11,991,698,880,975,978
770,0,10,981,715,876,982,975
780,0,9,975,698,901,973,960
790,0,8,981,688,873,975,988
800,0,7,1001,686,867,959,983
810,0,6,981,702,895,980,982
820,0,4,957,693,861,976,980
830,0,3,990,691,880,974,983
840,0,2,974,687,875,986,973
850,0,1,976,698,853,969,978
860,0,0,983,688,865,965,981
870,0,0,970,703,852,971,971
880,0,0,979,703,869,965,983
890,0,0,987,703,870,960,990
900,0,0,997,688,868,963,973
910,0,0,1007,715,829,962,965
920,0,0,982,709,860,971,979
930,0,0,949,715,861,976,981
940,0,0,975,708,865,986,976
950,0,0,1007,702,869,973,985
960,0,0,946,707,854,967,983
970,0,0,973,711,865,976,977
980,0,0,976,715,864,976,977
990,0,0,1006,705,877,982,1003
