timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,26,-4,986,733,869,979,983
10,26,-8,976,670,848,976,978
20,25,-10,981,752,886,976,977
30,25,-12,989,726,869,976,983
40,24,-14,951,730,865,961,977
50,24,-16,976,737,878,986,976
60,24,-17,946,720,877,989,977
70,24,-18,1021,745,871,960,981
80,24,-18,994,731,880,986,977
90,24,-18,976,805,889,981,979
100,24,-18,989,721,873,980,977
110,24,-18,995,732,885,986,979
120,24,-18,974,694,876,990,976
130,24,-18,986,738,863,993,982
140,24,-18,944,741,878,991,976
150,23,-18,979,752,879,983,978
160,22,-17,976,767,881,978,982
170,21,-16,989,767,858,986,979
180,20,-15,992,791,880,984,978
190,20,-14,995,811,894,991,977
200,20,-13,1011,820,861,976,976
210,20,-12,980,859,880,1008,991
220,20,-11,993,867,893,979,978
230,20,-11,998,859,874,947,954
240,19,-11,1000,875,896,994,983
250,18,-12,983,880,918,976,977
260,17,-13,983,895,906,989,978
270,16,-14,993,912,901,993,976
280,15,-15,989,901,891,981,986
290,14,-16,1004,912,906,976,965
300,14,-18,995,922,895,997,970
310,14,-18,1002,903,869,991,987
320,13,-17,1003,903,894,976,979
330,12,-16,999,907,893,976,976
340,11,-14,997,906,918,986,954
350,10,-12,1002,895,896,999,985
360,9,-9,998,891,912,981,983
370,8,-7,1005,925,908,1008,989
380,7,-5,994,895,912,1008,983
390,7,-4,1009,911,897,976,980
400,7,-3,1017,914,909,978,983
410,7,-3,994,918,898,1006,1000
420,7,-3,1017,902,898,980,976
430,7,-3,994,898,924,995,990
440,7,-3,1011,898,911,965,990
450,7,-2,1010,907,912,980,976
460,7,0,977,919,913,983,977
470,7,0,1002,934,909,961,981
480,7,0,995,917,907,979,981
490,7,0,1009,923,892,976,979
500,7,1,1003,906,903,986,976
510,6,3,1013,886,913,982,987
520,6,5,998,892,908,983,980
530,6,7,986,892,898,988,979
540,6,10,997,857,890,995,979
550,6,13,1003,837,906,982,983
560,7,15,995,813,896,983,976
570,7,16,975,779,903,982,993
580,7,16,982,757,880,975,976
590,7,15,977,758,887,985,976
600,7,14,976,720,896,982,985
610,6,13,991,720,886,987,976
620,5,12,994,721,848,982,999
630,4,11,994,695,885,973,976
640,3,10,998,690,897,983,981
650,2,10,987,689,906,966,989
660,1,10,974,702,885,1002,978
670,0,10,976,688,884,976,977
680,0,9,1001,700,886,985,991
690,0,8,981,697,880,977,981
700,0,7,944,688,900,970,990
710,0,7,974,688,872,989,979
720,0,6,994,705,880,983,976
730,0,6,976,693,886,993,977
740,0,6,985,692,880,987,977
750,0,6,998,704,858,989,976
760,0,6,997,743,880,982,978
770,0,6,986,699,877,991,973
780,0,6,997,694,850,989,989
790,0,6,983,714,887,985,976
800,0,6,1006,701,871,925,965
810,0,6,977,691,880,993,994
820,0,6,986,705,896,982,979
830,0,5,995,701,887,977,981
840,0,4,989,702,864,978,976
850,0,3,977,694,883,976,976
860,0,3,983,686,889,999,995
870,0,3,979,682,873,990,976
880,0,3,960,716,897,1001,976
890,0,3,983,731,884,976,970
900,0,3,976,703,894,978,982
910,0,3,976,723,876,947,976
920,0,3,988,702,880,993,981
930,0,3,984,711,882,978,983
940,0,3,961,726,878,976,981
950,0,3,995,726,882,997,998
960,0,3,976,709,878,974,972
970,0,2,974,710,886,982,979
980,0,1,1004,725,867,980,976
990,0,1,988,688,870,983,985
