timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,1004,670,849,977,976
10,0,-6,989,668,859,976,983
20,1,-9,976,688,848,982,976
30,2,-11,959,677,863,962,976
40,3,-13,983,651,871,982,976
50,3,-14,985,669,863,986,981
60,3,-15,983,665,848,973,974
70,3,-16,971,618,850,975,981
80,3,-16,967,675,854,974,969
90,3,-16,976,688,851,976,983
100,3,-16,974,675,850,973,988
110,3,-16,979,687,863,969,946
120,3,-15,984,685,845,981,983
130,3,-14,976,670,848,971,977
140,3,-13,977,678,858,956,985
150,3,-12,977,684,851,991,978
160,2,-11,977,688,857,975,985
170,2,-10,976,694,848,976,988
180,1,-9,991,699,848,971,976
190,0,-9,976,679,844,971,976
200,0,-9,976,717,863,985,978
210,0,-9,994,713,865,973,976
220,0,-9,982,727,867,970,983
230,0,-9,983,752,880,979,978
240,0,-9,966,768,851,973,979
250,0,-9,977,784,847,979,975
260,0,-9,976,784,863,976,982
270,0,-9,977,801,871,967,983
280,0,-9,977,814,867,976,987
290,0,-9,982,830,870,986,975
300,0,-8,986,889,881,976,963
310,0,-7,988,834,875,978,986
320,0,-6,987,834,893,979,986
330,0,-6,977,848,903,976,976
340,0,-5,986,848,886,988,976
350,0,-4,979,852,867,973,1035
360,0,-2,999,851,896,969,977
370,0,-1,982,858,901,970,977
380,0,0,992,849,866,973,985
390,0,0,978,849,899,974,979
400,0,0,981,854,902,976,994
410,0,0,1010,845,906,980,976
420,0,0,989,876,895,981,979
430,0,0,991,878,897,966,974
440,0,0,986,858,899,973,982
450,0,0,990,853,896,973,978
460,0,0,990,880,899,976,983
470,0,0,1002,866,911,977,980
480,0,0,1000,859,907,981,979
490,0,0,1007,873,896,971,978
500,0,0,1088,859,879,986,976
510,0,0,982,850,902,977,978
520,0,1,991,858,907,970,981
530,0,3,985,848,897,974,983
540,0,5,981,854,894,976,979
550,0,7,978,830,889,977,976
560,0,9,966,814,915,967,984
570,0,10,976,772,886,969,985
580,0,11,976,746,884,968,922
590,0,12,954,725,853,976,978
600,1,12,959,679,880,978,985
610,1,12,986,665,887,984,1004
620,1,11,976,641,878,979,976
630,1,10,977,650,881,973,976
640,1,10,982,651,869,983,984
650,1,10,971,635,861,970,976
660,1,10,973,647,865,975,981
670,1,10,966,597,844,970,979
680,1,10,960,655,853,965,977
690,1,10,976,650,848,975,970
700,1,9,964,650,849,959,982
710,1,8,927,640,846,986,980
720,1,7,976,656,861,989,981
730,0,6,986,641,849,981,979
740,0,5,972,643,853,971,982
750,0,4,999,677,853,955,982
760,0,3,981,658,858,982,977
770,0,2,962,655,838,976,976
780,0,1,980,640,849,986,976
790,0,0,969,642,859,976,990
800,0,0,975,656,847,974,991
810,0,0,976,654,847,976,979
820,0,0,981,660,845,979,989
830,0,0,965,654,842,976,987
840,0,0,976,656,853,969,977
850,0,0,993,656,857,973,982
860,0,0,976,661,854,965,976
870,0,0,975,674,823,977,985
880,0,0,969,659,838,966,975
890,0,0,967,667,848,967,975
900,0,0,985,661,846,990,983
910,0,0,975,680,853,976,979
920,0,0,967,656,861,953,983
930,0,0,975,689,817,990,976
940,0,0,967,663,844,984,976
950,0,0,988,658,848,980,984
960,0,0,965,660,847,977,982
970,0,0,986,667,841,976,977
980,0,0,977,666,847,995,983
990,0,0,975,665,835,975,976
