timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,986,745,880,988,985
10,1,-3,996,740,871,980,982
20,1,-4,991,769,887,957,1000
30,1,-5,998,789,874,991,973
40,1,-6,993,752,880,980,992
50,1,-6,987,787,885,990,983
60,1,-6,995,783,880,986,985
70,1,-6,1006,796,863,985,977
80,1,-6,1001,797,880,970,945
90,1,-6,1005,805,877,981,981
100,1,-6,1030,817,875,982,976
110,1,-6,990,833,880,982,985
120,1,-6,982,855,895,979,976
130,1,-6,992,831,893,969,989
140,1,-6,1002,861,891,985,981
150,1,-7,997,859,891,976,988
160,1,-8,991,859,903,993,991
170,1,-10,1005,862,917,989,977
180,1,-12,989,881,900,974,998
190,1,-14,1009,870,897,944,965
200,1,-16,994,893,899,989,976
210,1,-17,988,887,912,1006,976
220,1,-18,987,880,912,963,982
230,1,-19,1008,902,912,976,977
240,1,-19,993,912,905,994,999
250,0,-17,1003,884,898,998,989
260,0,-15,973,886,922,981,1007
270,0,-14,987,906,912,983,976
280,0,-12,983,880,917,992,974
290,0,-11,1005,901,931,962,953
300,0,-10,982,898,930,987,975
310,0,-9,1010,907,881,989,995
320,0,-8,996,895,918,993,988
330,0,-7,987,915,928,991,979
340,0,-6,981,937,918,978,989
350,0,-5,991,896,919,989,981
360,0,-4,963,891,916,1001,977
370,0,-2,1001,895,939,983,985
380,0,0,992,887,913,984,986
390,0,2,989,888,902,989,971
400,0,5,987,896,939,979,993
410,-1,8,994,880,905,978,978
420,-1,11,1008,911,923,999,982
430,-1,14,1003,849,896,984,987
440,-1,17,985,851,896,990,976
450,0,19,992,842,901,1008,977
460,0,21,1005,797,896,990,982
470,0,22,981,777,910,986,975
480,0,23,986,741,881,982,985
490,0,24,1006,732,875,982,986
500,0,24,998,749,886,958,989
510,0,23,997,717,880,969,978
520,0,21,969,703,851,976,981
530,0,19,996,709,867,949,994
540,0,17,994,721,854,986,977
550,0,15,959,704,880,983,967
560,0,14,995,707,866,990,976
570,0,13,986,706,873,993,976
580,0,12,990,701,866,976,975
590,0,11,1003,698,869,976,977
600,0,10,988,690,886,978,1001
610,0,8,981,784,854,976,982
620,0,6,992,719,868,975,979
630,0,4,955,658,858,983,976
640,0,2,981,720,880,991,985
650,0,1,998,706,855,975,977
660,0,0,988,716,870,991,978
670,0,0,979,715,872,987,979
680,0,0,1001,704,863,992,967
690,0,0,987,688,880,978,976
700,0,0,985,707,864,987,983
710,0,0,993,715,879,979,977
720,0,0,976,718,850,982,987
730,0,0,987,706,864,981,976
740,0,0,986,721,857,978,971
750,0,0,995,704,877,986,982
760,0,0,981,726,860,974,977
770,0,0,995,725,867,980,983
780,0,0,1009,713,861,983,985
790,0,0,1002,723,884,976,982
800,0,0,987,718,869,993,982
810,0,0,1035,725,855,981,927
820,0,0,976,710,858,976,995
830,0,0,1010,708,855,1001,987
840,0,0,972,720,885,979,977
850,0,0,982,721,864,988,984
860,0,0,1001,720,862,989,970
870,0,0,990,720,863,983,976
880,0,0,995,723,874,981,989
890,0,0,976,687,843,981,991
900,0,0,993,709,869,981,983
910,0,0,1009,749,843,979,969
920,0,0,981,748,905,975,981
930,0,0,1003,720,864,986,983
940,0,0,1003,728,858,980,976
950,0,0,997,707,848,980,988
960,0,0,997,720,867,985,976
970,0,0,979,743,875,983,987
980,0,0,991,723,867,977,987
990,0,0,982,728,875,994,980
