timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,991,732,871,977,983
10,0,-6,986,739,880,981,989
20,0,-6,983,739,876,976,988
30,0,-9,973,764,880,973,982
40,0,-10,961,730,883,971,977
50,0,-11,957,731,874,975,972
60,0,-11,976,733,881,994,976
70,0,-11,977,752,881,977,976
80,0,-11,981,722,886,986,967
90,0,-11,976,736,900,975,976
100,0,-11,976,769,898,1040,981
110,0,-11,993,736,894,976,982
120,0,-11,963,737,881,986,982
130,0,-11,976,769,881,974,986
140,1,-11,976,727,886,973,978
150,2,-11,1002,747,891,983,988
160,3,-11,978,744,896,974,983
170,3,-11,970,763,885,985,981
180,4,-10,998,772,896,977,976
190,4,-10,987,774,867,999,987
200,4,-10,973,796,900,975,979
210,4,-10,976,814,880,976,982
220,4,-10,971,813,883,976,983
230,4,-10,976,815,906,976,983
240,4,-10,979,829,893,983,1002
250,4,-11,987,840,894,982,976
260,4,-12,965,848,891,976,944
270,4,-13,973,852,890,987,979
280,4,-13,876,850,888,989,983
290,4,-13,921,853,902,983,989
300,4,-12,944,870,881,994,990
310,3,-11,935,867,881,981,979
320,2,-10,939,857,908,952,992
330,2,-8,935,867,881,978,998
340,1,-6,946,859,901,986,981
350,1,-5,942,874,903,971,981
360,1,-4,942,862,882,998,951
370,1,-3,944,855,897,981,997
380,1,-3,953,885,902,980,981
390,1,-3,945,873,873,973,982
400,1,-3,933,848,881,1008,970
410,1,-3,962,859,901,983,986
420,0,-3,921,874,894,989,983
430,0,-2,963,901,889,956,982
440,0,-1,955,853,903,969,993
450,0,0,974,852,909,976,978
460,0,0,975,864,890,981,977
470,0,0,967,854,897,977,981
480,0,0,969,839,901,979,980
490,0,0,976,816,911,965,977
500,0,1,1002,787,867,976,980
510,0,2,970,782,884,976,1008
520,0,3,947,763,881,978,976
530,0,4,963,786,887,1007,992
540,0,5,962,768,896,975,976
550,0,6,964,752,874,978,985
560,0,7,983,755,898,979,1003
570,0,7,968,736,887,975,977
580,0,7,986,768,887,994,989
590,0,7,971,720,880,980,978
600,0,7,976,711,893,971,961
610,0,7,975,698,887,979,997
620,0,6,962,726,879,982,980
630,0,5,966,720,879,966,988
640,-1,4,981,717,880,987,979
650,-2,4,980,710,897,982,985
660,-3,4,985,721,881,1003,979
670,-4,3,982,717,890,976,993
680,-5,3,980,719,881,998,987
690,-6,3,1008,688,885,971,982
700,-7,3,971,721,880,973,978
710,-8,2,987,718,870,990,978
720,-8,1,962,715,887,983,976
730,-8,0,970,707,882,990,975
740,-8,0,970,714,882,955,983
750,-9,0,993,706,889,977,985
760,-9,0,975,739,884,963,977
770,-9,0,986,683,893,977,977
780,-9,0,987,710,896,992,976
790,-9,0,987,715,889,976,976
800,-9,0,976,725,886,969,987
810,-9,0,956,711,878,969,969
820,-9,0,976,704,878,976,983
830,-8,0,976,710,880,980,991
840,-7,0,974,711,887,993,982
850,-6,0,963,710,896,977,991
860,-5,0,979,723,883,985,987
870,-4,0,976,732,883,976,978
880,-3,0,975,705,876,982,976
890,-2,0,989,704,890,981,974
900,-1,0,987,720,860,1014,1002
910,0,0,973,722,893,979,989
920,0,0,971,724,890,976,989
930,0,0,971,726,890,976,967
940,0,0,976,736,882,981,985
950,0,0,977,721,879,961,982
960,0,0,976,711,882,975,986
970,0,0,928,718,893,981,982
980,0,0,985,730,890,1006,978
990,0,0,990,723,865,980,978
