timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,1003,734,893,998,979
10,-1,-2,981,737,895,975,976
20,0,-5,992,735,888,996,955
30,0,-6,1004,733,866,976,980
40,0,-7,973,756,885,983,982
50,0,-8,993,727,879,976,977
60,0,-9,998,752,880,990,982
70,0,-10,977,761,902,988,978
80,1,-10,996,767,896,986,993
90,2,-10,986,769,892,986,991
100,3,-10,990,769,896,986,994
110,4,-10,1004,797,881,987,994
120,5,-10,991,821,901,982,978
130,6,-10,982,832,902,972,987
140,7,-10,991,841,897,987,985
150,8,-10,991,843,892,987,982
160,9,-10,995,850,919,944,959
170,10,-10,994,850,896,981,977
180,11,-11,976,861,879,991,926
190,12,-12,987,859,900,976,988
200,13,-13,999,871,883,981,976
210,13,-13,994,863,898,973,989
220,13,-12,999,876,899,991,976
230,13,-11,1001,887,884,965,976
240,13,-10,995,879,891,987,986
250,12,-9,1007,866,912,982,990
260,11,-8,960,871,895,1003,978
270,10,-7,992,869,912,982,966
280,9,-6,991,871,895,983,986
290,9,-5,1038,870,909,990,988
300,8,-5,983,881,902,978,983
310,7,-5,1008,878,896,990,976
320,6,-5,1011,867,881,981,979
330,5,-5,991,876,913,973,979
340,4,-4,1008,866,912,987,976
350,3,-3,1001,866,899,978,985
360,2,-2,1008,880,917,985,976
370,1,-1,991,880,896,979,978
380,0,0,1002,867,889,983,990
390,0,0,1089,870,901,972,980
400,0,0,987,843,896,986,977
410,0,0,994,837,903,980,981
420,0,1,989,819,912,1001,989
430,0,2,981,804,891,979,983
440,0,3,990,784,886,982,984
450,0,4,990,771,892,976,990
460,0,5,995,767,911,987,987
470,0,6,982,750,880,999,979
480,0,6,990,743,887,978,993
490,0,6,996,735,903,976,978
500,0,6,992,733,881,989,966
510,0,6,990,741,902,986,976
520,0,6,982,725,898,976,977
530,0,6,1008,737,892,976,999
540,0,6,985,722,883,972,979
550,0,6,976,725,892,975,983
560,0,6,999,713,903,958,986
570,0,6,991,721,877,976,983
580,0,6,1005,704,881,991,978
590,0,6,986,726,878,993,986
600,0,5,997,717,892,979,931
610,0,4,981,720,874,1010,967
620,1,3,978,707,888,990,985
630,2,2,1010,720,859,969,983
640,3,1,978,714,894,981,979
650,4,0,993,720,879,994,989
660,4,0,1040,710,880,977,965
670,4,0,986,718,879,976,988
680,4,0,996,734,912,967,921
690,4,0,982,713,877,999,976
700,4,0,983,716,880,965,984
710,4,0,990,719,894,974,993
720,5,0,976,731,885,978,977
730,5,0,979,717,874,976,986
740,6,0,990,727,951,961,991
750,6,0,979,721,880,979,986
760,6,0,1018,736,892,990,966
770,6,0,989,725,883,983,987
780,6,0,991,715,880,982,978
790,6,0,971,737,881,971,987
800,5,0,999,727,885,985,979
810,4,0,977,726,877,987,976
820,3,0,979,720,880,986,991
830,2,0,976,722,893,978,977
840,1,0,983,720,875,977,982
850,1,0,990,727,880,979,976
860,1,0,976,725,892,976,978
870,0,0,981,730,859,961,976
880,0,0,985,738,880,988,973
890,0,0,982,729,883,976,977
900,0,0,976,723,880,993,989
910,0,0,982,733,897,988,976
920,0,0,937,725,880,977,982
930,0,0,990,742,887,977,990
940,0,0,994,739,865,982,989
950,0,0,981,723,889,1001,976
960,0,0,981,720,875,987,981
970,0,0,972,735,891,979,981
980,0,0,999,723,880,1008,976
990,0,0,970,734,880,973,977
