timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-4,979,713,883,998,986
10,-1,-6,996,703,880,973,971
20,-1,-11,990,701,869,983,980
30,-1,-14,1008,694,881,990,986
40,0,-16,992,727,875,1011,1003
50,0,-17,978,710,859,976,987
60,0,-17,993,678,885,1002,1008
70,0,-16,976,707,877,989,981
80,0,-15,993,687,887,977,991
90,0,-14,992,707,875,947,949
100,0,-14,991,708,882,989,980
110,0,-14,980,741,874,976,979
120,0,-14,998,706,882,983,976
130,0,-14,993,707,879,983,982
140,0,-14,990,720,877,958,991
150,0,-14,981,710,880,976,981
160,0,-14,981,720,880,993,982
170,0,-14,983,722,876,981,980
180,0,-14,991,727,889,972,987
190,0,-14,976,720,880,977,975
200,0,-14,992,720,891,988,976
210,0,-15,994,749,899,976,973
220,0,-16,1012,726,899,996,989
230,0,-16,994,752,895,963,990
240,0,-16,991,781,887,981,1043
250,0,-16,992,771,878,978,976
260,0,-16,1005,800,875,976,977
270,0,-16,994,803,870,977,971
280,0,-16,999,837,895,1001,979
290,0,-16,989,814,894,977,978
300,0,-16,995,835,887,991,981
310,0,-16,992,829,886,975,977
320,0,-16,995,831,890,982,990
330,0,-16,997,832,886,976,993
340,0,-16,1008,848,889,977,976
350,0,-16,997,836,887,989,991
360,0,-15,1007,848,886,988,986
370,0,-14,1008,848,890,982,979
380,0,-13,1002,839,892,983,1035
390,0,-12,1008,860,906,982,991
400,0,-10,976,848,885,987,987
410,0,-9,999,878,903,983,978
420,0,-8,999,845,882,982,977
430,0,-7,1014,841,897,983,980
440,0,-6,1008,856,910,990,979
450,0,-5,991,866,898,993,979
460,0,-4,1011,847,891,978,976
470,0,-3,997,871,901,989,975
480,0,-2,998,868,900,982,991
490,0,-1,997,859,890,981,992
500,0,0,1001,848,912,976,983
510,0,0,1005,893,890,979,988
520,0,0,1007,859,892,976,988
530,0,0,995,869,892,999,977
540,0,0,981,860,895,980,979
550,0,0,1010,880,887,985,982
560,0,0,1029,864,912,992,978
570,0,1,988,847,895,986,982
580,0,2,987,859,901,991,993
590,0,3,1003,855,906,992,986
600,0,5,997,809,912,977,975
610,0,7,1015,806,881,983,987
620,0,9,999,784,907,988,989
630,0,10,1003,752,890,987,983
640,0,11,969,752,858,995,1002
650,0,12,998,747,882,987,980
660,0,12,1002,712,880,981,978
670,0,13,993,715,908,985,987
680,0,14,992,715,880,986,982
690,0,15,1050,691,890,973,999
700,0,16,985,643,886,989,977
710,0,17,997,688,887,987,981
720,0,17,995,722,875,979,973
730,0,17,976,689,874,991,976
740,0,17,942,673,894,976,979
750,0,17,1005,688,867,987,986
760,0,16,983,688,879,991,990
770,0,15,969,686,891,990,979
780,0,14,995,680,880,977,976
790,0,13,974,673,881,990,981
800,0,12,1010,660,867,981,981
810,0,11,1007,710,884,986,985
820,0,10,1008,690,887,995,976
830,0,9,991,686,887,981,977
840,0,8,991,688,877,989,983
850,0,7,991,679,882,979,978
860,0,6,995,688,880,977,978
870,0,5,979,695,879,990,976
880,0,4,988,677,871,978,999
890,0,3,987,688,879,977,987
900,0,3,969,688,878,988,967
910,0,3,993,706,873,985,991
920,0,2,983,691,897,987,991
930,0,1,987,703,863,977,991
940,0,0,988,693,891,981,975
950,0,0,985,688,866,983,995
960,0,0,979,690,896,981,977
970,0,0,1007,686,875,993,980
980,0,0,987,705,896,993,990
990,0,0,976,687,882,989,981
