timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,-29,3,987,722,850,978,977
10,-25,0,992,718,880,966,987
20,-21,-1,1078,734,874,966,982
30,-18,-2,982,720,875,976,995
40,-15,-2,1010,727,879,990,991
50,-13,-2,997,735,866,977,987
60,-11,-2,982,746,891,971,978
70,-9,-2,979,723,878,969,977
80,-8,-2,983,736,887,971,1001
90,-7,-2,994,741,873,981,986
100,-6,-2,1000,743,873,976,979
110,-5,-2,992,769,865,974,972
120,-4,-2,1008,751,886,982,991
130,-3,-2,1019,781,871,975,990
140,-2,-2,990,783,881,962,981
150,-1,-2,994,790,887,977,981
160,0,-2,1057,781,880,981,993
170,0,-2,1006,801,893,974,975
180,0,-2,1006,807,888,990,989
190,0,-2,974,818,896,966,991
200,0,-2,1023,832,912,976,976
210,0,-2,1002,762,905,971,976
220,0,-2,1021,816,898,959,978
230,0,-2,1008,831,915,985,997
240,0,-3,1007,858,896,978,979
250,0,-4,1008,846,889,996,976
260,0,-5,1009,843,897,988,987
270,0,-6,1005,848,893,976,998
280,0,-6,1014,832,891,979,978
290,0,-5,1011,858,913,998,989
300,0,-4,1010,855,907,990,1003
310,0,-3,1014,855,912,979,984
320,-1,-2,1011,883,911,986,978
330,-2,-1,996,867,903,987,976
340,-3,0,1000,855,887,997,972
350,-3,0,1046,873,910,976,981
360,-3,0,1023,853,896,977,988
370,-2,0,962,862,900,1030,989
380,-1,0,1010,825,897,981,976
390,0,0,1002,883,903,999,976
400,0,0,1008,862,912,1001,989
410,0,0,1023,878,913,991,979
420,0,0,1034,834,909,978,971
430,0,0,1002,853,871,1006,983
440,0,1,1008,864,906,982,986
450,0,2,1017,865,894,976,986
460,0,3,1003,855,896,976,979
470,0,5,943,853,916,976,976
480,0,7,1009,848,912,971,997
490,0,9,998,849,894,983,992
500,0,10,1004,798,897,989,969
510,0,11,1006,756,897,981,987
520,0,11,991,752,880,974,979
530,1,11,1008,747,889,997,976
540,1,11,979,703,877,968,992
550,1,11,983,701,870,982,990
560,1,11,993,702,846,983,978
570,1,11,995,688,887,986,978
580,1,11,1008,684,863,973,976
590,1,11,994,691,880,981,983
600,1,11,998,689,864,970,970
610,1,11,1003,672,871,995,1001
620,1,11,996,688,878,979,985
630,2,11,1001,688,867,982,976
640,3,11,991,688,858,994,976
650,4,11,997,673,867,974,983
660,4,10,1005,688,859,990,976
670,4,9,1004,688,866,966,976
680,4,8,954,693,861,981,969
690,4,7,991,694,862,1001,983
700,4,6,1014,689,851,976,986
710,4,5,992,710,858,977,970
720,4,4,985,683,866,973,967
730,4,3,992,689,859,977,979
740,4,2,996,688,875,987,971
750,4,0,992,692,865,970,976
760,4,0,960,706,870,972,972
770,4,0,1008,703,864,976,976
780,3,0,997,693,868,962,982
790,2,0,995,703,861,972,976
800,1,0,993,703,854,987,980
810,1,0,986,689,879,985,981
820,0,0,998,697,865,951,978
830,0,0,1008,695,863,973,986
840,0,0,991,701,862,985,958
850,0,0,994,700,937,985,973
860,0,0,983,705,880,978,982
870,0,0,985,698,871,976,975
880,0,0,1007,699,853,969,976
890,0,0,979,701,848,977,976
900,0,0,997,681,865,951,982
910,0,0,1006,709,865,981,987
920,0,0,1010,707,859,968,976
930,0,0,1008,688,858,986,980
940,0,0,1003,689,875,967,982
950,0,0,986,735,867,986,960
960,0,0,1008,709,871,976,981
970,0,0,1010,710,860,991,976
980,0,0,985,643,857,983,979
990,0,0,1007,704,859,973,977
