timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,-5,0,983,745,875,976,981
10,-4,-5,983,747,862,981,976
20,-2,-7,982,766,878,970,976
30,-1,-8,937,767,873,978,993
40,0,-9,976,746,866,978,971
50,0,-10,979,752,887,976,971
60,0,-11,976,721,863,983,976
70,0,-12,975,743,871,971,983
80,0,-13,986,753,861,977,1019
90,1,-15,973,777,880,992,971
100,2,-17,979,768,878,976,976
110,2,-18,943,777,891,976,989
120,3,-19,983,767,875,986,981
130,3,-20,976,789,878,968,969
140,3,-21,981,852,874,964,992
150,4,-22,977,804,874,996,989
160,5,-22,1009,813,889,962,972
170,5,-22,974,850,883,986,982
180,5,-22,985,862,869,979,976
190,5,-22,993,867,907,940,984
200,5,-22,976,848,880,974,978
210,5,-23,983,864,883,976,980
220,5,-25,977,868,898,986,981
230,5,-28,977,886,882,978,987
240,5,-31,972,894,883,1038,963
250,5,-34,976,903,883,989,987
260,5,-35,1081,891,862,982,986
270,4,-33,988,873,881,939,976
280,4,-30,998,895,877,976,979
290,4,-27,999,896,867,975,975
300,4,-24,998,887,891,1001,959
310,4,-21,990,918,880,970,985
320,4,-19,983,912,863,966,983
330,4,-17,990,899,878,1002,979
340,4,-15,958,895,887,970,979
350,4,-14,998,909,870,966,993
360,4,-13,987,900,877,972,979
370,4,-12,988,908,880,976,976
380,4,-11,1002,931,884,957,977
390,4,-10,993,899,879,966,977
400,4,-9,1042,876,883,979,976
410,4,-8,1006,903,878,979,976
420,4,-6,1011,912,877,982,976
430,4,-4,998,903,893,958,987
440,4,-1,981,909,882,976,981
450,4,1,1001,912,880,953,1002
460,3,4,998,894,894,971,977
470,2,8,983,897,880,973,981
480,1,11,988,880,880,974,976
490,1,13,993,877,880,976,972
500,1,13,975,791,864,974,967
510,1,12,988,813,880,976,976
520,1,10,963,764,880,973,975
530,1,8,979,751,879,976,974
540,0,6,982,725,880,978,977
550,0,5,978,706,874,970,972
560,0,4,979,702,866,975,974
570,0,4,967,708,865,976,976
580,0,4,960,701,891,975,990
590,0,4,981,704,880,964,970
600,0,4,966,700,865,994,978
610,0,4,973,690,879,979,978
620,0,4,977,711,869,977,976
630,0,4,991,698,884,962,976
640,0,4,997,688,880,967,984
650,0,4,970,693,864,974,976
660,0,4,975,701,910,989,985
670,0,4,979,703,875,975,976
680,0,4,991,707,870,973,987
690,0,4,947,732,848,966,985
700,0,3,983,704,857,981,976
710,0,2,982,714,887,978,979
720,0,2,979,687,892,976,983
730,0,2,982,704,859,974,976
740,0,2,996,711,880,976,968
750,0,2,977,713,862,979,980
760,0,2,957,709,863,971,984
770,0,2,959,709,854,971,964
780,0,2,975,713,857,976,979
790,0,2,982,713,894,967,979
800,0,2,976,734,864,978,963
810,0,2,992,714,867,979,977
820,0,2,976,718,859,987,980
830,0,2,977,701,871,955,981
840,0,2,1003,717,880,976,977
850,0,1,982,712,855,951,967
860,0,0,959,737,880,978,976
870,0,0,949,724,853,971,981
880,0,0,973,717,869,966,976
890,0,-1,977,727,880,974,973
900,0,-1,976,721,870,944,994
910,0,-1,981,711,861,966,973
920,0,-1,976,742,861,985,978
930,0,-1,979,720,871,967,976
940,0,-1,972,725,867,983,982
950,0,-1,982,720,827,974,990
960,0,-1,991,717,880,967,979
970,0,-1,982,723,875,976,981
980,0,-1,975,732,898,939,979
990,0,-1,974,723,850,977,988
