timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,986,735,893,994,982
10,1,-4,986,731,883,991,981
20,2,-5,987,746,895,976,987
30,2,-6,1001,746,906,991,976
40,2,-7,996,739,895,976,987
50,2,-8,1018,742,881,989,983
60,2,-8,1004,719,865,997,978
70,2,-8,986,751,901,989,977
80,2,-8,990,736,869,978,991
90,2,-8,998,739,858,977,976
100,2,-8,982,753,880,979,978
110,2,-7,998,739,912,983,991
120,2,-6,1006,784,879,986,976
130,2,-5,1042,768,885,982,979
140,2,-4,978,770,891,974,990
150,2,-3,976,771,889,974,979
160,2,-2,989,752,897,979,983
170,2,-1,989,795,891,976,978
180,2,-1,999,803,875,975,975
190,2,-1,990,837,882,1005,988
200,2,-1,995,815,881,998,991
210,2,-1,1005,822,881,987,975
220,3,-2,985,913,891,976,979
230,3,-3,978,848,911,990,982
240,3,-4,995,859,890,987,989
250,3,-5,996,859,897,999,990
260,3,-5,987,858,889,974,980
270,3,-4,1003,848,881,976,982
280,3,-3,1005,852,893,983,987
290,2,-2,999,876,897,974,987
300,2,-1,1006,853,912,976,981
310,2,0,990,859,893,995,986
320,2,0,990,865,909,966,990
330,2,0,989,849,895,976,986
340,2,0,986,867,909,983,978
350,2,0,1003,865,912,979,981
360,2,0,987,868,895,981,977
370,2,0,993,845,880,985,980
380,2,0,997,863,887,991,979
390,2,0,1009,858,896,980,976
400,2,0,988,901,894,989,965
410,1,1,1005,862,897,977,986
420,0,2,1008,883,886,976,983
430,0,3,983,857,907,977,977
440,0,4,991,847,897,999,987
450,0,5,1006,823,899,930,991
460,0,6,992,814,896,977,981
470,0,7,992,811,875,991,987
480,0,8,988,752,886,977,986
490,0,9,993,788,887,965,982
500,0,10,981,755,890,976,976
510,0,11,982,752,865,992,959
520,0,12,998,749,908,1005,976
530,0,13,981,738,893,977,977
540,0,13,992,720,893,975,978
550,0,13,995,720,901,982,983
560,0,13,1001,735,910,981,991
570,0,13,989,715,894,980,986
580,0,13,993,720,892,981,990
590,0,13,986,703,886,983,976
600,0,12,1003,721,889,976,1003
610,0,11,977,710,862,972,983
620,0,10,994,718,883,982,971
630,0,9,993,719,900,988,981
640,0,8,994,720,881,1008,985
650,0,7,991,715,889,976,981
660,0,6,994,713,873,986,965
670,0,5,992,694,894,983,977
680,0,4,992,721,903,977,979
690,0,3,983,719,901,995,985
700,0,2,992,721,869,991,981
710,0,1,989,731,880,991,974
720,0,0,982,743,889,977,1004
730,0,0,1002,732,889,973,977
740,0,0,976,720,883,980,999
750,0,0,983,747,862,976,993
760,0,0,994,732,897,990,986
770,0,0,1002,715,890,1005,994
780,0,0,990,738,891,975,980
790,0,0,991,735,878,989,979
800,0,0,987,717,887,973,976
810,0,0,991,730,889,984,977
820,0,0,994,742,886,976,981
830,0,0,997,723,883,974,982
840,0,0,988,720,883,976,981
850,0,0,993,703,888,985,981
860,0,0,1001,721,894,976,992
870,0,0,994,727,895,976,986
880,0,0,1005,752,890,975,985
890,0,0,981,727,896,967,988
900,0,0,993,726,915,976,973
910,0,0,995,758,867,987,965
920,0,0,985,740,896,979,983
930,0,0,988,730,880,992,995
940,0,0,993,724,880,995,985
950,0,0,987,722,886,994,981
960,0,0,991,758,887,978,983
970,0,0,994,735,899,981,976
980,0,0,983,739,879,990,978
990,0,0,989,755,882,980,991
