timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,0,987,688,854,967,977
10,1,-3,987,688,861,980,978
20,1,-3,999,707,881,967,986
30,1,-4,985,702,870,991,982
40,1,-5,995,717,858,971,979
50,1,-6,992,693,851,980,976
60,1,-6,1002,675,862,976,986
70,1,-6,978,677,886,977,979
80,1,-6,1002,701,860,1049,976
90,1,-6,991,716,854,992,983
100,1,-5,995,725,858,993,981
110,1,-4,945,734,880,976,982
120,1,-3,988,763,861,997,980
130,1,-2,990,773,870,980,976
140,2,-1,998,783,847,978,981
150,2,0,998,765,878,979,971
160,2,0,1008,805,873,975,978
170,2,0,983,820,890,983,975
180,2,0,1013,798,883,977,986
190,2,0,948,810,904,986,979
200,2,0,1027,822,880,980,979
210,2,0,1010,846,904,978,979
220,2,0,1010,812,882,978,975
230,2,0,994,853,889,973,983
240,2,0,1008,849,922,987,982
250,2,0,991,848,903,976,986
260,2,0,1016,845,893,989,983
270,2,0,1021,856,884,970,978
280,2,0,1022,846,912,981,976
290,2,0,1040,859,907,982,991
300,2,0,1008,816,912,977,977
310,2,0,994,839,911,967,997
320,2,0,1009,852,893,976,973
330,2,0,1003,868,903,973,978
340,2,0,1030,857,908,992,983
350,1,0,1029,862,909,992,982
360,0,0,1004,861,912,977,976
370,0,0,1007,865,907,976,986
380,0,0,981,876,900,980,979
390,0,0,1005,874,898,970,979
400,0,0,1001,858,899,979,983
410,0,0,1003,865,905,978,985
420,0,0,1004,868,892,973,980
430,0,0,1035,791,891,997,976
440,0,0,1000,873,899,979,989
450,0,0,931,875,912,980,976
460,0,0,1011,871,939,972,988
470,0,0,1009,869,912,974,975
480,0,0,1005,861,921,993,976
490,0,0,1015,903,913,982,967
500,0,0,1012,877,906,978,992
510,0,0,1013,880,896,993,987
520,0,0,1004,864,915,987,991
530,0,0,989,860,905,980,974
540,0,0,1013,867,914,980,993
550,0,1,1007,858,913,976,992
560,0,2,1013,863,886,979,984
570,0,3,1007,847,880,979,957
580,0,4,1010,835,893,986,983
590,0,5,991,809,899,993,974
600,0,6,1001,807,892,979,979
610,0,7,991,784,888,991,990
620,0,8,1008,775,892,965,977
630,0,9,988,722,902,985,976
640,0,10,1003,720,863,976,986
650,0,11,989,714,885,973,976
660,0,12,1002,695,881,977,976
670,0,13,978,688,868,977,983
680,0,14,979,681,887,998,979
690,0,15,992,682,878,980,983
700,0,16,993,677,848,976,977
710,0,16,1003,659,875,977,982
720,0,16,1008,697,860,978,983
730,0,15,1001,670,857,974,976
740,0,14,993,691,866,982,973
750,0,12,987,685,874,977,982
760,0,10,993,678,859,980,977
770,0,8,990,684,867,995,976
780,0,7,1002,676,877,969,979
790,0,6,1001,670,878,982,981
800,0,5,1009,698,848,988,994
810,0,4,991,673,870,982,976
820,0,3,990,659,870,997,983
830,0,2,992,699,874,982,986
840,0,1,989,670,864,979,989
850,0,0,997,685,886,976,975
860,0,0,984,687,860,978,989
870,0,0,1009,688,870,975,975
880,0,0,989,676,881,977,973
890,0,0,990,690,866,979,978
900,0,0,1015,684,883,976,967
910,0,0,1002,656,894,965,977
920,0,0,1004,690,865,982,992
930,0,0,991,704,863,978,983
940,0,0,986,685,863,974,983
950,0,0,1008,682,879,979,980
960,0,0,999,679,880,979,982
970,0,0,1010,691,874,991,986
980,0,0,983,694,866,976,994
990,0,0,1004,714,869,991,997
