timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,1040,759,854,976,976
10,-1,0,975,679,862,971,979
20,0,-2,983,753,861,978,960
30,0,-3,987,753,848,976,978
40,0,-5,974,742,845,975,976
50,0,-6,1006,749,873,997,983
60,0,-7,997,729,871,974,981
70,0,-8,983,747,863,973,983
80,0,-8,1008,763,843,976,981
90,0,-8,988,752,862,981,955
100,0,-8,990,768,871,967,987
110,0,-8,992,789,869,983,979
120,0,-7,994,789,853,960,982
130,0,-6,999,787,857,967,971
140,0,-5,977,765,861,982,977
150,0,-5,982,753,880,970,976
160,0,-5,990,778,859,975,988
170,0,-5,987,801,859,976,976
180,0,-5,985,792,858,971,977
190,0,-5,976,784,866,1003,976
200,0,-5,1002,826,877,976,978
210,0,-5,1002,805,866,1049,987
220,0,-5,1015,832,867,982,981
230,0,-5,929,829,866,965,977
240,0,-5,980,817,878,961,976
250,0,-5,1013,848,869,993,983
260,0,-5,987,846,878,980,980
270,0,-5,994,859,893,971,983
280,0,-5,1003,867,906,992,978
290,0,-6,990,880,887,977,981
300,0,-7,975,870,887,977,981
310,0,-7,988,902,853,981,980
320,0,-7,977,880,881,980,979
330,0,-7,979,892,883,976,976
340,0,-7,987,869,887,991,976
350,0,-7,1006,899,894,976,981
360,0,-7,991,870,896,975,976
370,0,-7,1007,878,907,986,989
380,0,-7,1086,893,917,977,978
390,0,-7,1001,850,912,976,981
400,0,-7,983,909,912,985,980
410,0,-7,1006,929,884,976,980
420,0,-7,988,910,897,979,983
430,0,-8,995,930,911,978,977
440,0,-9,994,912,890,976,978
450,0,-9,1003,911,912,976,981
460,0,-9,986,882,890,978,978
470,0,-10,998,911,921,976,979
480,0,-11,1020,903,926,993,989
490,0,-11,1023,913,907,989,990
500,0,-11,997,895,910,962,976
510,0,-11,995,903,880,994,983
520,0,-10,998,919,917,981,979
530,0,-9,999,906,915,989,979
540,0,-8,1006,895,912,976,980
550,0,-6,1009,908,922,981,979
560,0,-5,998,910,901,978,991
570,0,-4,993,898,924,977,983
580,0,-3,1008,897,916,975,983
590,0,-2,1004,895,922,976,979
600,0,-1,998,903,923,993,986
610,0,0,993,897,931,994,979
620,0,0,986,923,893,995,981
630,0,1,1031,903,901,990,980
640,0,3,1006,893,912,978,986
650,0,6,992,896,919,979,976
660,0,9,993,900,906,983,992
670,0,12,976,891,899,990,988
680,0,15,986,879,903,980,977
690,0,17,992,863,901,989,989
700,0,18,999,825,910,979,978
710,0,18,1006,802,867,977,987
720,0,17,1010,793,875,983,981
730,0,15,985,757,886,981,986
740,0,13,987,798,893,957,978
750,0,11,967,742,871,979,981
760,0,10,993,752,871,999,978
770,0,9,997,733,892,989,982
780,0,9,982,706,879,979,991
790,0,9,995,715,875,991,976
800,0,9,990,715,880,979,983
810,0,9,988,720,862,983,986
820,0,8,986,715,875,976,981
830,0,7,941,720,874,988,980
840,0,6,988,719,863,987,978
850,0,5,990,717,870,971,981
860,0,4,994,715,847,991,978
870,0,3,993,707,865,976,985
880,0,3,980,718,851,989,976
890,0,3,991,717,868,972,979
900,0,3,993,704,863,979,983
910,0,3,992,720,869,986,979
920,0,3,994,798,875,953,979
930,0,3,980,739,848,981,977
940,0,3,988,716,858,997,978
950,0,3,999,735,862,990,977
960,0,3,967,725,871,999,976
970,0,3,967,711,878,976,983
980,0,3,979,722,871,993,981
990,0,3,992,727,894,997,977
