timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,-15,0,986,719,857,976,992
10,-15,-2,987,693,826,971,983
20,-12,-4,989,698,842,972,986
30,-9,-6,995,703,834,1003,981
40,-7,-7,996,729,833,990,992
50,-5,-7,993,719,846,970,971
60,-3,-7,997,742,834,966,988
70,-1,-7,983,720,859,976,974
80,0,-7,982,719,851,975,978
90,0,-7,982,733,848,977,962
100,0,-6,991,803,841,970,982
110,0,-5,985,730,849,988,978
120,0,-4,982,741,843,970,973
130,0,-2,995,727,837,976,982
140,0,0,979,750,834,969,976
150,0,0,976,750,843,989,976
160,0,0,979,759,843,986,987
170,0,0,986,784,864,979,982
180,0,0,994,795,851,992,978
190,0,0,992,803,866,974,976
200,0,0,998,816,855,982,983
210,0,0,998,830,881,989,981
220,0,0,1008,847,886,976,979
230,0,0,1008,849,907,975,995
240,0,0,1007,855,907,976,990
250,0,0,1003,874,890,978,971
260,0,-1,1014,868,895,979,977
270,0,-2,1007,875,914,976,981
280,0,-3,1002,870,903,976,993
290,0,-4,1012,858,896,978,976
300,0,-5,995,870,907,971,976
310,0,-6,1020,839,905,970,993
320,0,-6,1003,893,912,1003,979
330,0,-5,1003,894,917,992,971
340,0,-4,1008,870,912,1003,976
350,0,-3,1008,870,903,973,982
360,0,-2,982,875,901,971,992
370,0,-1,1010,881,907,976,978
380,0,0,1012,873,898,970,983
390,0,0,1004,865,937,967,965
400,0,0,1005,869,906,971,981
410,0,0,999,862,923,978,986
420,0,0,1003,879,912,987,976
430,0,0,1007,880,924,985,986
440,0,0,1009,886,906,944,986
450,0,0,1022,861,899,969,992
460,0,0,1013,870,915,976,982
470,0,0,995,880,909,985,981
480,0,0,1003,887,895,993,971
490,0,0,1008,890,899,976,990
500,0,0,1004,864,903,979,985
510,0,1,999,865,898,977,980
520,0,2,1005,853,891,973,960
530,0,3,1008,834,899,979,976
540,0,4,967,815,890,983,973
550,0,5,998,801,882,977,981
560,0,6,1008,763,891,981,983
570,0,7,1008,725,870,976,992
580,0,7,1008,692,880,983,974
590,0,7,969,671,877,974,988
600,0,7,986,675,873,985,986
610,0,7,1009,656,878,976,982
620,0,8,999,656,884,951,978
630,0,9,992,661,871,974,980
640,0,10,1005,657,849,976,979
650,0,10,998,671,879,982,983
660,0,10,982,669,850,975,977
670,0,10,1019,646,849,986,973
680,0,10,988,655,867,976,1006
690,0,9,993,661,848,976,980
700,0,8,976,656,861,966,981
710,0,7,990,656,846,976,991
720,0,6,991,688,846,976,981
730,0,5,992,657,850,977,977
740,0,4,994,659,857,978,976
750,0,3,993,661,853,981,977
760,0,3,982,668,853,987,993
770,0,2,986,671,861,973,979
780,0,1,946,676,809,995,995
790,0,0,989,678,853,978,980
800,0,0,979,672,858,981,986
810,0,0,990,688,850,967,976
820,0,0,1004,682,841,963,987
830,0,0,994,674,851,977,978
840,0,0,996,689,868,976,985
850,0,0,979,690,845,977,975
860,0,0,948,672,830,1003,995
870,0,0,1005,678,836,976,983
880,0,0,989,672,848,983,977
890,0,0,986,674,832,979,976
900,0,0,986,670,848,990,975
910,0,0,994,678,867,982,989
920,0,0,1004,675,871,986,976
930,0,0,977,695,877,979,980
940,0,0,973,690,850,976,986
950,0,0,981,684,851,967,983
960,0,0,997,682,849,979,973
970,0,0,983,687,857,967,977
980,0,0,1003,688,849,984,978
990,0,0,983,687,847,975,1002
