timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,1,-1,991,713,830,976,981
10,1,-4,978,731,832,960,976
20,0,-6,1008,703,831,967,978
30,0,-8,986,703,819,981,973
40,0,-10,975,697,830,974,976
50,0,-11,968,711,822,965,988
60,0,-12,976,716,830,981,976
70,0,-13,972,701,835,972,983
80,0,-14,971,708,822,980,978
90,0,-15,985,714,844,986,976
100,0,-15,984,707,831,970,979
110,0,-15,985,703,834,994,1003
120,0,-15,976,713,843,976,975
130,0,-15,971,698,839,986,976
140,0,-14,1004,720,836,982,982
150,0,-13,977,727,842,975,977
160,0,-12,961,695,844,978,982
170,0,-11,976,752,842,976,982
180,0,-10,982,767,864,991,975
190,0,-9,992,785,877,976,976
200,0,-9,1003,771,869,983,975
210,0,-8,979,816,870,987,975
220,0,-7,989,784,870,976,976
230,0,-7,984,816,866,994,982
240,0,-7,986,804,868,975,987
250,0,-7,982,850,870,978,990
260,0,-7,993,826,880,975,971
270,0,-7,987,851,894,960,982
280,0,-7,990,850,890,997,982
290,0,-8,1002,851,897,975,987
300,0,-9,1006,871,885,987,976
310,0,-10,1001,851,886,976,983
320,0,-11,1035,851,894,976,1031
330,0,-11,986,865,899,973,977
340,0,-11,1005,869,899,982,974
350,0,-11,1019,849,896,976,990
360,0,-11,1008,879,896,979,983
370,0,-11,989,857,905,975,977
380,0,-11,997,853,909,993,977
390,0,-10,998,865,900,971,982
400,0,-9,978,851,903,979,991
410,0,-8,1002,869,907,977,974
420,0,-8,973,866,910,975,976
430,0,-7,978,860,897,976,986
440,0,-6,1011,852,918,999,982
450,0,-5,1010,859,903,973,973
460,0,-4,1017,896,911,982,977
470,0,-3,971,866,912,975,988
480,0,-2,1008,885,915,970,977
490,0,-1,982,857,912,991,981
500,0,-1,1004,867,912,972,986
510,0,-1,986,882,909,970,989
520,0,-1,987,853,905,990,975
530,0,-1,998,858,902,1001,982
540,0,-1,1005,880,895,1001,998
550,0,-1,1001,867,916,995,975
560,0,-1,1007,866,899,1008,976
570,0,-1,1002,859,905,978,975
580,0,-1,992,864,899,970,983
590,0,-1,995,859,909,983,976
600,0,0,1008,874,899,980,979
610,0,0,955,851,881,984,977
620,0,1,989,857,898,998,977
630,0,2,993,829,896,989,978
640,0,4,985,802,880,976,978
650,0,6,985,779,884,978,973
660,0,8,1005,703,875,979,977
670,0,10,993,658,874,983,980
680,0,11,1002,655,874,985,975
690,0,12,1010,656,855,971,977
700,0,13,987,639,848,979,983
710,0,14,983,638,877,990,976
720,0,14,980,647,855,993,979
730,0,14,980,645,861,978,981
740,0,14,986,647,837,982,991
750,0,14,996,657,838,992,974
760,0,14,977,650,851,983,971
770,0,14,954,658,832,970,967
780,0,14,987,660,842,976,974
790,0,13,987,674,832,970,976
800,0,12,994,669,842,978,977
810,0,11,985,666,824,978,985
820,0,10,979,690,833,960,993
830,0,9,981,688,821,983,982
840,0,8,985,688,832,975,977
850,0,7,976,655,829,970,976
860,0,7,997,678,826,976,991
870,0,7,954,686,835,976,985
880,0,6,986,754,829,978,977
890,0,5,982,683,829,971,979
900,0,4,976,708,826,985,979
910,0,3,975,681,833,961,977
920,0,2,976,687,834,987,985
930,0,1,992,699,833,985,985
940,0,1,997,687,827,983,983
950,0,1,979,700,827,973,989
960,0,1,988,699,831,946,980
970,0,1,979,693,830,988,985
980,0,1,960,701,835,989,983
990,0,1,976,735,835,987,977
