timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-4,976,691,860,981,984
10,1,-7,989,708,862,979,981
20,1,-12,981,735,855,960,986
30,0,-16,980,702,847,976,979
40,0,-19,988,714,842,989,982
50,0,-20,981,715,848,1001,981
60,0,-21,981,747,882,966,976
70,0,-22,977,723,867,979,978
80,0,-23,998,749,848,983,987
90,0,-23,985,768,823,974,978
100,0,-23,990,769,865,991,978
110,0,-23,983,794,858,976,979
120,0,-22,978,804,875,981,981
130,0,-21,976,803,873,990,978
140,0,-21,1012,759,867,963,974
150,0,-21,994,810,882,976,978
160,0,-21,967,831,881,987,978
170,0,-21,990,823,878,977,980
180,0,-21,968,865,876,977,977
190,0,-20,984,841,891,982,989
200,0,-19,1005,870,886,980,979
210,0,-18,985,871,903,974,978
220,0,-17,995,890,896,981,985
230,0,-16,993,886,907,961,979
240,0,-15,986,890,909,979,989
250,0,-15,989,878,912,988,976
260,0,-15,989,911,888,978,979
270,0,-15,995,885,919,972,976
280,0,-15,1001,899,905,992,985
290,0,-15,1003,896,915,996,985
300,0,-14,1008,897,911,983,979
310,0,-12,998,901,906,979,975
320,0,-10,1003,912,912,976,983
330,0,-8,1018,889,924,972,983
340,0,-6,992,907,912,978,986
350,0,-4,991,898,909,979,975
360,0,-2,978,909,911,976,981
370,0,0,1009,910,923,987,985
380,0,0,1014,891,912,990,1005
390,0,0,988,906,912,981,982
400,0,0,995,887,903,979,976
410,0,0,978,916,899,988,977
420,0,0,995,899,938,990,975
430,0,0,990,898,902,977,977
440,0,0,991,901,912,983,993
450,0,0,994,898,903,981,987
460,0,0,997,899,915,982,983
470,0,0,989,911,901,993,985
480,0,1,988,893,899,997,991
490,0,2,995,917,913,989,981
500,0,4,987,886,922,975,989
510,0,6,982,880,912,988,972
520,0,8,997,851,890,975,978
530,0,10,985,834,885,983,986
540,0,11,991,795,883,964,985
550,0,12,979,751,873,983,981
560,1,13,977,736,867,977,975
570,2,14,966,732,858,975,995
580,3,15,992,699,898,990,983
590,4,15,1004,699,880,974,976
600,5,15,989,693,878,978,987
610,4,15,976,673,864,974,976
620,4,15,991,697,864,986,1001
630,4,15,990,688,860,984,983
640,4,15,990,662,853,968,982
650,4,15,977,685,855,968,979
660,4,15,985,668,845,976,976
670,4,14,991,677,864,990,976
680,4,13,976,676,843,981,987
690,4,12,982,689,854,990,981
700,4,11,979,634,865,941,977
710,4,10,987,670,847,977,981
720,3,9,976,659,861,982,983
730,2,8,989,669,847,976,981
740,1,7,1003,677,848,977,976
750,0,6,975,641,867,978,977
760,0,5,983,673,834,980,976
770,0,5,969,699,862,969,978
780,0,4,978,682,855,974,979
790,0,3,993,689,849,975,979
800,0,3,945,701,853,977,993
810,0,3,986,693,848,971,987
820,0,3,979,718,855,978,981
830,0,3,992,662,806,963,978
840,0,3,982,690,853,977,981
850,0,3,967,691,843,977,981
860,0,2,990,665,848,976,980
870,0,1,978,686,848,976,976
880,0,1,1006,695,838,957,987
890,0,1,978,703,850,981,979
900,0,1,976,696,845,983,991
910,0,1,980,688,838,983,975
920,0,1,981,688,854,985,981
930,0,1,997,688,859,982,981
940,0,1,991,706,855,977,978
950,0,1,977,703,853,977,986
960,0,1,1008,714,829,995,1003
970,0,1,976,701,870,979,986
980,0,1,987,713,871,986,970
990,0,1,1011,693,862,986,979
