timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,1,-2,983,804,898,994,991
10,1,-2,993,798,877,985,977
20,2,-4,991,811,880,989,1000
30,3,-5,1008,815,882,991,949
40,5,-6,995,813,892,990,982
50,6,-7,908,789,880,999,983
60,7,-8,990,793,884,975,981
70,8,-8,1004,815,890,994,970
80,10,-8,1008,798,879,1011,995
90,12,-7,991,811,902,976,979
100,13,-6,985,841,906,994,1042
110,14,-5,984,821,882,990,949
120,15,-4,967,819,880,976,987
130,16,-3,986,804,885,979,993
140,17,-2,989,817,885,986,981
150,17,-1,995,819,883,988,992
160,17,0,1000,816,892,995,975
170,17,0,993,810,887,986,977
180,17,0,992,809,878,987,969
190,17,0,995,795,871,991,995
200,17,0,990,816,887,995,978
210,17,0,977,829,879,995,980
220,17,0,989,816,880,998,975
230,17,0,1002,831,896,990,981
240,16,0,986,811,895,979,981
250,16,0,1008,841,938,981,979
260,15,0,998,857,888,976,978
270,14,-1,987,798,885,982,977
280,13,-2,994,863,903,981,990
290,12,-3,1002,864,890,977,1011
300,11,-4,997,873,903,991,987
310,10,-5,995,880,906,981,986
320,9,-6,1003,881,902,1008,981
330,9,-7,1008,884,901,981,979
340,9,-8,1001,878,885,989,993
350,9,-9,995,911,887,986,977
360,9,-10,1003,912,886,976,981
370,9,-11,976,903,886,972,1015
380,9,-11,982,903,896,983,989
390,8,-10,991,912,896,979,981
400,7,-9,1001,901,911,977,976
410,6,-8,995,900,912,991,986
420,5,-7,1002,909,902,997,987
430,5,-5,1006,922,862,988,985
440,4,-3,999,915,898,971,979
450,4,-2,1021,925,882,979,987
460,3,-1,998,906,897,986,982
470,3,0,1003,905,903,976,990
480,2,0,988,901,903,987,985
490,1,0,981,912,901,981,977
500,1,0,976,917,911,996,986
510,1,0,992,934,895,976,977
520,0,0,990,917,914,985,978
530,0,0,1008,923,912,997,987
540,0,0,998,932,907,990,979
550,0,0,999,929,902,990,981
560,0,0,995,933,903,989,987
570,0,0,1002,917,909,981,982
580,0,0,988,919,909,982,979
590,0,1,1003,907,912,995,977
600,0,2,1008,903,904,998,976
610,0,3,999,891,897,990,993
620,0,4,994,885,911,987,978
630,0,5,990,871,906,985,973
640,-1,6,992,880,886,986,980
650,-2,7,987,851,898,991,991
660,-3,8,997,858,887,979,983
670,-3,9,998,821,911,978,991
680,-3,10,993,843,907,981,972
690,-3,11,1003,813,861,983,976
700,-3,12,1004,797,892,998,976
710,-3,13,1004,816,883,998,976
720,-3,14,995,793,875,976,978
730,-3,14,1004,762,879,991,976
740,-3,14,986,769,890,979,1036
750,-3,14,989,767,879,978,981
760,-3,13,999,761,895,991,974
770,-3,12,987,772,883,976,983
780,-3,11,976,767,880,987,989
790,-2,10,976,782,886,982,981
800,-1,9,998,768,881,989,979
810,0,8,1008,795,880,976,995
820,0,7,1004,741,883,981,976
830,0,6,979,771,880,987,979
840,0,5,978,770,896,977,979
850,0,4,1007,741,912,969,997
860,0,3,999,774,880,985,976
870,0,2,1005,784,889,987,989
880,0,1,993,758,880,977,977
890,0,1,983,766,872,990,976
900,0,0,997,763,891,978,997
910,0,0,1002,773,880,978,979
920,0,0,993,784,894,982,976
930,0,0,1023,733,880,983,988
940,0,0,989,767,884,981,975
950,0,0,991,771,879,979,979
960,0,0,988,753,891,986,983
970,0,0,998,781,880,988,990
980,0,0,997,779,870,977,988
990,0,0,991,755,884,979,980
